player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Quintin Demps,4431,S,CHI,1,7,,7.0,6,0,39.6,0,1,0,0,0,0.0
E.J. Gaines,8823,CB,BUF,1,2,,2.0,4,0,39.6,0,1,0,0,0,0.0
Morgan Burnett,5596,S,GB,1,3,,3.0,12,0,39.6,0,1,0,0,0,0.0
Marcus Peters,9451,CB,KC,1,6,,6.0,16,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,CAR,1,1,,1.0,5,0,39.6,0,1,0,0,0,0.0
Shaq Thompson,9458,LB,CAR,1,7,,7.0,5,0,39.6,0,1,0,0,0,0.0
Eric Kendricks,9478,LB,MIN,1,3,,3.0,18,0,39.6,0,1,0,0,0,0.0
A.J. Bouye,8110,CB,JAX,1,3,,3.0,15,0,39.6,0,1,0,0,0,0.0
Jamie Collins Sr.,7833,LB,CLV,1,10,,10.0,8,0,39.6,0,1,0,0,0,0.0
Dre Kirkpatrick,7023,CB,CIN,1,1,,1.0,7,0,39.6,0,1,0,0,0,0.0
Mackensie Alexander,10688,CB,MIN,1,12,,12.0,18,0,39.6,0,1,0,0,0,0.0
Deion Jones,10686,LB,ATL,1,7,,7.0,2,0,39.6,0,1,0,0,0,0.0
Jackrabbit Jenkins,7043,CB,NYG,1,3,,1.5,21,0,39.6,0,2,0,0,0,0.0
Tavon Wilson,7051,S,DET,1,13,,13.0,11,0,39.6,0,1,0,0,0,0.0
Casey Hayward Jr.,7064,CB,LAC,1,2,,1.0,27,0,39.6,0,2,0,0,0,0.0
Trumaine Johnson,7067,CB,LA,1,3,,3.0,26,1,0.0,0,1,0,0,0,0.0
George Iloka,7159,S,CIN,1,3,,3.0,7,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,1,4,,4.0,13,0,39.6,0,1,0,0,0,0.0
Desmond King II,11906,CB,LAC,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
James Burgess,11202,LB,CLV,1,1,,1.0,8,0,39.6,0,1,0,0,0,0.0
William Gay,3786,CB,PIT,1,12,,12.0,25,0,39.6,0,1,0,0,0,0.0
Tyvon Branch,4414,S,ARZ,1,9,,9.0,1,0,39.6,0,1,0,0,0,0.0
Orlando Scandrick,4457,CB,DAL,1,3,,3.0,9,0,39.6,0,1,0,0,0,0.0
Briean Boddy-Calhoun,10903,CB,CLV,1,16,,8.0,8,0,39.6,0,2,0,0,0,0.0
Christian Kirksey,8706,LB,CLV,1,7,,7.0,8,0,39.6,0,1,0,0,0,0.0
Bradley Roby,8666,CB,DEN,1,3,,3.0,10,0,39.6,0,1,0,0,0,0.0
C.J. Mosley,8652,LB,BLT,1,3,,3.0,3,0,39.6,0,1,0,0,0,0.0
Anthony Brown,10823,CB,DAL,1,24,,12.0,9,1,0.0,0,2,0,0,0,0.0
Quandre Diggs,9633,CB,DET,1,39,39.0,7.8,11,0,39.6,1,5,0,4,6,0.1
Logan Ryan,7864,CB,TEN,1,29,29.0,29.0,31,0,158.3,1,1,1,19,0,0.66
Lardarius Webb,5011,CB,BLT,1,25,25.0,6.3,3,0,41.7,1,4,0,14,2,0.56
Trevor Williams,11004,CB,LAC,1,24,24.0,24.0,27,0,79.2,1,1,0,2,3,0.08
Eric Berry,5530,S,KC,1,20,20.0,6.7,16,0,52.1,1,3,0,16,2,0.8
Nate Hairston,11913,CB,IND,1,20,20.0,10.0,14,0,60.4,1,2,0,8,4,0.4
Patrick Robinson,5557,CB,PHI,1,18,18.0,9.0,24,0,56.3,1,2,0,5,3,0.28
