player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Davon House,6283,CB,GB,6,0,12,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.5,1,204,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
William Jackson III,10658,CB,CIN,8,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,185,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Desmond Trufant,7803,CB,ATL,9,0,2,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,335,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Nick Kwiatkoski,10747,LB,CHI,4,0,6,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,3.6,1,28,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Casey Hayward Jr.,7064,CB,LAC,9,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,348,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Duron Harmon,7872,S,NE,9,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,305,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Charles Washington,11137,S,DET,8,0,11,0,0,0,0,0,0,100.0,2,1,50.0,1,0,0,0,4.0,2,50,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Montae Nicholson,11878,S,WAS,6,0,32,1,1,0,1,0,0,50.0,1,1,50.0,0,0,0,0,1.1,2,182,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Jimmie Ward,8665,S,SF,7,0,28,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0.9,2,225,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Cre'Von LeBlanc,11218,CB,CHI,3,0,6,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,4.5,2,44,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Jerrell Freeman,4888,LB,CHI,1,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Ramik Wilson,9551,LB,KC,3,0,16,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,2,26,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Earl Thomas III,5539,S,SEA,7,0,29,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,272,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Malcolm Butler,9040,CB,NE,9,0,19,2,1,0,1,1,1,75.0,3,2,33.3,0,0,0,1,1.1,4,351,3,37.5,0,1,0,0,25.0,1,1,50.0,0,0,0,0,0,0
James Bradberry,10696,CB,CAR,10,0,5,0,0,0,0,0,0,33.3,1,1,100.0,1,1,0,0,0.8,3,359,1,33.3,0,0,0,0,66.7,2,0,0.0,0,0,0,1,1,0
Leon Hall,3634,CB,SF,3,0,28,1,1,0,1,1,0,100.0,3,2,33.3,0,0,0,0,6.5,3,46,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Cody Davis,8458,S,LA,6,0,26,1,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,2.0,3,151,2,33.3,0,1,1,0,66.7,2,2,50.0,0,0,0,0,0,0
Dylan Cole,24304,LB,HST,6,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.0,3,43,1,33.3,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Mike Mitchell,4970,S,PIT,8,0,25,1,1,0,1,0,1,33.3,1,1,50.0,0,0,0,1,1.4,3,217,2,33.3,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Lerentee McCray,8159,ED,JAX,4,0,15,1,1,0,0,0,0,20.0,2,0,0.0,0,0,0,0,90.9,10,11,4,30.0,0,1,1,0,80.0,8,4,37.5,2,1,0,2,1,0
Marcus Gilchrist,6202,S,HST,9,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,2.0,5,249,2,30.0,0,0,1,1,100.0,5,2,30.0,1,1,0,1,1,0
Corey Graham,3784,S,PHI,7,0,24,0,3,0,0,1,0,60.0,3,1,16.7,0,0,0,0,3.7,5,134,3,30.0,0,0,2,0,40.0,2,2,50.0,0,0,0,0,0,0
Brian Poole,11052,CB,ATL,9,0,2,2,3,0,2,2,0,83.3,10,5,30.0,1,1,0,1,4.3,12,278,6,29.2,0,0,1,1,16.7,2,1,25.0,0,0,0,1,1,0
Antoine Bethea,3152,S,ARZ,9,0,1,1,1,0,1,0,0,71.4,5,2,30.0,1,1,0,0,2.3,7,298,3,28.6,0,0,1,0,28.6,2,1,25.0,0,0,0,1,1,0
Darqueze Dennard,8659,CB,CIN,9,0,7,0,2,0,0,1,0,42.9,3,1,16.7,0,0,0,0,2.4,7,296,3,28.6,0,0,1,0,57.1,4,2,37.5,1,1,0,1,1,0
Pierre Desir,8762,CB,IND,6,0,14,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,2,190,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Javien Elliott,11418,CB,TB,4,0,30,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.4,2,59,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Karl Joseph,10648,S,OAK,8,0,23,0,4,0,0,4,0,100.0,12,5,25.0,1,2,1,0,4.3,12,280,5,25.0,0,0,0,0,0.0,0,0,,0,0,0,1,2,1
Keanu Neal,10651,S,ATL,9,0,2,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.6,2,341,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Kurtis Drummond,10015,S,HST,5,0,13,0,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,17.4,4,23,1,25.0,0,0,0,0,75.0,3,1,33.3,1,1,0,1,1,0
Lewis Neal,12323,ED,DAL,1,0,9,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,100.0,2,2,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Lorenzo Jerome,12308,S,SF,4,0,28,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.3,2,47,1,25.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Gerald Hodges,7902,LB,NO,1,0,20,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,20.0,2,10,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kamalei Correa,10676,LB,BLT,8,0,3,1,1,0,0,0,0,25.0,1,0,0.0,0,0,0,0,7.1,4,56,2,25.0,0,1,1,0,75.0,3,2,33.3,0,0,0,0,0,0
Kevin Johnson,9449,CB,HST,5,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.5,2,130,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Budda Baker,11791,S,ARZ,9,0,1,0,3,0,0,1,0,66.7,4,1,12.5,0,0,0,0,9.7,6,62,3,25.0,0,0,2,0,33.3,2,2,50.0,0,0,0,0,0,0
