player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,7,0,,,0.8,,,0,0,0,,5,60.9,77.0,86.5,65.0,80.0,64.6,0,,50.0,1,0,0,0.0,0,1,131,8,1,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,4,0,4.0,100.0,36.4,7.0,7.0,0,0,0,0.0,25,64.8,75.0,76.3,84.3,50.1,35.4,0,5,0.0,0,0,0,87.5,1,8,22,1,1,1,0,5,1,0.7,5.0
Terence Newman,1321,CB,MIN,7,1,8.8,60.9,97.9,12.7,7.7,0,1,1,4.3,18,72.8,72.4,81.3,72.2,61.1,75.2,0,27,0.0,0,1,1,111.3,14,184,188,5,12,23,2,163,51,0.9,11.6
Terrell Suggs,1326,ED,BLT,7,1,2.0,100.0,2.1,4.0,4.0,1,0,0,0.0,3,78.1,79.0,46.8,67.0,82.8,69.0,0,6,25.0,1,0,2,91.7,1,4,189,6,2,1,0,6,4,1.5,6.0
Karlos Dansby,1754,LB,ARZ,7,2,5.3,74.2,89.6,9.6,7.1,0,1,1,3.2,1,47.9,52.2,83.0,65.1,57.1,59.8,0,35,19.0,4,1,0,115.8,23,233,260,9,15,31,2,226,125,1.0,9.8
Mike Adams,1972,S,CAR,7,0,10.4,75.0,94.9,19.2,14.4,0,1,2,12.5,5,66.1,68.8,84.6,63.1,68.1,71.6,0,25,10.5,2,2,1,132.6,12,243,256,5,17,16,3,109,54,0.5,9.1
Adam Jones,2223,CB,CIN,4,0,10.4,35.3,100.0,15.7,5.5,0,0,5,29.4,7,55.2,57.8,81.7,,69.5,81.8,0,11,0.0,0,4,3,44.0,6,102,102,2,8,17,0,41,8,0.4,6.8
Thomas Davis Sr.,2231,LB,CAR,7,2,2.3,86.7,81.1,11.0,9.5,1,0,1,6.7,5,83.7,78.7,33.5,75.3,61.6,81.6,0,12,0.0,0,0,1,85.8,13,150,185,11,12,15,0,69,51,0.5,5.3
Derrick Johnson,2232,LB,KC,7,3,4.1,37.5,93.7,40.7,15.3,0,0,3,18.8,16,78.0,65.7,85.2,46.8,48.1,47.1,0,20,33.3,3,2,0,48.2,6,267,285,0,3,16,0,57,30,0.2,9.5
Lorenzo Alexander,2476,ED,BUF,6,0,3.5,85.0,52.1,5.6,4.8,0,0,0,0.0,4,33.1,55.0,47.8,69.5,68.9,30.3,0,39,26.7,4,0,1,118.3,17,99,190,4,11,20,1,168,118,1.8,9.9
Haloti Ngata,2957,DI,DET,5,0,,,2.2,,,0,0,0,,11,54.3,66.4,42.5,75.5,61.2,73.1,0,,,0,0,1,0.0,0,2,93,2,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,6,0,14.1,42.1,100.0,19.9,8.4,1,1,4,21.1,13,80.6,78.1,83.0,,55.9,58.6,2,38,0.0,0,4,1,44.7,8,170,170,4,8,19,1,135,19,0.8,16.9
Frostee Rucker,3036,DI,ARZ,7,0,5.0,100.0,0.6,1.0,1.0,0,0,1,100.0,1,63.4,54.6,64.3,54.9,54.3,28.1,0,8,0.0,0,0,1,100.0,1,1,175,2,1,1,0,8,3,8.0,8.0
Elvis Dumervil,3071,ED,SF,7,0,,,1.8,,,0,0,0,,28,75.8,63.4,39.0,69.9,29.8,58.7,0,,0.0,0,0,1,0.0,0,2,110,4,1,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,6,1,,,2.0,,,0,0,0,,4,62.1,61.6,41.1,59.3,64.5,75.0,0,,0.0,0,0,2,0.0,0,4,200,2,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,7,1,9.0,66.7,97.4,35.5,23.7,0,1,1,11.1,1,90.0,91.0,83.3,70.8,76.3,87.1,3,31,5.9,1,1,1,44.4,6,228,234,4,15,9,0,57,26,0.3,9.5
Tramon Williams,3558,CB,ARZ,4,0,12.6,70.0,97.1,9.1,6.4,0,0,0,0.0,1,73.2,72.3,80.0,56.8,64.1,82.4,1,41,0.0,0,0,0,63.8,7,68,70,2,9,10,0,103,14,1.6,14.7
Brent Grimes,3589,CB,TB,5,1,13.8,65.5,100.0,10.3,6.8,0,0,4,13.8,30,61.6,61.8,82.7,,58.6,68.1,1,30,4.5,1,4,0,78.2,19,210,210,4,20,29,0,250,48,1.3,13.2
Lawrence Timmons,3631,LB,MIA,4,1,2.3,79.2,89.0,7.0,5.5,0,0,1,4.2,17,70.0,72.5,79.9,69.5,67.1,64.3,0,31,11.1,2,1,0,109.2,19,138,155,9,15,24,1,165,120,1.2,8.7
