player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,5,25,25,4.25,40.32,50.08,17.4,0,0,2,7,13,71.4,12,68,2,0,56.0,244,14,25,106.19,1008,0,1252
Andy Lee,1906,P,ARZ,5,28,28,4.33,37.93,47.39,14.7,0,0,4,3,1,69.5,6,60,3,0,64.3,265,18,28,121.26,1062,0,1327
Donnie Jones,1939,P,PHI,5,17,17,4.39,40.24,43.82,3.5,0,0,1,4,24,69.7,6,58,3,0,35.3,21,6,17,74.58,684,2,745
Dustin Colquitt,2316,P,KC,5,21,21,4.51,37.62,44.24,13.2,0,0,2,9,16,58.8,9,63,1,0,28.6,79,6,21,94.67,790,3,929
Sam Koch,3148,P,BLT,5,26,26,4.27,40.65,43.65,4.2,0,0,5,5,3,61.3,10,67,5,0,34.6,38,9,26,111.13,1057,2,1135
Matt Prater,3471,K,DET,1,4,4,3.72,34.75,34.75,,0,0,2,2,11,43.1,1,47,0,0,0.0,0,0,4,14.89,139,0,139
Jon Ryan,3493,P,SEA,5,28,28,4.46,40.46,44.43,7.6,0,0,7,6,29,74.0,10,64,2,0,42.9,91,12,28,124.9,1133,1,1244
Brett Kern,4580,P,TEN,5,28,28,4.25,47.04,51.75,6.1,0,0,1,3,31,85.4,9,71,7,0,53.6,92,15,28,118.99,1317,2,1449
Kevin Huber,5066,P,CIN,5,26,26,4.16,41.04,46.92,9.6,0,0,2,5,7,56.6,14,61,3,0,61.5,153,16,26,108.28,1067,0,1220
Thomas Morstead,5088,P,NO,4,12,12,4.5,45.92,48.58,4.6,0,0,1,3,20,79.1,5,68,1,0,58.3,32,7,12,54.02,551,0,583
Britton Colquitt,5192,P,CLV,5,24,24,4.42,43.75,50.25,9.2,1,0,3,3,8,73.8,8,67,1,0,70.8,156,17,25,106.19,1050,0,1206
Matt Bosher,6344,P,ATL,4,12,12,4.73,41.58,46.17,13.8,0,0,1,7,2,79.9,7,62,0,0,33.3,55,4,12,56.74,499,0,554
Chris Jones,6798,P,DAL,5,20,20,4.53,40.65,43.9,5.6,0,0,3,5,9,78.8,14,62,3,0,40.0,45,8,20,90.58,813,1,878
Bryan Anger,7072,P,TB,4,17,17,4.68,42.24,45.82,12.2,0,0,4,6,30,71.6,7,62,2,0,29.4,61,5,17,79.57,718,0,779
Brad Nortman,7192,P,JAX,5,25,25,4.41,41.24,45.36,16.6,0,0,2,11,15,72.4,12,61,6,0,20.0,83,5,25,110.27,1031,1,1134
Johnny Hekker,7252,P,LA,5,16,16,4.41,45.31,47.31,3.6,0,0,3,1,26,66.2,8,64,3,0,56.3,32,9,16,70.55,725,0,757
Marquette King,7410,P,OAK,5,23,23,4.56,46.09,52.0,6.9,0,0,1,4,23,89.2,10,65,2,0,60.9,96,14,23,104.85,1060,2,1196
Ryan Quigley,7573,P,MIN,5,22,22,4.69,41.23,42.32,3.4,0,0,0,11,18,77.9,10,55,4,0,31.8,24,7,22,103.17,907,0,931
Jeff Locke,7937,P,DET,4,22,22,4.42,41.05,44.5,8.4,0,0,2,9,11,68.3,8,54,2,0,40.9,76,9,22,97.32,903,0,979
Colton Schmidt,8104,P,BUF,5,28,28,4.37,39.86,45.86,5.9,0,0,1,8,4,59.3,9,60,0,0,53.6,88,15,28,122.23,1116,4,1284
Ryan Allen,8242,P,NE,5,22,22,4.08,37.64,43.09,7.7,0,0,4,1,19,43.4,8,60,3,0,59.1,100,13,22,89.85,828,1,948
Brad Wing,8256,P,NYG,5,28,28,4.2,34.96,43.57,16.1,0,0,4,6,21,54.6,5,60,4,0,35.7,161,10,28,117.62,979,4,1220
Tress Way,8358,P,WAS,4,17,17,4.47,41.65,44.47,4.0,0,0,1,7,32,72.7,9,62,1,0,41.2,28,7,17,76.01,708,1,756
Pat O'Donnell,8826,P,CHI,5,24,24,4.42,39.63,47.21,10.2,0,0,2,5,6,65.7,10,69,3,0,41.7,102,10,24,106.18,951,4,1133
Kasey Redfern,9155,P,DET,1,1,1,3.81,50.0,50.0,0.0,0,0,0,0,11,60.0,0,50,0,0,100.0,0,1,1,3.81,50,0,50
Michael Palardy,9277,P,CAR,5,18,18,4.67,40.72,44.56,5.8,0,0,1,7,5,77.1,3,60,3,0,27.8,29,5,18,84.04,733,2,802
Bradley Pinion,9598,P,SF,5,26,26,4.6,44.62,45.31,1.4,0,0,1,8,28,80.8,11,59,4,0,50.0,18,13,26,119.55,1160,0,1178
Jordan Berry,10236,P,PIT,5,23,23,4.38,38.65,41.52,7.7,0,0,3,8,25,58.5,10,59,5,0,26.1,46,6,23,100.8,889,1,955
Drew Kaser,10813,P,LAC,5,24,24,4.1,40.08,48.92,9.4,0,0,3,1,27,67.8,12,68,2,0,58.3,132,14,24,98.42,962,4,1174
Riley Dixon,10862,P,DEN,4,15,15,4.32,40.33,44.6,7.3,0,0,3,3,10,56.1,6,53,2,0,40.0,44,6,15,64.86,605,1,669
Lachlan Edwards,10869,P,NYJ,5,26,26,4.25,42.31,47.27,8.1,0,0,2,7,22,63.6,13,70,4,0,42.3,89,11,26,110.48,1100,2,1229
Justin Vogel,12119,P,GB,5,21,21,4.67,44.05,46.14,4.4,0,0,3,5,12,71.5,7,62,3,0,47.6,44,10,21,98.06,925,0,969
Rigoberto Sanchez,12130,P,IND,5,30,30,4.43,44.17,45.53,3.5,0,0,4,10,14,79.0,12,61,9,0,20.0,21,6,30,132.87,1325,1,1366
Matt Haack,12212,P,MIA,4,25,25,4.52,42.04,47.4,9.4,0,0,6,4,17,68.1,8,64,3,0,40.0,94,10,25,113.0,1051,2,1185
