player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,3,0,0,,0,0,5,,65.1,82.7,61.7,63.2,74.9,1,2,0,,0.0,0,0,0,0.0,0,4,0,0,0,86,86,0,11,69,6,0,0,60,26,0,5,2,0,7,0,0,0,
James Harrison,1251,ED,PIT,2,0,0,,0,0,25,60.5,68.7,71.1,68.9,60.0,,0,1,0,,,0,0,0,0.0,0,0,0,0,2,7,7,0,0,7,0,0,0,2,3,0,0,0,0,1,0,0,0,
Terence Newman,1321,CB,MIN,3,1,0,62.5,0,0,18,67.4,66.2,79.4,58.3,56.7,84.7,0,0,0,27,0.0,0,1,1,124.7,10,0,9,33,84,116,4,0,0,4,0,0,112,2,30,70,3,9,16,0,2,119,40,11.9
Terrell Suggs,1326,ED,BLT,3,1,1,100.0,0,2,3,65.0,74.0,43.0,74.8,63.7,64.4,2,7,0,6,14.3,1,0,1,91.7,1,3,1,0,3,149,148,0,0,148,0,0,1,93,53,0,6,5,1,12,0,6,4,6.0
Karlos Dansby,1754,LB,ARZ,3,5,0,75.0,0,0,1,47.0,54.7,79.2,49.2,67.0,54.9,0,1,0,15,12.0,3,0,0,123.6,9,0,173,1,95,181,0,0,0,0,0,0,181,7,79,6,11,17,12,1,1,90,36,10.0
Mike Adams,1972,S,CAR,3,0,0,66.7,0,0,5,55.0,58.1,81.0,57.5,68.1,85.3,1,0,0,25,0.0,0,0,0,109.7,2,0,49,2,98,169,21,0,0,21,0,77,148,11,60,20,4,9,3,1,0,38,36,19.0
Adam Jones,2223,CB,CIN,2,0,0,40.0,0,0,7,56.7,59.1,80.9,,69.0,81.2,0,0,0,11,0.0,0,4,3,47.9,6,0,5,112,81,118,0,0,0,0,0,0,118,0,37,1,2,8,15,0,0,41,8,6.8
Thomas Davis Sr.,2231,LB,CAR,3,2,0,86.7,0,0,5,83.9,80.3,79.6,72.3,58.4,75.2,1,1,0,12,4.8,1,0,0,85.8,13,1,133,1,88,156,12,0,0,12,0,0,144,15,53,10,14,18,15,3,0,69,51,5.3
Derrick Johnson,2232,LB,KC,3,3,0,25.0,0,0,16,73.8,69.4,81.9,48.9,59.9,64.9,0,1,0,11,7.7,1,0,0,39.6,2,0,186,5,127,208,10,0,0,10,0,3,198,11,70,4,5,9,8,1,0,21,7,10.5
Lorenzo Alexander,2476,ED,BUF,3,1,0,100.0,0,0,4,33.3,60.0,81.3,65.5,77.4,37.2,1,7,0,10,28.6,4,0,0,91.7,5,2,56,0,31,110,49,0,0,49,0,0,61,44,35,5,7,9,5,10,0,30,15,6.0
Ahmad Brooks,2945,ED,GB,2,0,0,,0,0,12,,66.0,79.2,57.2,69.3,30.0,1,1,0,,50.0,1,0,0,0.0,0,1,1,0,0,38,37,0,0,37,0,0,1,22,16,0,2,1,0,3,0,0,0,
Haloti Ngata,2957,DI,DET,3,1,1,,0,0,11,55.2,59.1,28.9,70.5,59.3,72.0,0,2,0,,0.0,0,0,1,0.0,0,1,1,0,1,102,101,9,80,0,12,0,1,66,35,0,4,4,0,3,0,0,0,
Johnathan Joseph,2969,CB,HST,3,0,0,50.0,0,0,13,67.7,66.0,80.2,,52.1,37.2,0,0,0,22,25.0,1,1,0,116.7,3,0,10,112,79,127,0,0,0,0,0,0,127,0,48,5,0,3,6,0,1,48,3,16.0
Frostee Rucker,3036,DI,ARZ,3,0,0,100.0,0,0,1,63.4,57.2,36.3,55.7,58.7,29.2,2,3,0,8,28.6,2,0,1,100.0,1,0,0,0,1,118,117,8,87,7,15,0,1,67,50,0,3,5,1,5,0,8,3,8.0
Domata Peko Sr.,3068,DI,DEN,3,0,0,,0,0,10,,74.4,80.4,58.8,75.0,71.1,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,80,80,30,49,0,1,0,0,36,44,0,4,5,0,1,0,0,0,
Elvis Dumervil,3071,ED,SF,3,0,0,,0,0,28,60.0,54.5,0.0,70.0,36.6,69.9,1,7,0,,,0,0,1,0.0,0,0,0,0,1,48,48,0,0,48,0,0,0,41,6,0,0,0,0,8,0,0,0,
Kyle Williams,3079,DI,BUF,3,2,1,,0,0,4,62.3,70.0,81.7,60.2,71.0,73.9,1,5,0,,8.3,1,0,0,0.0,0,1,0,0,3,144,144,4,119,0,21,0,0,99,42,0,7,9,0,7,0,0,0,
Antoine Bethea,3152,S,ARZ,3,0,0,75.0,0,0,1,73.6,76.5,79.9,67.6,61.2,66.1,1,0,0,31,10.0,1,0,0,94.3,6,0,24,1,96,142,4,0,0,4,0,104,138,1,45,9,5,9,8,1,0,57,26,9.5
