player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,CAR,2,0,1.0,0,0,5,,71.8,81.1,64.4,71.5,74.9,0.0,0,0,14,15,14.3,2,2
James Harrison,1251,ED,PIT,1,0,,0,0,25,,70.3,69.8,68.9,60.0,,,0,0,2,2,0.0,0,0
Terence Newman,1321,CB,MIN,2,1,2.0,0,0,18,66.9,65.4,78.7,60.0,55.8,82.5,0.0,0,1,27,28,0.0,0,1
Terrell Suggs,1326,ED,BLT,2,1,2.5,0,0,3,63.5,71.3,26.9,76.2,56.2,61.2,0.0,0,1,32,32,3.1,1,2
Karlos Dansby,1754,LB,ARZ,2,1,2.5,0,0,1,47.1,52.3,79.1,51.4,63.8,47.8,0.0,0,0,52,54,15.4,8,10
Mike Adams,1972,S,CAR,2,0,3.0,0,0,5,63.3,68.6,78.4,61.5,75.7,84.1,0.0,0,0,30,33,6.7,2,3
Adam Jones,2223,CB,CIN,1,0,9.0,0,0,7,50.3,54.6,78.1,,68.3,79.1,0.0,0,1,28,28,0.0,0,1
Thomas Davis Sr.,2231,LB,CAR,2,0,0.8,0,0,5,87.1,90.3,78.2,75.4,73.9,83.9,0.0,0,0,30,33,13.3,4,4
Derrick Johnson,2232,LB,KC,2,2,0.0,0,0,16,70.9,70.0,80.2,50.6,65.1,68.6,0.0,0,0,47,50,6.4,3,5
Lorenzo Alexander,2476,ED,BUF,2,1,4.3,0,0,4,41.5,65.5,78.7,69.5,77.0,31.4,12.5,1,0,24,24,12.5,3,6
Ahmad Brooks,2945,ED,GB,1,0,,0,0,12,,50.6,73.6,51.6,60.0,,,0,0,1,1,0.0,0,0
Haloti Ngata,2957,DI,DET,2,1,1.0,0,0,11,55.2,66.2,79.6,70.2,66.3,70.1,0.0,0,0,19,19,5.3,1,1
Johnathan Joseph,2969,CB,HST,2,0,7.0,0,0,13,65.6,66.9,78.0,,66.9,75.1,0.0,0,0,27,29,0.0,0,1
Frostee Rucker,3036,DI,ARZ,2,0,1.0,0,0,1,63.4,65.2,80.5,55.5,64.2,46.1,20.0,1,0,33,35,6.1,2,4
Domata Peko Sr.,3068,DI,DEN,2,0,2.3,0,0,10,,65.3,78.7,63.0,62.4,70.3,0.0,0,0,23,23,8.7,2,3
Elvis Dumervil,3071,ED,SF,2,0,,0,0,28,,54.2,0.0,65.1,53.9,,,0,1,5,5,0.0,0,0
Kyle Williams,3079,DI,BUF,2,2,3.0,0,0,4,62.3,76.2,79.9,61.8,77.3,72.6,14.3,1,0,27,28,11.1,3,4
Antoine Bethea,3152,S,ARZ,2,0,1.0,0,0,1,73.7,80.4,79.3,67.6,72.8,63.6,0.0,0,0,31,31,3.2,1,1
Tom Johnson,3378,DI,MIN,2,1,2.0,1,0,18,,47.2,0.0,54.7,58.1,30.0,33.3,1,2,29,30,3.4,1,1
Brent Grimes,3589,CB,TB,1,0,2.0,0,0,30,51.2,55.0,76.2,,71.8,66.1,0.0,0,0,16,16,6.3,1,1
Reggie Nelson,3637,S,OAK,2,1,8.3,0,0,23,69.0,75.3,82.3,56.7,76.6,88.3,0.0,0,0,42,43,4.8,2,7
Alan Branch,3649,DI,NE,2,0,1.5,0,0,19,39.2,44.8,77.1,62.2,49.2,69.5,0.0,0,0,23,24,8.7,2,2
Paul Posluszny,3650,LB,JAX,2,2,3.5,0,0,15,76.9,63.6,75.1,54.7,54.0,79.8,0.0,0,0,34,36,0.0,0,2
Eric Weddle,3653,S,BLT,2,0,11.5,0,0,3,55.0,58.2,84.3,59.1,70.1,60.5,0.0,0,0,37,38,2.7,1,4
David Harris,3663,LB,NE,2,0,,0,0,19,,64.8,68.2,,61.7,,,0,0,3,3,0.0,0,0
Charles Johnson,3699,ED,CAR,2,0,5.0,0,0,5,54.0,44.5,13.5,55.7,60.1,38.3,0.0,0,2,14,16,7.1,1,2
Brandon Mebane,3701,DI,LAC,2,2,3.3,0,0,27,60.0,71.2,81.5,58.0,72.0,72.4,14.3,1,0,41,42,7.3,3,4
Brian Robison,3718,ED,MIN,2,0,3.0,0,0,18,60.0,46.8,8.7,55.4,55.5,71.7,33.3,1,1,28,28,3.6,1,2
Corey Graham,3784,S,PHI,2,0,12.0,0,0,24,57.0,51.1,74.9,,44.5,28.0,50.0,1,0,18,18,0.0,0,1
William Gay,3786,CB,PIT,2,0,2.5,0,0,25,68.3,70.1,0.0,,85.3,62.4,0.0,0,1,5,6,40.0,2,2
Chris Long,4316,ED,PHI,2,0,6.0,0,0,24,60.0,43.2,79.4,53.4,51.4,25.1,50.0,1,0,12,12,0.0,0,1
Dominique Rodgers-Cromartie,4330,CB,NYG,2,4,6.7,0,0,21,70.9,72.5,78.5,72.0,67.1,52.5,15.4,2,0,45,48,11.1,5,7
Aqib Talib,4334,CB,DEN,2,0,,0,0,10,81.3,80.8,80.3,,65.5,57.5,,0,0,31,31,0.0,0,0
Calais Campbell,4364,ED,JAX,2,0,3.3,0,0,15,60.0,81.6,83.3,87.7,55.3,73.7,0.0,0,0,46,48,6.5,3,3
Pat Sims,4391,DI,CIN,2,4,4.0,0,0,7,60.0,61.3,13.1,67.1,62.6,72.2,0.0,0,1,42,43,2.4,1,3
Cliff Avril,4406,ED,SEA,2,1,,0,0,29,62.1,45.9,0.0,53.4,65.4,71.7,0.0,0,3,27,27,0.0,0,0
Tyvon Branch,4414,S,ARZ,2,1,3.2,0,0,1,71.2,74.0,81.6,77.6,64.2,86.2,14.3,1,0,52,54,5.8,3,5
William Hayes,4417,ED,MIA,1,0,,0,0,17,,89.1,78.1,78.3,74.1,69.6,,0,0,7,8,0.0,0,0
Quintin Demps,4431,S,CHI,2,3,1.5,1,0,6,37.6,40.8,78.9,,67.3,26.6,16.7,1,1,55,59,3.6,2,2
Brandon Carr,4454,CB,BLT,2,0,,0,0,3,68.0,65.9,0.0,,65.0,53.4,,0,1,38,39,0.0,0,0
Orlando Scandrick,4457,CB,DAL,1,0,3.0,0,0,9,70.9,80.9,72.2,,71.9,74.2,0.0,0,0,3,3,33.3,1,1
Erik Walden,4481,ED,TEN,2,1,2.0,0,0,31,64.2,73.2,79.6,72.4,61.7,43.7,25.0,1,0,19,20,10.5,2,2
