team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
NO,20,18,636,29,78,636,88.9,124,17
BUF,4,17,616,17,99,616,87.7,134,18
OAK,23,16,592,14,99,592,87.1,133,20
MIA,17,16,646,23,116,646,87.1,153,14
BLT,3,16,596,16,105,596,87.0,138,17
PIT,25,17,681,29,122,681,86.9,165,14
KC,16,17,656,21,125,656,86.6,161,15
JAX,15,18,633,33,121,633,86.3,164,10
TEN,31,18,638,19,116,638,86.3,155,20
PHI,24,17,667,38,101,667,86.1,162,23
TB,30,16,677,26,119,677,85.7,169,24
MIN,18,17,615,37,119,615,85.4,168,12
SF,28,16,667,32,124,667,84.9,179,23
ATL,2,18,642,36,113,642,84.8,172,23
LA,26,17,599,25,118,599,84.7,163,20
DAL,9,16,555,26,108,555,84.5,153,19
CAR,5,17,611,23,130,611,84.4,172,19
CHI,6,16,536,26,108,536,84.3,151,17
GB,12,16,651,26,131,651,84.3,181,24
NYG,21,16,650,24,129,650,84.1,180,27
CLV,8,16,679,32,133,679,84.0,191,26
CIN,7,16,562,10,125,562,83.9,158,23
NE,19,17,681,44,137,681,83.6,202,21
LAC,27,16,602,36,143,602,83.6,188,9
WAS,32,16,606,35,121,606,83.0,181,25
SEA,29,16,653,28,162,653,82.5,209,19
NYJ,22,16,577,28,124,577,82.5,177,25
DET,11,16,633,23,154,633,82.5,199,22
IND,14,16,581,26,134,581,82.4,182,22
DEN,10,16,655,31,145,655,81.7,208,32
ARZ,1,16,664,39,147,664,81.3,217,31
HST,13,16,602,36,182,602,76.1,253,35
