player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,6,32,32,4.25,41.09,50.06,14.4,0,0,3,7,13,72.1,14,68,2,0,62.5,287,20,32,136.06,1315,0,1602
Andy Lee,1906,P,ARZ,7,36,36,4.33,37.17,46.75,13.9,0,0,6,3,1,66.9,7,60,3,0,61.1,305,22,36,155.88,1338,2,1683
Donnie Jones,1939,P,PHI,7,26,26,4.34,41.65,46.27,6.7,0,0,2,5,24,66.9,8,59,4,0,46.2,80,12,26,112.78,1083,2,1203
Dustin Colquitt,2316,P,KC,7,28,28,4.6,39.89,44.86,9.9,0,0,4,11,16,59.7,15,63,2,0,28.6,79,8,28,128.73,1117,3,1256
Sam Koch,3148,P,BLT,7,39,39,4.33,41.15,46.38,10.3,0,0,8,5,3,68.1,13,67,8,0,41.0,164,16,39,168.81,1605,2,1809
Matt Prater,3471,K,DET,1,4,4,3.72,34.75,34.75,,0,0,2,2,11,43.1,1,47,0,0,0.0,0,0,4,14.89,139,0,139
Jon Ryan,3493,P,SEA,6,33,33,4.48,40.09,43.45,6.5,0,0,7,8,29,72.9,15,64,3,0,42.4,91,14,33,147.82,1323,1,1434
Brett Kern,4580,P,TEN,7,33,33,4.25,46.55,51.55,5.8,0,0,1,4,31,88.0,12,71,7,0,54.5,105,18,33,140.29,1536,3,1701
Kevin Huber,5066,P,CIN,6,31,31,4.22,42.26,47.42,9.4,0,0,4,7,7,60.4,16,61,3,0,54.8,160,17,31,130.87,1310,0,1470
Thomas Morstead,5088,P,NO,6,21,21,4.54,40.33,47.86,12.5,0,0,3,4,20,89.3,11,68,2,0,52.4,138,11,21,95.31,847,1,1005
Britton Colquitt,5192,P,CLV,7,35,35,4.44,43.11,49.77,9.7,1,0,6,4,8,72.8,12,67,1,0,68.6,233,24,36,155.28,1509,0,1742
Matt Bosher,6344,P,ATL,6,17,17,4.7,40.82,44.47,10.3,0,0,2,8,2,75.9,7,62,1,0,35.3,62,6,17,79.91,694,0,756
Chris Jones,6798,P,DAL,6,23,23,4.52,41.09,44.35,6.1,0,0,3,6,9,80.9,16,62,4,0,39.1,55,9,23,103.88,945,1,1020
Bryan Anger,7072,P,TB,6,23,23,4.68,39.52,43.91,10.2,0,0,4,9,30,71.6,10,62,2,0,26.1,61,6,23,107.71,909,2,1010
