player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,8,0,0,,0,2,5,61.1,80.1,87.1,69.9,78.2,66.5,2,7,0,,14.3,1,0,0,0.0,0,9,0,0,2,228,228,0,19,195,14,0,0,152,74,0,14,6,0,18,0,0,0,
Dwight Freeney,1019,ED,SEA,1,0,0,,0,0,29,,61.5,77.5,60.2,60.0,69.2,0,1,0,,,0,0,0,0.0,0,1,0,0,0,18,18,0,0,18,0,0,0,16,2,0,1,0,0,2,0,0,0,
James Harrison,1251,ED,PIT,4,0,0,100.0,0,0,25,64.8,75.0,76.3,84.3,50.1,35.4,1,2,0,5,50.0,1,0,0,87.5,1,1,2,2,8,29,24,0,0,24,0,0,5,14,7,1,1,1,1,4,0,5,1,5.0
Terence Newman,1321,CB,MIN,8,3,0,58.3,0,0,18,73.1,71.8,81.6,71.0,57.8,75.2,0,0,0,27,4.8,1,1,1,106.8,14,0,36,39,198,291,8,0,0,8,0,2,283,5,88,206,8,17,24,0,2,163,51,11.6
Terrell Suggs,1326,ED,BLT,8,4,2,100.0,1,2,3,78.1,75.7,52.2,63.1,82.4,69.6,5,18,0,6,9.5,2,0,2,91.7,1,5,2,0,4,403,401,0,0,401,0,0,2,226,173,0,16,15,1,28,0,6,4,6.0
Karlos Dansby,1754,LB,ARZ,7,7,0,74.2,0,0,1,47.9,52.2,83.0,65.1,57.1,59.8,0,5,0,35,11.1,5,1,0,115.8,23,0,413,2,233,448,12,0,0,12,0,0,436,27,188,20,24,33,31,5,2,226,125,9.8
Mike Adams,1972,S,CAR,8,1,0,73.7,0,0,5,65.6,68.2,85.4,59.8,69.0,72.9,2,1,1,25,10.8,4,2,1,108.6,14,0,126,5,287,464,49,0,0,49,0,224,415,16,161,60,12,32,19,3,3,125,78,8.9
Adam Jones,2223,CB,CIN,5,0,0,42.1,0,0,7,55.0,57.8,82.8,,70.3,64.4,0,0,0,17,9.1,1,4,3,52.5,8,0,8,183,130,192,0,0,0,0,0,0,192,0,62,1,2,10,19,0,0,70,24,8.8
Thomas Davis Sr.,2231,LB,CAR,8,6,0,72.7,1,0,5,75.5,72.1,4.5,70.6,63.6,79.1,2,2,0,23,5.3,2,0,2,84.5,16,2,304,2,190,384,46,0,0,46,0,0,338,42,152,32,21,30,22,6,0,115,60,7.2
Derrick Johnson,2232,LB,KC,8,7,0,40.9,0,0,16,76.5,63.7,85.9,46.4,46.3,50.3,0,3,0,20,18.8,9,3,0,50.4,9,0,486,6,309,530,18,0,0,18,0,5,512,20,201,15,15,32,22,3,0,75,34,8.3
Lorenzo Alexander,2476,ED,BUF,7,3,0,81.8,0,2,4,39.0,56.5,27.9,67.5,70.0,32.6,6,11,0,39,23.1,9,0,2,114.2,18,2,181,0,112,331,133,0,0,133,0,0,198,106,113,17,15,27,22,19,1,171,119,9.5
Ahmad Brooks,2945,ED,GB,4,1,0,,0,0,12,,66.8,82.3,58.4,69.7,51.1,2,3,0,,20.0,1,0,0,0.0,0,1,2,0,0,98,96,0,3,93,0,0,2,56,42,0,4,3,0,6,0,0,0,
Haloti Ngata,2957,DI,DET,5,1,1,,0,0,11,54.3,66.4,42.5,75.5,61.2,73.1,1,4,0,,0.0,0,0,1,0.0,0,2,1,0,2,145,144,10,112,1,21,0,1,91,52,0,6,5,0,7,0,0,0,
Johnathan Joseph,2969,CB,HST,7,4,0,50.0,1,0,13,83.8,81.4,83.7,,57.5,64.8,0,0,2,38,9.5,2,4,1,49.6,11,0,25,287,214,331,0,0,0,0,0,0,331,0,117,19,5,15,22,0,1,151,26,13.7
Frostee Rucker,3036,DI,ARZ,7,1,1,100.0,0,0,1,63.4,54.6,64.3,54.9,54.3,28.1,3,5,0,8,25.0,4,0,1,100.0,1,1,0,0,1,297,296,17,211,18,50,0,1,174,122,0,8,11,1,9,0,8,3,8.0
Domata Peko Sr.,3068,DI,DEN,7,9,0,,0,0,10,62.2,84.3,85.1,60.4,84.2,63.1,0,2,0,,9.5,2,0,0,0.0,0,1,1,0,0,219,218,122,95,0,1,0,1,96,123,0,10,10,0,3,0,0,0,
Elvis Dumervil,3071,ED,SF,8,0,0,,0,0,28,75.8,63.0,43.1,68.9,30.1,58.7,1,12,0,,0.0,0,0,1,0.0,0,4,0,0,2,143,143,0,0,143,0,0,0,120,21,0,5,2,0,17,0,0,0,
Kyle Williams,3079,DI,BUF,7,4,1,,0,0,4,62.1,63.6,46.5,60.1,66.4,75.2,2,13,0,,5.6,1,0,2,0.0,0,1,0,0,5,344,344,5,280,4,55,0,0,230,109,0,9,13,0,16,0,0,0,
Antoine Bethea,3152,S,ARZ,7,4,0,66.7,0,0,1,90.0,91.0,83.3,70.8,76.3,87.1,1,1,3,31,3.1,1,1,1,44.4,6,0,61,1,228,350,11,0,0,11,0,256,339,6,116,21,7,27,9,2,0,57,26,9.5
Tom Johnson,3378,DI,MIN,8,3,0,,1,0,18,57.8,55.0,14.8,63.3,56.7,47.6,4,6,0,,14.3,2,0,4,0.0,0,2,1,0,1,340,338,39,295,0,4,0,2,236,103,0,9,9,0,12,0,0,0,
