player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,NE,11,100.0,0,19,80.7,65.3,82.4,5,11,441,100.0,100.0,98.0,1,17,1,790,0,0,0,790,477,477,790,0,313,0
Joe Thuney,10712,G,NE,11,100.0,0,19,73.5,77.2,66.8,9,13,441,100.0,100.0,97.3,2,23,1,790,0,790,0,790,477,477,0,0,313,0
Breno Giacomini,4464,T,HST,11,100.0,2,13,50.2,45.1,58.8,4,51,418,100.0,100.0,92.0,6,61,6,780,0,0,0,780,464,464,0,780,316,0
Nick Martin,10684,C,HST,11,100.0,0,13,65.8,70.8,61.1,3,12,418,100.0,100.0,98.0,2,16,1,780,780,0,0,780,464,464,0,0,316,0
Nate Solder,6169,T,NE,11,100.0,1,19,68.8,66.7,67.3,5,29,436,100.0,100.0,95.4,6,37,3,778,0,0,758,778,472,472,0,0,306,20
Germain Ifedi,10665,T,SEA,11,100.0,0,29,53.3,67.8,45.0,2,35,479,100.0,100.0,95.7,11,39,2,774,0,0,0,774,526,526,0,773,248,0
Pat Elflein,11825,C,MIN,11,100.0,2,18,68.5,63.3,68.6,6,13,397,100.0,100.0,97.1,3,21,2,771,771,0,0,771,429,429,0,0,342,0
A.Q. Shipley,5150,C,ARZ,11,100.0,1,1,66.0,79.4,60.7,2,7,466,100.0,100.0,98.4,3,12,3,770,770,0,0,770,503,503,0,0,267,0
Joe Berger,2424,G,MIN,11,100.0,0,18,76.0,76.8,72.4,2,16,396,100.0,100.0,97.2,2,20,2,769,0,0,0,769,428,428,769,0,341,0
Matt Paradis,8841,C,DEN,11,100.0,0,10,75.9,77.0,72.1,2,11,460,100.0,100.0,98.6,0,13,0,768,767,0,0,768,489,489,0,0,279,0
Justin Britt,8699,C,SEA,11,100.0,0,29,70.0,81.9,63.7,1,4,477,100.0,100.0,99.3,3,6,1,768,767,0,0,768,523,523,0,0,245,0
Jared Veldheer,5594,T,ARZ,11,100.0,2,1,62.0,63.5,60.2,5,26,462,100.0,100.0,95.8,6,35,4,766,0,0,131,766,499,499,0,635,267,0
David DeCastro,7640,G,PIT,11,100.0,1,25,90.1,87.5,87.7,0,11,416,100.0,100.0,98.7,6,11,0,766,0,0,0,766,452,452,766,0,314,0
Maurkice Pouncey,5543,C,PIT,11,100.0,1,25,75.7,78.6,73.5,3,13,416,100.0,100.0,97.8,4,17,1,762,762,0,0,762,452,452,0,0,310,0
Kevin Zeitler,7032,G,CLV,11,100.0,0,8,73.3,78.7,65.6,6,17,487,100.0,100.0,97.4,2,24,1,760,0,0,0,760,526,526,760,0,234,0
Joel Bitonio,8670,G,CLV,11,100.0,0,8,73.6,87.0,59.8,3,7,487,100.0,100.0,97.7,0,16,6,760,0,760,0,760,526,526,0,0,234,0
Xavier Su'a-Filo,8668,G,HST,11,100.0,0,13,51.9,48.4,53.1,8,21,407,100.0,100.0,95.0,4,35,6,760,0,760,0,760,450,450,0,0,310,0
J.C. Tretter,7904,C,CLV,11,100.0,0,8,70.4,76.1,65.7,3,18,487,100.0,100.0,97.6,2,22,1,760,760,0,0,760,526,526,0,0,234,0
Brandon Brooks,7078,G,PHI,11,100.0,0,24,84.1,89.1,75.6,1,10,410,100.0,100.0,98.7,1,11,0,757,0,0,0,757,440,440,757,0,317,0
Andrew Norwell,9126,G,CAR,11,100.0,1,5,68.7,89.3,57.0,0,12,400,100.0,100.0,98.5,1,12,0,752,0,752,0,752,429,429,0,0,323,0
Daryl Williams,9535,T,CAR,11,100.0,0,5,75.6,76.4,67.2,3,21,400,100.0,100.0,96.2,2,27,3,752,0,0,7,752,429,429,0,745,323,0
Riley Reiff,7029,T,MIN,11,100.0,2,18,63.8,71.8,58.7,5,21,390,100.0,100.0,96.7,6,26,0,752,0,0,741,752,422,422,0,0,330,11
Jason Kelce,6343,C,PHI,11,100.0,0,24,92.4,66.8,94.2,4,12,409,100.0,100.0,97.6,5,18,2,751,751,0,0,751,439,439,0,0,312,0
Matt Kalil,7010,T,CAR,11,100.0,1,5,59.6,67.2,50.2,6,23,399,100.0,100.0,95.1,5,34,5,750,0,0,722,750,428,428,0,0,322,28
Daniel Kilgore,6315,C,SF,11,100.0,3,28,60.4,64.2,60.3,5,13,481,100.0,100.0,97.3,6,22,4,750,750,0,0,750,502,502,0,0,248,0
Garett Bolles,11775,T,DEN,11,100.0,3,10,74.3,71.5,74.7,7,20,455,100.0,100.0,95.7,10,33,6,747,0,0,746,747,483,483,0,0,264,0
Alejandro Villanueva,9091,T,PIT,11,100.0,0,25,73.7,77.4,63.5,5,21,403,100.0,100.0,95.5,3,31,5,745,0,0,745,745,438,438,0,0,307,0
Brandon Fusco,6324,G,SF,11,100.0,0,28,72.9,73.4,73.0,3,18,469,100.0,100.0,97.3,4,23,2,737,0,0,0,737,490,490,737,0,247,0
J.R. Sweezy,7209,G,TB,11,100.0,0,30,61.9,72.9,54.3,2,18,462,100.0,100.0,97.4,5,22,2,736,0,0,0,736,491,491,736,0,245,0
Shon Coleman,10710,T,CLV,11,99.9,4,8,64.5,63.6,68.1,8,32,466,99.8,99.8,94.8,11,44,4,735,0,0,2,736,503,504,0,727,232,3
Ryan Ramczyk,11787,T,NO,11,100.0,1,20,78.6,75.0,75.9,5,11,388,100.0,100.0,97.2,4,19,3,732,0,0,117,732,416,416,0,612,316,3
Austin Howard,5847,T,BLT,11,100.0,1,3,68.7,62.5,68.1,5,16,394,100.0,100.0,96.6,2,24,3,732,0,0,11,732,414,414,2,719,318,0
Ryan Jensen,7985,C,BLT,11,100.0,1,3,72.4,54.8,76.1,1,6,394,100.0,100.0,98.4,3,10,3,732,732,0,0,732,414,414,0,0,318,0
Andrus Peat,9446,G,NO,11,100.0,1,20,70.0,66.2,66.5,4,11,388,100.0,100.0,97.3,6,18,3,732,0,505,227,732,416,416,0,0,316,0
Max Unger,4972,C,NO,11,100.0,0,20,64.6,68.4,60.7,2,6,388,100.0,100.0,98.7,0,9,1,732,732,0,0,732,416,416,0,0,316,0
James Hurst,9001,G,BLT,11,100.0,1,3,59.4,70.7,52.9,2,11,394,100.0,100.0,97.6,4,16,3,732,0,656,73,732,414,414,0,1,318,2
Graham Glasgow,10729,G,DET,11,100.0,0,11,72.5,79.2,65.0,3,12,443,100.0,100.0,97.9,3,17,2,729,87,641,0,729,473,473,0,0,256,0
Travis Frederick,7812,C,DAL,11,100.0,0,9,84.4,79.4,81.9,2,7,390,100.0,100.0,98.8,2,9,0,728,728,0,0,728,426,426,0,0,302,0
La'el Collins,9719,T,DAL,11,100.0,0,9,60.6,55.7,61.4,4,26,390,100.0,100.0,95.1,4,34,4,728,0,0,0,728,426,426,0,728,302,0
Rob Havenstein,9490,T,LA,11,100.0,2,26,65.8,65.0,66.3,3,23,388,100.0,100.0,95.4,7,31,5,726,0,0,0,726,412,412,0,725,314,1
Jamon Brown,9505,G,LA,11,100.0,1,26,61.5,60.5,62.0,5,20,387,100.0,100.0,96.5,5,26,1,725,0,0,0,725,411,411,725,0,314,0
Trai Turner,8727,G,CAR,11,100.0,1,5,74.8,67.0,75.4,4,19,384,100.0,100.0,97.0,6,23,0,723,0,0,0,723,412,412,723,0,311,0
