"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"27","Mito Pereira",22064266,7700,66.84,0.0105,0.0071,48,-0.0034,-0.3238,64.75,8,86.5,28,0.6226,0.0095,0.2848,0.1872,0.0897,0.0423,0.0234,0.0069,26,0.92,-0.62,-2.57,6,0.0618,70.5,"2022-04-17","RBC Heritage"
"28","Adam Hadwin",22064267,7600,69.75,0.0193,0.0172,21,-0.0021,-0.1088,60.14,19.9,83.57,27,0.6732,0.0105,0.3626,0.2573,0.1379,0.0699,0.043,0.0135,26,2.26,0.81,0.09,20,0.2105,73.5,"2022-04-17","RBC Heritage"
"29","Tom Hoge",22064268,7600,70.68,0.0139,0.0128,26,-0.0011,-0.0791,59.65,13.4,82.5,27,0.6799,0.015,0.3652,0.2565,0.1349,0.0683,0.0402,0.0136,100,1.68,0.23,1.89,16,0.1251,16.5,"2022-04-17","RBC Heritage"
"30","Kevin Streelman",22064269,7500,58.53,0.0125,0.0105,31,-0.002,-0.16,62.07,11.2,84.5,27,0.6547,0.013,0.3272,0.2262,0.116,0.0582,0.0345,0.0107,100,1.4,0.04,0.11,12,0.1112,20.5,"2022-04-17","RBC Heritage"
"31","Cameron Young",22064270,7500,65.46,0.0054,0.0082,40,0.0028,0.5185,59.97,3.4,83,27,0.5717,0.0083,0.2335,0.1484,0.0685,0.0315,0.0174,0.005,3,1.09,-0.27,10.59,14,0.0356,105.5,"2022-04-17","RBC Heritage"
"32","Ian Poulter",22064271,7500,47.85,0.0101,0.0069,52,-0.0032,-0.3168,57.34,6.6,81,26.5,0.6187,0.0069,0.2847,0.1873,0.0894,0.0418,0.0234,0.0068,42,0.92,-0.44,-2.13,4,0.0393,70,"2022-04-17","RBC Heritage"
"33","Luke List",22064272,7400,60.67,0.0075,0.0071,48,-0.000399999999999999,-0.0533,61.88,3.7,85,27.5,0.6036,0.0097,0.2638,0.1722,0.0824,0.0372,0.0212,0.0067,100,0.96,-0.3,3.12,6,0.0348,25.5,"2022-04-17","RBC Heritage"
"34","Troy Merritt",22064273,7400,68.38,0.0087,0.0086,37,-9.99999999999994e-05,-0.0115,54,4.2,79,25.5,0.6211,0.0081,0.296,0.1986,0.0988,0.0484,0.0274,0.0092,12,1.16,-0.1,3.77,8,0.0702,84.5,"2022-04-17","RBC Heritage"
"35","Dylan Frittelli",22064274,7400,53.91,0.0053,0.0061,57,8e-04,0.1509,49.79,4.1,75,24.5,0.5464,0.0053,0.2115,0.1328,0.0586,0.0263,0.0138,0.0046,66,0.82,-0.44,5.56,10,0.0309,50.5,"2022-04-17","RBC Heritage"
"36","J.J. Spaun",22064276,7300,65.83,0.009,0.0082,40,-0.000799999999999999,-0.0889,53.75,5.6,79.07,25,0.6592,0.0138,0.3396,0.2336,0.1213,0.0609,0.0366,0.0111,100,1.12,-0.05,2.42,8,0.0921,23,"2022-04-17","RBC Heritage"
"37","Russell Knox",22064277,7300,63.94,0.011,0.0114,29,0.000400000000000001,0.0364,57.24,7.7,81.07,26,0.6481,0.0124,0.3217,0.2202,0.1124,0.0556,0.0331,0.0101,100,1.56,0.39,4.92,12,0.0698,28,"2022-04-17","RBC Heritage"
"38","Erik Van Rooyen",22064278,7300,63.79,0.0092,0.0074,45,-0.0018,-0.1957,58.5,4.7,83,26.5,0.5938,0.0071,0.2615,0.172,0.0808,0.0378,0.0217,0.0071,10,1.01,-0.16,0.51,6,NA,NA,"2022-04-17","RBC Heritage"
"39","Sepp Straka",22064279,7200,57.97,0.0071,0.0089,36,0.0018,0.2535,55.56,5.1,80,26,0.5884,0.0071,0.256,0.1678,0.0785,0.0379,0.0213,0.0064,3,1.24,0.16,7.91,14,0.0639,100,"2022-04-17","RBC Heritage"
"40","Denny McCarthy",22064280,7200,66.69,0.0101,0.0079,42,-0.0022,-0.2178,52.6,4.9,77.5,25,0.6403,0.0113,0.3055,0.2039,0.1011,0.0487,0.028,0.0086,56,1.1,0.02,-0.2,4,0.0784,63,"2022-04-17","RBC Heritage"
"41","Stewart Cink",22064281,7200,52.25,0.0023,0.01,32,0.0077,3.3478,48.4,3.6,75.5,24.5,0.5056,0.0047,0.1766,0.1068,0.0464,0.0207,0.0109,0.0032,68,1.39,0.31,23.49,28,0.0343,60.5,"2022-04-17","RBC Heritage"
"42","Lucas Glover",22064282,7200,65.96,0.0066,0.0079,42,0.0013,0.197,55.96,3.2,80.5,26,0.6042,0.0097,0.271,0.1766,0.0853,0.0399,0.0235,0.0072,48,1.1,0.02,6.76,10,0.0449,59,"2022-04-17","RBC Heritage"
"43","Charles Howell III",22064283,7100,63.15,0.0094,0.01,32,6e-04,0.0638,61.37,4.6,84,27,0.6414,0.0119,0.3145,0.216,0.1084,0.0542,0.0316,0.0104,100,1.41,0.41,5.34,10,0.0539,17,"2022-04-17","RBC Heritage"
"44","Sahith Theegala",22064284,7100,65.29,0.0023,0.0058,60,0.0035,1.5217,55.83,4.4,80.5,25.5,0.541,0.0068,0.2039,0.1259,0.0566,0.0252,0.0138,0.0041,70,0.82,-0.18,14.95,20,0.0441,49,"2022-04-17","RBC Heritage"
"45","Patton Kizzire",22064285,7100,61.2,0.0077,0.0079,42,0.000200000000000001,0.026,59.23,5.9,83,26.5,0.6038,0.0072,0.2766,0.1833,0.0892,0.0423,0.0254,0.0074,26,1.11,0.11,4.44,10,0.0442,77,"2022-04-17","RBC Heritage"
"46","Aaron Wise",22064286,7100,65.33,0.0101,0.0106,30,5e-04,0.0495,58.44,5,82,26.5,0.6273,0.0081,0.3036,0.2042,0.1025,0.0512,0.031,0.0094,21,1.49,0.49,5.16,10,0.0365,72,"2022-04-17","RBC Heritage"
"47","Anirban Lahiri",22064287,7100,51.63,0.0039,0.0055,64,0.0016,0.4103,49.04,4.4,75,24.5,0.5476,0.0047,0.2076,0.1296,0.0563,0.0255,0.0137,0.0042,66,0.77,-0.23,7.8,12,0.0263,56.5,"2022-04-17","RBC Heritage"
"48","Cameron Tringale",22064288,7000,68.18,0.0071,0.0056,62,-0.0015,-0.2113,58.44,5.2,82,26.5,0.57,0.0054,0.2304,0.145,0.0658,0.0295,0.0156,0.0044,12,0.8,-0.12,1.14,6,0.046,75,"2022-04-17","RBC Heritage"
"49","Davis Riley",22064289,7000,61.07,0.0033,0.005,66,0.0017,0.5152,53.53,4.6,79.07,25.5,0.5344,0.0062,0.1942,0.1189,0.0513,0.0212,0.0115,0.0029,100,0.71,-0.21,8.4,12,0.0194,29,"2022-04-17","RBC Heritage"
"50","Rickie Fowler",22064290,7000,55.86,0.003,0.005,66,0.002,0.6667,53.62,3.9,78.5,25.5,0.5044,0.004,0.1743,0.1051,0.0456,0.0204,0.0106,0.0032,100,0.71,-0.21,9.71,14,0.0216,14.5,"2022-04-17","RBC Heritage"
"51","C.T. Pan",22064291,7000,62.89,0.0052,0.0065,55,0.0013,0.25,54.79,4.8,80,25.5,0.6068,0.0066,0.2758,0.1806,0.0876,0.042,0.025,0.0075,42,0.93,0.01,6.85,12,0.0432,62,"2022-04-17","RBC Heritage"
"52","Scott Stallings",22064292,7000,58.19,0.0055,0.0076,44,0.0021,0.3818,52.55,2.8,77.5,25,0.5357,0.0063,0.205,0.1289,0.0574,0.0248,0.0131,0.0034,100,1.09,0.17,8.83,12,0.0214,17.5,"2022-04-17","RBC Heritage"
"53","Charley Hoffman",22064293,6900,51.33,0.0026,0.0022,106,-4e-04,-0.1538,54.93,0.9,80.5,25.5,0.4432,0.0043,0.122,0.068,0.0252,0.0098,0.0054,0.0014,100,0.32,-0.54,3.13,4,0.0076,23,"2022-04-17","RBC Heritage"
"54","Doug Ghim",22064294,6900,54.82,0.0064,0.0059,58,-5e-04,-0.0781,55.03,2.2,79.5,26,0.6084,0.0082,0.2736,0.1774,0.0847,0.0382,0.0222,0.0063,35,0.86,0,3.02,6,0.0288,68,"2022-04-17","RBC Heritage"
"55","Danny Willett",22064295,6900,49.35,0.0029,0.0042,73,0.0013,0.4483,49.36,1.4,75.5,24.5,0.5027,0.0037,0.1663,0.0981,0.0411,0.0175,0.0096,0.0024,51,0.61,-0.25,7.33,8,0.0204,70,"2022-04-17","RBC Heritage"
"56","Mackenzie Hughes",22064296,6900,61.58,0.006,0.0069,52,9e-04,0.15,49.42,1.1,75,24,0.5834,0.0081,0.2421,0.1546,0.0702,0.0321,0.0177,0.0051,100,1,0.14,5.93,8,0.0192,25.5,"2022-04-17","RBC Heritage"
"57","Carlos Ortiz",22064297,6900,61.19,0.003,0.0057,61,0.0027,0.9,54.35,0.87,79.5,26,0.5188,0.0063,0.1804,0.109,0.0465,0.0205,0.0111,0.003,100,0.83,-0.03,12.63,14,0.0066,29.5,"2022-04-17","RBC Heritage"
"58","Brendon Todd",22064298,6800,55.61,0.0069,0.0089,36,0.002,0.2899,50.03,1.9,75,24.5,0.6096,0.0066,0.2748,0.1824,0.087,0.0409,0.0238,0.0078,26,1.31,0.51,8.49,10,0.0414,73,"2022-04-17","RBC Heritage"
"59","Joel Dahmen",22064299,6800,66.04,0.0072,0.0083,38,0.0011,0.1528,54.42,6,79.5,25.5,0.6015,0.009,0.2609,0.171,0.0819,0.0389,0.0222,0.0068,12,1.22,0.42,6.42,12,0.0781,78.5,"2022-04-17","RBC Heritage"
"60","Beau Hossler",22064300,6800,57.59,0.0036,0.0036,83,0,0,47.52,2.7,74.5,24.5,0.5018,0.0064,0.1678,0.1006,0.0418,0.0176,0.0098,0.0027,100,0.53,-0.27,3.92,6,0.0281,12,"2022-04-17","RBC Heritage"
"61","Lanto Griffin",22064301,6800,65.39,0.0043,0.0039,77,-4e-04,-0.093,54.46,3,79,26,0.54,0.0051,0.2066,0.1284,0.0564,0.0252,0.014,0.0037,100,0.57,-0.23,3.17,6,0.0277,24,"2022-04-17","RBC Heritage"
"62","Brandt Snedeker",22064302,6800,46.11,0.0023,0.0059,58,0.0036,1.5652,47.67,1.4,74,24,0.5043,0.0037,0.174,0.1049,0.0431,0.0188,0.0099,0.0025,100,0.87,0.07,15.22,16,0.0123,24,"2022-04-17","RBC Heritage"
"63","Cameron Davis",22064303,6800,55.15,0.0022,0.0043,72,0.0021,0.9545,52.76,1.3,79,25,0.5042,0.0056,0.1668,0.0993,0.0411,0.0164,0.0086,0.0023,3,0.63,-0.17,11.79,14,NA,NA,"2022-04-17","RBC Heritage"
"64","Chad Ramey",22064304,6700,59.84,0.003,0.0031,92,9.99999999999998e-05,0.0333,44.64,0.81,72,23,0.535,0.0043,0.1938,0.118,0.05,0.022,0.0116,0.0034,59,0.46,-0.28,4.12,4,0.0087,61.5,"2022-04-17","RBC Heritage"
