player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
648099,,,G,Adam Schenk,43.06,0.42,36.7,71.5,22.5,0,0,6200,,37919,648099
700,,,G,Nick Taylor,51.34,0.79,51.3,78,24.5,0,0,6600,,34941,700
1080,,,G,Jason Kokrak,59.01,7.3,71,82.5,26.5,0,0,7900,,34900,1080
777,,,G,Carlos Ortiz,54.35,0.87,48.5,79.5,26,0,0,6900,,34921,777
83255,,,G,Aaron Wise,58.44,5,64.8,82,26.5,0,0,7100,,35144,83255
689,,,G,Adam Svensson,52.76,5.6,51.1,78,25.5,0,0,6400,,466731,689
2170,,,G,Chris Kirk,68.47,11.8,78.3,89.5,29,0,0,8000,,34775,2170
789,,,G,Richy Werenski,42.53,0.49,30.7,70,22.5,0,0,6100,,36096,789
509666,,,G,Alex Smalley,49.68,1.6,55.1,75,24.5,0,0,6600,,37147,509666
1390,,,G,Kramer Hickok,54.3,0.9,50.3,79.5,25.5,0,0,6500,,35062,1390
614,,,G,Scott Piercy,44.58,0.09,31.1,71.5,23,0,0,6300,,34801,614
856,,,G,Patton Kizzire,59.23,5.9,66.6,83,26.5,0,0,7100,,34898,856
867,,,G,Alex Noren,65.8,12.3,80.7,87.5,28,0,0,8300,,35121,867
515,,,G,Jonathan Byrd,44.24,0.33,34.3,71,23,0,0,6000,,35030,515
559,,,G,Luke List,61.88,3.7,66.8,85,27.5,0,0,7400,,34904,559
703,,,G,Webb Simpson,67.22,15.7,77.9,88,29.5,0,0,8800,,34808,703
956,,,G,Branden Grace,48.55,0.53,49.2,74.5,24,0,0,6700,,34763,956
846,,,G,Anirban Lahiri,49.04,4.4,41.4,75,24.5,0,0,7100,,34781,846
417,,,G,Erik Van Rooyen,58.5,4.7,66,83,26.5,0,0,7300,,458398,417
705468,,,G,Morgan DeNeen,30.012799999999995,0.01,13.1,60,15,0,0,6000,,3453912,705468
1480,,,G,Martin Trainer,30.1,0.05,21.4,45.07,18.5,0,0,6000,,565470,1480
1491,,,G,Kyoung-Hoon Lee,51.4,0.75,51.8,77,25,0,0,6700,,37949,1491
300174,,,G,J.T. Poston,44.5,0.45,42.3,71.5,23,0,0,6600,,36088,300174
1194,,,G,Cameron Smith,74.46,12.1,91,94,33,0,0,10800,,34810,1194
308,,,G,Ian Poulter,57.34,6.6,68,81,26.5,0,0,7500,,34802,308
509669,,,G,Sam Ryder,46.79,0.59,47.2,73.5,24,0,0,6400,,37145,509669
1492,,,G,Jim Herman,39.97,0.07,27.6,67.5,22,0,0,6000,,34829,1492
304410,,,G,Joseph Bramlett,47.31,0.37,39.5,74.5,24.5,0,0,6500,,1074847,304410
1063,,,G,Michael Gligic,34.65,0.1,21.9,61.5,20,0,0,6000,,469112,1063
805,,,G,Brian Harman,61.59,8.9,73.6,84.5,27.5,0,0,7700,,34882,805
1284,,,G,Si Woo Kim,58.74,10.4,75.1,82.5,26.5,0,0,8400,,34895,1284
1174,,,G,Bill Haas,42.98,0.32,31.6,70,23,0,0,6300,,34765,1174
1075,,,G,Matt Fitzpatrick,74.1,21.2,88.7,93.5,34,0,0,9500,,34759,1075
2065,,,G,Ben Martin,45.71,0.5,35.5,72.5,23.5,0,0,6200,,34910,2065
523168,,,G,Wyndham Clark,41.62,0.41,31.7,70,22.5,0,0,6300,,37183,523168
1120,,,G,Dylan Frittelli,49.79,4.1,48.2,75,24.5,0,0,7400,,36651,1120
698025,,,G,Harry Higgs,42.39,0.94,38.1,70.5,22.5,0,0,6600,,1266428,698025
2044,,,G,Stephan Jaeger,38.5,0.13,40.5,67,21.5,0,0,6100,,37129,2044
1890,,,G,William McGirt,38.41,0.12,29.5,66,21.5,0,0,6000,,34911,1890
694065,,,G,Bryson Nimmer,39.55,0.47,33.6,67,21.5,0,0,6100,,2203406,694065
1220,,,G,Morgan Hoffmann,45.275,0.06,15.1,69,14.375,0,0,6000,,34887,1220
