"","G","G","G","G","G","G"
"1",22064239,22064242,22064264,22064267,22064304,22064311
"2",22064239,22064242,22064261,22064264,22064316,22064317
"3",22064239,22064242,22064264,22064267,22064306,22064311
"4",22064239,22064242,22064264,22064267,22064298,22064319
"5",22064239,22064242,22064252,22064308,22064309,22064318
"6",22064242,22064243,22064247,22064298,22064299,22064311
"7",22064239,22064242,22064264,22064267,22064309,22064310
"8",22064240,22064243,22064247,22064314,22064315,22064320
"9",22064240,22064243,22064247,22064305,22064321,22064322
"10",22064240,22064244,22064247,22064305,22064312,22064313
"11",22064244,22064247,22064252,22064261,22064279,22064299
"12",22064244,22064247,22064252,22064261,22064279,22064299
"13",22064244,22064251,22064252,22064261,22064267,22064294
"14",22064244,22064251,22064252,22064261,22064267,22064294
"15",22064241,22064245,22064260,22064265,22064286,22064292
"16",22064241,22064245,22064260,22064265,22064286,22064292
"17",22064245,22064251,22064254,22064260,22064268,22064286
"18",22064246,22064251,22064259,22064260,22064265,22064268
"19",22064246,22064251,22064254,22064260,22064268,22064279
"20",22064246,22064251,22064254,22064259,22064269,22064280
"21",22064248,22064250,22064253,22064259,22064268,22064280
"22",22064248,22064250,22064253,22064257,22064268,22064288
"23",22064248,22064250,22064253,22064262,22064263,22064281
"24",22064249,22064250,22064257,22064258,22064262,22064276
