player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,982,959,-0.014
"Thomas, Justin",150,1182,1105,-0.051
"Matsuyama, Hideki",150,2617,2538,-0.029
"Schauffele, Xander",150,2765,2155,-0.204
"Zalatoris, Will",150,2896,2193,-0.226
"Burns, Sam",150,3134,1752,-0.427
"Johnson, Dustin",150,3316,2288,-0.293
"Niemann, Joaquin",150,3546,2581,-0.258
"Power, Seamus",150,4080,2678,-0.335
"Spieth, Jordan",150,4963,2551,-0.476
"Wise, Aaron",150,5122,4312,-0.155
"Fleetwood, Tommy",150,5372,4003,-0.25
"Gooch, Talor",150,5550,4882,-0.118
"McNealy, Maverick",150,6026,4784,-0.203
"Kim, Si Woo",150,6054,6483,0.07
"Watson, Bubba",150,6209,7748,0.244
"Noren, Alex",150,6490,4537,-0.296
"Koepka, Brooks",150,6600,3955,-0.395
"Munoz, Sebastian",150,7120,6761,-0.05
"Hadwin, Adam",150,7213,5624,-0.217
"Mitchell, Keith",150,7505,7674,0.022
"Straka, Sepp",150,7622,6381,-0.161
"Hoge, Tom",150,7622,7190,-0.056
"Day, Jason",150,7852,5867,-0.25
"Kokrak, Jason",150,8251,7126,-0.135
"Vegas, Jhonattan",150,8447,5856,-0.303
"Scott, Adam",150,8691,7126,-0.178
"Harman, Brian",150,8789,5989,-0.315
"Pereira, Mito",150,8829,8193,-0.071
"Griffin, Lanto",150,9356,8836,-0.055
"Leishman, Marc",150,9801,8282,-0.153
"Pan, C.T.",150,10682,9280,-0.13
"Howell III, Charles",150,10829,9280,-0.142
"Kizzire, Patton",150,10829,6820,-0.367
"Spaun, J.J.",150,11734,12274,0.046
"NeSmith, Matthew",150,13278,12866,-0.031
"Lee, Kyounghoon",150,13368,8229,-0.382
"List, Luke",150,13789,11058,-0.197
"Hughes, Mackenzie",150,13935,11915,-0.144
"Bezuidenhout, Christiaan",150,14288,13511,-0.054
"Kuchar, Matt",150,15648,11718,-0.25
"Hubbard, Mark",150,15900,8773,-0.445
"Rai, Aaron",150,15964,8969,-0.435
"Frittelli, Dylan",150,15964,15752,-0.013
"Kisner, Kevin",150,16921,13290,-0.213
"Stallings, Scott",150,17757,10371,-0.414
"Champ, Cameron",150,19800,9416,-0.522
"Lipsky, David",150,20308,17769,-0.124
"Theegala, Sahith",150,21064,16604,-0.211
"Taylor, Nick",150,22246,23235,0.044
"Ortiz, Carlos",150,23429,17655,-0.245
"Moore, Taylor",150,26044,31311,0.201
"Poulter, Ian",150,26567,25416,-0.043
"Sigg, Greyson",150,27111,16237,-0.4
"Palmer, Ryan",150,27486,14751,-0.462
"Grace, Branden",150,27872,33769,0.211
"Rodgers, Patrick",150,28069,17655,-0.37
"Todd, Brendon",150,28471,21388,-0.248
"Higgs, Harry",150,28677,19818,-0.308
"Riley, Davis",150,28886,8434,-0.706
"Willett, Danny",150,29312,20316,-0.306
"Lashley, Nate",150,29312,35408,0.207
"Kitayama, Kurt",150,29975,17862,-0.403
"Jaeger, Stephan",150,30669,23564,-0.231
"Armour, Ryan",150,30669,,0
"Bramlett, Joseph",150,30908,23235,-0.247
"Uihlein, Peter",150,30908,,0
"Molinari, Francesco",150,32958,35408,0.074
"Schwab, Matthias",150,33233,15023,-0.546
"Swafford, Hudson",150,33798,28705,-0.15
"Putnam, Andrew",150,34383,17278,-0.496
"Laird, Martin",150,34683,46220,0.332
"Svensson, Adam",150,37283,33927,-0.09
"Hickok, Kramer",150,37636,34820,-0.075
"Piercy, Scott",150,38735,,0
"Perez, Pat",150,39900,26798,-0.328
"Sabbatini, Rory",150,40716,20316,-0.5
"Westwood, Lee",150,41567,26243,-0.368
"Malnati, Peter",150,42453,28059,-0.338
"Clark, Wyndham",150,42453,24648,-0.418
"Stenson, Henrik",150,42911,27118,-0.367
"Hodges, Lee",150,43856,,0
"Hahn, James",150,43856,,0
"Wu, Brandon",150,44344,,0
"Schenk, Adam",150,44344,27118,-0.388
"Ryder, Sam",150,46412,41979,-0.095
"Novak, Andrew",150,46959,33927,-0.277
"Whaley, Vincent",150,46959,,0
"Duncan, Tyler",150,47519,33927,-0.285
"Streb, Robert",150,47519,38790,-0.183
"Kim, Joohyung",150,49283,,0
"Stuard, Brian",150,49900,35408,-0.29
"Grillo, Emiliano",150,52532,45271,-0.138
"Redman, Doc",150,52532,22584,-0.569
"Thompson, Michael",150,54695,42882,-0.216
"Huh, John",150,57871,,0
"Lebioda, Hank",150,57871,24307,-0.579
"Wolff, Matthew",150,57871,13079,-0.773
"Smotherman, Austin",150,59601,,0
"Mullinax, Trey",150,59601,50847,-0.147
"Hossler, Beau",150,59601,,0
"Norris, Shaun",150,61438,40731,-0.336
"Schwartzel, Charl",150,62400,32660,-0.476
"Wu, Dylan",150,70075,,0
"Reavie, Chez",150,70075,33927,-0.515
"Lower, Justin",150,72627,,0
"Donald, Luke",150,75372,45271,-0.399
"Tarren, Callum",150,75372,,0
"Buckley, Hayden",150,78331,39676,-0.493
"Hagy, Brandon",150,85006,,0
"Garnett, Brice",150,85006,,0
"Kohles, Ben",150,86857,45271,-0.478
"Snedeker, Brandt",150,92923,37019,-0.601
"Sloan, Roger",150,95138,,0
"Barjon, Paul",150,102464,46263,-0.548
"Taylor, Vaughn",150,102464,,0
"Hoffman, Charley",150,102464,44966,-0.561
"Norlander, Henrik",150,102464,,0
"Bryan, Wesley",150,102464,,0
"Aphibarnrat, Kiradech",150,105163,,0
"Gutschewski, Scott",150,108008,,0
"Tway, Kevin",150,108008,38790,-0.64
"Percy, Cameron",150,108008,,0
"Meissner, Mac",150,117547,,0
"Herman, Jim",150,133233,,0
"Werenski, Richy",150,137831,,0
"Wolfe, Jared",150,142757,,0
"Noh, Seung-Yul",150,142757,,0
"Gligic, Michael",150,148048,,0
"Thompson, Curtis",150,148048,,0
"Haas, Bill",150,153746,,0
"Reeves, Seth",150,173813,,0
"McGreevy, Max",150,181718,,0
"Kang, Sung",150,190376,,0
"Brehm, Ryan",150,190376,,0
"Kraft, Kelly",150,199900,,0
"Wallace, Matt",150,199900,,0
"Watney, Nick",150,Inf,,0
"Flavin, Patrick",150,Inf,,0
"Skinns, David",150,Inf,,0
"Dufner, Jason",150,Inf,,0
"Cook, Austin",150,Inf,,0
"Trainer, Martin",150,Inf,,0
"Van Der Walt, Dawie",150,Inf,,0
"Drewitt, Brett",150,Inf,,0
"Murphy, John",150,Inf,,0
"Wilshire, Kyle",150,Inf,,0
"Hadley, Chesson",150,Inf,,0
"Blixt, Jonas",150,Inf,,0
"Creel, Joshua",150,Inf,,0
"Du Preez Jnr, James",150,Inf,,0
"Killeen, J.J.",115,Inf,,0
"Shindler, Conrad",150,,,0
"Loupe, Andrew",150,,,0
"Leonard, Justin",150,,,0
"Dossey, Cooper",150,,,0
