player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Hadley, Chesson",150,-0.985,34,-0.007,0.010,-0.046,-0.164,-0.038,-0.010,0.031,-0.016,0.004,-1.227,2.696,"AT&T Byron Nelson",TPC Craig Ranch
"Murphy, John",150,-1.249,23,0.029,0.001,-0.000,0.048,-0.040,-0.024,-0.007,-0.029,-0.060,-1.272,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Creel, Joshua",150,-1.275,32,0.002,0.004,-0.072,-0.016,-0.040,0.100,-0.005,-0.029,0.066,-1.331,2.685,"AT&T Byron Nelson",TPC Craig Ranch
"Wilshire, Kyle",150,-1.557,29,0.010,-0.019,0.054,0.005,-0.040,0.030,-0.028,-0.040,-0.038,-1.586,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Blixt, Jonas",150,-1.522,38,-0.017,-0.001,-0.248,0.142,-0.025,0.027,0.006,-0.036,-0.003,-1.675,2.688,"AT&T Byron Nelson",TPC Craig Ranch
"Shindler, Conrad",150,-1.952,33,-0.004,0.000,-0.009,-0.001,-0.040,0.034,-0.029,-0.048,-0.042,-2.048,2.707,"AT&T Byron Nelson",TPC Craig Ranch
"Dossey, Cooper",150,-1.945,-1,0.000,0.000,-0.339,0.001,-0.040,0.045,0.017,-0.046,0.017,-2.306,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Du Preez Jnr, James",150,-2.314,26,0.020,-0.031,0.028,0.134,-0.040,-0.156,0.072,-0.066,-0.150,-2.353,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Killeen, J.J.",115,-2.039,40,-0.027,0.014,-0.282,-0.007,-0.040,0.015,0.034,-0.044,0.006,-2.374,2.668,"AT&T Byron Nelson",TPC Craig Ranch
"Loupe, Andrew",150,-2.931,33,-0.002,0.010,-0.018,0.055,-0.040,-0.093,0.090,-0.064,-0.067,-2.993,2.793,"AT&T Byron Nelson",TPC Craig Ranch
"Leonard, Justin",150,-3.073,49,-0.057,0.000,-0.000,-0.109,-0.040,0.126,-0.060,-0.061,0.005,-3.273,2.642,"AT&T Byron Nelson",TPC Craig Ranch
