"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Scottie Scheffler",22529105,10900,93.81,0.0944,0.0884,1,-0.00599999999999999,-0.0636,92.46,25.6,115.5,72,0.8242,0.0314,0.6618,0.5637,0.4007,0.2717,0.195,0.0881,15,8.11,0.67,-7.78,18,0.2618,118.5,"2022-05-15","AT&T Byron Nelson"
"2","Justin Thomas",22529106,10600,99.21,0.083,0.0786,2,-0.0044,-0.053,93.24,26.5,116,73,0.807,0.0277,0.6318,0.5281,0.3684,0.24,0.1694,0.0733,5,7.42,0.88,-4.52,22,0.2856,127,"2022-05-15","AT&T Byron Nelson"
"3","Dustin Johnson",22529107,10200,65.14,0.0419,0.0398,6,-0.0021,-0.0501,79.58,10.9,104,34,0.7198,0.0256,0.4779,0.3726,0.2306,0.1341,0.0883,0.034,59,3.9,-1.62,-0.68,10,0.1027,90,"2022-05-15","AT&T Byron Nelson"
"4","Jordan Spieth",22529108,10100,69.68,0.038,0.0388,7,0.000800000000000002,0.0211,77.94,15.7,102.5,33.5,0.659,0.0129,0.3944,0.2919,0.1675,0.0931,0.0582,0.0209,2,3.84,-1.45,5.17,20,0.1566,141,"2022-05-15","AT&T Byron Nelson"
"5","Hideki Matsuyama",22529109,9900,86.65,0.0383,0.0372,8,-0.0011,-0.0287,77.14,14.1,102,34,0.7517,0.0271,0.5204,0.413,0.2625,0.1578,0.1048,0.041,3,3.76,-1.11,1.47,16,0.1017,139.5,"2022-05-15","AT&T Byron Nelson"
"6","Xander Schauffele",22529110,9700,81.59,0.0443,0.0407,5,-0.0036,-0.0813,85.07,14.8,107,38,0.7474,0.0251,0.5127,0.3988,0.2454,0.1431,0.0947,0.0355,5,4.2,-0.29,-3.26,12,0.1385,130,"2022-05-15","AT&T Byron Nelson"
"7","Sam Burns",22529111,9500,81.92,0.0545,0.0535,3,-0.001,-0.0183,78.6,30.8,103,34.42,0.7081,0.0173,0.4678,0.3638,0.2231,0.1311,0.0855,0.033,100,5.63,1.49,2.45,34,0.251,37,"2022-05-15","AT&T Byron Nelson"
"8","Will Zalatoris",22529112,9400,74.32,0.0436,0.043,4,-0.000600000000000003,-0.0138,80.28,27.4,104.5,33.5,0.7338,0.0158,0.4993,0.3882,0.2416,0.141,0.0915,0.0341,100,4.57,0.59,2.98,30,0.314,35.5,"2022-05-15","AT&T Byron Nelson"
"9","Joaquin Niemann",22529113,9300,74.08,0.0373,0.0342,9,-0.0031,-0.0831,83.54,17.2,106,37,0.712,0.0131,0.4632,0.3525,0.206,0.1143,0.0737,0.0266,25,3.68,-0.14,-2.21,14,0.1699,99,"2022-05-15","AT&T Byron Nelson"
"10","Tommy Fleetwood",22529115,9000,71.32,0.0246,0.0228,12,-0.0018,-0.0732,73.32,8.1,98,32.5,0.66,0.0112,0.3902,0.2815,0.1544,0.0795,0.0495,0.0173,59,2.53,-0.86,0.16,8,0.0816,86.5,"2022-05-15","AT&T Byron Nelson"
"11","Adam Scott",22529116,8700,72.27,0.0137,0.0139,28,0.000199999999999999,0.0146,70.08,6.4,96,32,0.6018,0.0078,0.315,0.221,0.1148,0.057,0.034,0.0102,32,1.6,-1.41,3.98,10,0.0603,100,"2022-05-15","AT&T Byron Nelson"
"12","Talor Gooch",22529117,8600,83,0.0202,0.023,11,0.0028,0.1386,72.13,17.9,98,32,0.6756,0.0189,0.4065,0.2999,0.1713,0.0921,0.0575,0.0191,100,2.67,-0.22,9.61,28,0.1935,36,"2022-05-15","AT&T Byron Nelson"
"13","Jhonattan Vegas",22529118,8400,69.67,0.017,0.0192,16,0.0022,0.1294,73.88,16.6,99.5,32.5,0.634,0.0086,0.3496,0.2476,0.1304,0.0662,0.0394,0.0125,59,2.29,-0.38,8.35,24,0.1647,76.5,"2022-05-15","AT&T Byron Nelson"
"14","Jason Kokrak",22529119,8300,69.32,0.014,0.0149,24,9e-04,0.0643,64.85,6.7,93,30.5,0.597,0.0087,0.314,0.2194,0.1154,0.0609,0.0366,0.0124,17,1.8,-0.77,5.59,12,0.0873,106,"2022-05-15","AT&T Byron Nelson"
"15","Jason Day",22529120,8200,60.4,0.0162,0.019,17,0.0028,0.1728,63.87,7.7,92.5,30.5,0.629,0.0136,0.3397,0.2414,0.1282,0.0671,0.0391,0.0134,51,2.32,-0.15,9.67,18,0.0703,85.5,"2022-05-15","AT&T Byron Nelson"
"16","Aaron Wise",22529121,8100,68.71,0.0229,0.0214,13,-0.0015,-0.0655,72.43,20.1,98.5,32.5,0.6786,0.0203,0.4057,0.2998,0.1733,0.0935,0.0601,0.0217,51,2.64,0.26,1.1,22,0.1687,89,"2022-05-15","AT&T Byron Nelson"
"17","Adam Hadwin",22529122,8000,70,0.0175,0.0185,19,0.000999999999999997,0.0571,71.13,20.5,96.5,32.5,0.6247,0.0102,0.3455,0.2469,0.131,0.0669,0.0396,0.0131,100,2.31,0.03,6.02,26,0.166,23.5,"2022-05-15","AT&T Byron Nelson"
"18","Cameron Champ",22529123,8000,54,0.0089,0.0189,18,0.01,1.1236,51.25,8.8,83.5,27.5,0.5169,0.0052,0.2194,0.1415,0.066,0.0311,0.0179,0.0051,38,2.36,0.08,28.02,36,0.0857,94.5,"2022-05-15","AT&T Byron Nelson"
"19","Seamus Power",22529124,7900,69.75,0.0363,0.0338,10,-0.0025,-0.0689,75.07,7.5,100,32.5,0.7067,0.0212,0.4462,0.3382,0.2013,0.1131,0.072,0.0269,17,4.28,2.11,-0.35,8,0.1327,104,"2022-05-15","AT&T Byron Nelson"
