"","Name","ID","Salary","fpts","FPTS","proj_own","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"48","Patton Kizzire",22529155,7100,70.19,35.46,10.7,0.0145,0.0132,-0.0013,-0.0897,29,8.16,0
"49","David Lipsky",22529156,7100,61.69,43.85,1.1,0.0056,0.0051,-5e-04,-0.0893,56,8.9,0
"50","Sahith Theegala",22529157,7100,59.7,70.81,8.2,0.006,0.0077,0.0017,0.2833,44,14.29,0.2
"51","Brendon Todd",22529158,7100,56.23,42.37,0.69,0.0047,0.0043,-4e-04,-0.0851,63,9.01,0
"52","Matthias Schwab",22529159,7100,67.66,46.29,1.1,0.0066,0.006,-6e-04,-0.0909,50,8.8,0
"53","Scott Stallings",22529160,7000,59.39,36.35,1.8,0.0096,0.0087,-9e-04,-0.0937,42,8.6,0
"54","Nick Taylor",22529161,7000,59.18,54.38,1.1,0.0043,0.0049,6e-04,0.1395,58,11.3,0
"55","Lee Westwood",22529162,7000,53.76,35.6,0.51,0.0038,0.0035,-3e-04,-0.0789,70,9.21,0
"56","Patrick Rodgers",22529163,7000,61.51,40.81,1.9,0.0056,0.0053,-3e-04,-0.0536,54,9.38,0
"57","Carlos Ortiz",22529165,7000,56.32,36.44,2.3,0.0056,0.0051,-5e-04,-0.0893,56,9,0
"58","Danny Willett",22529166,6900,54.06,44.98,1.2,0.0049,0.0045,-4e-04,-0.0816,62,9.22,0
"59","Stephan Jaeger",22529167,6900,46.97,44.24,1.7,0.0042,0.0055,0.0013,0.3095,52,13.63,0
"60","Greyson Sigg",22529169,6900,55.36,43.22,0.94,0.0061,0.0056,-5e-04,-0.082,51,9.14,0
"61","Martin Laird",22529170,6900,59.2,34.49,2.5,0.0022,0.0029,7e-04,0.3182,78,12.2,0
"62","Wyndham Clark",22529171,6900,47.68,20.21,1.8,0.004,0.0037,-3e-04,-0.075,67,9.33,0
"63","Mark Hubbard",22529172,6900,59.38,30.49,2.6,0.0113,0.0103,-0.001,-0.0885,34,8.66,0
"64","Chez Reavie",22529173,6800,54.27,32.22,0.79,0.0029,0.0027,-2e-04,-0.069,84,9.48,0
"65","Branden Grace",22529174,6800,55.1,34.85,0.87,0.003,0.0031,1e-04,0.0333,75,10.09,0
"66","Taylor Moore",22529175,6800,56.77,34.5,0.77,0.0032,0.0037,5e-04,0.1562,67,11.18,0
"67","Doc Redman",22529176,6800,50.71,21.96,1.4,0.0044,0.004,-4e-04,-0.0909,64,9.26,0
"68","Emiliano Grillo",22529177,6800,55.45,39.11,0.9,0.0022,0.0029,7e-04,0.3182,78,12.27,0
"69","Nate Lashley",22529178,6800,54.83,28.38,2.7,0.0028,0.0033,5e-04,0.1786,73,11.22,0
"70","Francesco Molinari",22529179,6800,53.78,36.7,0.58,0.0028,0.003,2e-04,0.0714,76,10.32,0
"71","Charl Schwartzel",22529180,6700,49.16,27.94,0.41,0.0031,0.0028,-3e-04,-0.0968,80,9.4,0
"72","Hudson Swafford",22529181,6700,56.21,69.57,4.6,0.0035,0.0046,0.0011,0.3143,60,13.3,0
"73","Brian Stuard",22529182,6700,52.47,41.45,0.57,0.0028,0.0026,-2e-04,-0.0714,86,9.54,0
"74","Pat Perez",22529183,6700,59.44,33.39,0.91,0.0037,0.0034,-3e-04,-0.0811,72,9.44,0
"75","Henrik Stenson",22529184,6700,46.67,43.78,0.5,0.0037,0.0036,-1e-04,-0.027,69,9.81,0
"76","Hank Lebioda",22529186,6700,55.64,26.74,1.6,0.0041,0.0037,-4e-04,-0.0976,67,9.3,0
"77","Sam Ryder",22529187,6700,54.02,35.37,0.31,0.0024,0.0022,-2e-04,-0.0833,91,9.51,0
"78","Rory Sabbatini",22529188,6600,53.59,41.58,0.62,0.0049,0.0045,-4e-04,-0.0816,62,9.42,0
"79","Peter Malnati",22529191,6600,49.35,20.57,0.65,0.0036,0.0032,-4e-04,-0.1111,74,9.32,0
"80","Brandt Snedeker",22529192,6600,53.27,35.31,0.32,0.0027,0.0025,-2e-04,-0.0741,87,9.58,0
"81","Charley Hoffman",22529194,6600,60.25,39.69,0.55,0.0022,0.0021,-1e-04,-0.0455,93,9.7,0
"82","Andrew Putnam",22529196,6500,54.02,37.69,0.28,0.0058,0.0053,-5e-04,-0.0862,54,9.37,0
"83","Harry Higgs",22529197,6500,50.15,49.71,0.99,0.005,0.0046,-4e-04,-0.08,60,9.47,0
"84","Joseph Bramlett",22529198,6500,56.08,26.15,1.2,0.0043,0.0039,-4e-04,-0.093,65,9.41,0
"85","Adam Schenk",22529199,6500,54.49,32.2,2.2,0.0037,0.0034,-3e-04,-0.0811,72,9.53,0
