player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Every, Matt",150,-2.513,38,-0.019,0.040,-0.099,-0.054,0.011,0.046,0.063,-0.042,0.066,-2.568,2.907,"RBC Canadian Open","St. George's G&CC"
"Buhl, William",150,-2.586,-1,0.000,0.000,-0.124,-0.005,-0.040,0.069,0.028,-0.041,0.056,-2.698,2.792,"RBC Canadian Open","St. George's G&CC"
"Johnson, Richard S.",150,-2.449,45,-0.042,0.061,-0.318,-0.052,-0.040,0.166,-0.000,-0.032,0.134,-2.706,2.782,"RBC Canadian Open","St. George's G&CC"
"Davis, Brian",150,-2.446,47,-0.050,0.084,-0.274,-0.066,-0.068,0.176,-0.034,-0.041,0.101,-2.718,2.789,"RBC Canadian Open","St. George's G&CC"
"Adamonis, Brad",75,-2.409,49,-0.117,0.010,-0.264,-0.039,-0.040,0.070,0.028,-0.066,0.031,-2.828,2.804,"RBC Canadian Open","St. George's G&CC"
"Merrick, John",150,-2.319,40,-0.025,-0.075,-0.491,-0.010,-0.040,0.066,-0.002,-0.055,0.008,-2.951,2.797,"RBC Canadian Open","St. George's G&CC"
"Stadler, Kevin",150,-3.185,42,-0.032,-0.038,-0.201,0.054,-0.049,0.081,0.024,-0.072,0.033,-3.419,2.826,"RBC Canadian Open","St. George's G&CC"
"Sekulic, Max",150,-3.444,-1,0.000,0.000,-0.002,-0.007,-0.040,0.088,0.036,-0.052,0.072,-3.421,2.792,"RBC Canadian Open","St. George's G&CC"
"Leonard, Brendan",71,-3.821,-1,0.000,0.000,-0.253,-0.009,-0.040,0.104,0.042,-0.062,0.084,-4.039,2.813,"RBC Canadian Open","St. George's G&CC"
"Davison, Callum",134,-3.631,-1,0.000,0.000,-0.535,-0.007,-0.040,0.104,0.042,-0.063,0.082,-4.131,2.792,"RBC Canadian Open","St. George's G&CC"
