"","X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"103",103,"Tommy Gainey",22969274,6300,39.92,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,33.75,0.05,59.5,19.65,0.304,0.025,0.0079,0.0025,0,0.08,1,-0.17,-0.51,0,26
"104",104,"Mark Hensby",22969276,6300,56.5,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,31.09,0.68,54.5,18.5,0.2584,0.0168,0.0047,0.0013,0,0.08,1,-0.17,-0.13,1,26
"105",105,"Max McGreevy",22969277,6300,46.81,0.0024,0.002,98,-4e-04,-0.1667,41.44,0.81,70,22,0.4292,0.0661,0.0236,0.0077,7e-04,0.32,1,0.07,1.24,2,37.44
"106",106,"Scott Brown",22969278,6300,57.04,0.0024,0.002,98,-4e-04,-0.1667,46.35,1.1,75,23.5,0.4464,0.0738,0.0259,0.0092,0.001,0.32,1,0.07,2.4,4,39.39
"107",107,"Austin Cook",22969279,6300,41,0.0022,0.0019,100,-3e-04,-0.1364,35.22,0.16,62,20,0.3704,0.0429,0.014,0.0047,0,0.3,1,0.05,-0.01,0,26
"108",108,"Jared Du Toit",22969282,6200,21,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.41,0.14,53.36,13.98,0.1695,0.0057,0.0014,0,0,0.08,1,-0.12,-2.27,0,26
"109",109,"David Hearn",22969283,6200,42.75,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,35.76,0.07,62.5,20.5,0.2433,0.0119,0.0032,7e-04,0,0.08,1,-0.12,0.03,0,26
"110",110,"Joshua Creel",22969284,6200,36.03,9e-04,8e-04,114,-9.99999999999999e-05,-0.1111,34.39,0.05,61,20,0.3058,0.0247,0.0076,0.0022,0,0.13,1,-0.07,-0.46,0,26
"111",111,"Bo Van Pelt",22969285,6200,34.67,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,34.43,0.24,61,20,0.2463,0.0132,0.0033,0.0011,0,0.08,1,-0.12,-0.61,0,26
"112",112,"Brett Drewitt",22969286,6200,45.4,0.0011,9e-04,112,-2e-04,-0.1818,40.67,0.06,69.5,22,0.3509,0.0362,0.011,0.0034,0,0.15,1,-0.05,1.01,1,27.64
"113",113,"D.A. Points",22969287,6200,54.5,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,31.55,0.13,55,19,0.2198,0.0106,0.0027,6e-04,0,0.08,1,-0.12,-0.16,0,26
"114",114,"Jonas Blixt",22969288,6200,31.04,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,32.99,0.31,58.5,19.5,0.2732,0.0193,0.0058,0.0019,0,0.08,1,-0.12,-1.11,0,26
"115",115,"Greg Chalmers",22969290,6200,48.6,0.0024,0.002,98,-4e-04,-0.1667,35.08,0.17,62,20,0.3717,0.0497,0.0171,0.0067,8e-04,0.32,1,0.12,0.45,1,35.8
"116",116,"Albin Choi",22969291,6200,58.56,0.0027,0.0023,91,-4e-04,-0.1481,25.3,0.1,53.13,13.91,0.3546,0.0393,0.013,0.0041,0,0.37,1,0.17,0.04,0,24.72
"117",117,"Callum Davison",22969292,6100,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.61,0.01,53.77,14.08,0.0307,0,0,0,0,0.08,1,-0.06,-3.4,0,23.13
"118",118,"Max Sekulic",22969293,6100,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.44,0.01,53.42,13.99,0.0667,0,0,0,0,0.08,1,-0.06,-3.44,0,23.13
"119",119,"William Buhl",22969294,6100,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.48,0.01,53.51,14.01,0.134,0.0039,9e-04,0,0,0.08,1,-0.06,-3.43,0,23.13
"120",120,"Jim Herman",22969295,6100,44.07,0.0042,0.0036,68,-6e-04,-0.1429,43.44,0.25,71,22.5,0.4255,0.0642,0.0227,0.0083,8e-04,0.59,1,0.45,1.44,2,34.58
"121",121,"Brendan Leonard",22969296,6100,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.56,0.01,53.68,14.06,0.0359,0,0,0,0,0.08,1,-0.06,-3.41,0,23.13
"122",122,"Wes Heffernan",22969297,6100,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.21,0.01,52.95,13.87,0.2304,0.011,0.0026,7e-04,0,0.08,1,-0.06,-3.49,0,23.13
"123",123,"Seth Reeves",22969298,6100,46.24,0.0014,0.0012,108,-2e-04,-0.1429,40.46,0.42,69.5,22,0.4132,0.0611,0.0211,0.0072,7e-04,0.2,1,0.06,1.16,2,34.58
"124",124,"Martin Trainer",22969299,6100,44.59,0.0018,0.0016,102,-2e-04,-0.1111,32.17,0.77,57,19,0.4082,0.058,0.0213,0.0071,6e-04,0.26,1,0.12,-0.32,0,26.49
"125",125,"Kevin Stadler",22969300,6100,27.17,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,28.32,0.01,34.5,18,0.0696,6e-04,0,0,0,0.08,1,-0.06,-4.05,0,23.13
"126",126,"Bo Hoag",22969301,6100,42.97,9e-04,8e-04,114,-9.99999999999999e-05,-0.1111,47.34,0.26,74,23,0.4032,0.0529,0.0168,0.0058,7e-04,0.13,1,-0.01,1.47,2,34.58
"127",127,"Seung-Yul Noh",22969302,6100,45.75,0.002,0.0017,101,-3e-04,-0.15,39.99,0.18,68.5,22,0.4255,0.0639,0.0233,0.0085,0.001,0.28,1,0.14,1.06,1,32.93
"128",128,"Mike Weir",22969303,6000,54.89,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,45.25,0.09,72.5,23,0.2545,0.015,0.0037,0.0011,0,0.08,1,-0.01,1.94,2,24.78
"129",129,"Johnny Travale",22969304,6000,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.31,0.02,53.16,13.92,0.1484,0.0036,8e-04,0,0,0.08,1,-0.01,-3.44,0,23.13
"130",130,"Ricky Barnes",22969305,6000,34.8,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,32.13,0.06,57,19,0.2358,0.0138,0.0035,0.0011,0,0.08,1,-0.01,-1,0,23.13
"131",131,"John Merrick",22969306,6000,22.12,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,33.43,0.01,58.5,19.5,0.1045,0.0016,0,0,0,0.08,1,-0.01,-1.55,0,23.13
"132",132,"Myles Creighton",22969307,6000,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.66,0.01,53.89,14.11,0.2028,0.0081,0.0018,0,0,0.08,1,-0.01,-3.35,0,23.13
"133",133,"Joseph Deraney",22969308,6000,0,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.66,0.01,53.89,14.11,0.1495,0.0044,0.001,0,0,0.08,1,-0.01,-3.35,0,23.13
"134",134,"Stuart Macdonald",22969310,6000,49.31,0.0018,0.0015,104,-3e-04,-0.1667,25.96,0.01,54.51,14.28,0.346,0.0337,0.0108,0.0033,0,0.25,1,0.16,-0.35,0,23.13
"135",135,"Johnson Wagner",22969311,6000,41.25,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,31.65,0.11,55.5,19,0.2062,0.0082,0.0015,0,0,0.08,1,-0.01,-0.8,0,23.13
"136",136,"Ben Crane",22969312,6000,32.83,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,31.71,0.02,56,18.5,0.2347,0.0142,0.0041,9e-04,0,0.08,1,-0.01,-1.23,0,23.13
"137",137,"Brian Davis",22969313,6000,33.75,6e-04,5e-04,126,-9.99999999999999e-05,-0.1667,25.37,0.03,53.27,13.95,0.1318,0.0035,7e-04,0,0,0.08,1,-0.01,-1.49,0,23.13
