"","X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"60",60,"Wyndham Clark",22969229,6900,53.85,0.0074,0.0063,36,-0.0011,-0.1486,48.25,3.2,75.5,24,0.5833,0.1642,0.0724,0.0291,0.0037,0.91,1,0.31,2.43,6,47.64
"61",61,"Luke Donald",22969230,6900,48.91,0.0042,0.0036,68,-6e-04,-0.1429,52.74,3.7,78,25,0.5,0.1026,0.0405,0.0161,0.0017,0.52,1,-0.08,2.2,6,43.82
"62",62,"Kramer Hickok",22969231,6900,45.46,0.0064,0.0055,40,-0.000900000000000001,-0.1406,50.93,1.4,76.5,24.5,0.5633,0.1449,0.0615,0.0247,0.003,0.8,1,0.2,2,3,47.64
"63",63,"Sean O'Hair",22969234,6800,53.94,0.0033,0.0028,79,-5e-04,-0.1515,48.85,1.1,75.5,24,0.463,0.0823,0.0305,0.012,0.0015,0.41,1,-0.14,2.16,3,43.82
"64",64,"Wesley Bryan",22969235,6800,53.64,0.0036,0.0031,73,-5e-04,-0.1389,53.29,1.4,79.85,25,0.4525,0.0814,0.0314,0.0114,0.0015,0.46,1,-0.09,2.68,4,43.82
"65",65,"Bill Haas",22969236,6800,53.46,0.0047,0.004,60,-7e-04,-0.1489,44.73,1.8,71.5,23,0.505,0.0986,0.038,0.0138,0.0014,0.59,1,0.04,1.78,4,37.44
"66",66,"Justin Lower",22969237,6800,56.85,0.0036,0.0031,73,-5e-04,-0.1389,40.35,2.8,68.5,22,0.5122,0.1119,0.0454,0.0174,0.0018,0.46,1,-0.09,1.56,4,40.23
"67",67,"Ryan Moore",22969238,6800,46.44,0.0032,0.0028,79,-4e-04,-0.125,49.62,2.3,76.5,24,0.4425,0.0692,0.0238,0.0083,8e-04,0.41,1,-0.14,1.86,4,39.39
"68",68,"Vaughn Taylor",22969239,6800,50.79,0.0034,0.0029,76,-5e-04,-0.1471,51.64,5.1,78,24.5,0.4831,0.0949,0.0369,0.0131,0.0013,0.43,1,-0.12,2.28,7,39.39
"69",69,"Harry Higgs",22969240,6800,45.79,0.0058,0.005,50,-0.000799999999999999,-0.1379,46.69,3.1,74,23.5,0.5392,0.1277,0.0534,0.0217,0.0023,0.74,1,0.19,1.73,5,45.7
"70",70,"Satoshi Kodaira",22969241,6700,49.73,0.002,0.002,98,0,0,51.51,1.9,78,24.5,0.4348,0.0661,0.023,0.0079,7e-04,0.3,1,-0.19,2.28,4,42.97
"71",71,"Carlos Ortiz",22969242,6700,56.76,0.0059,0.0051,48,-0.000799999999999999,-0.1356,49.87,5.8,77,24,0.5475,0.1351,0.055,0.0218,0.0029,0.76,1,0.27,2.75,9,47.64
"72",72,"Brice Garnett",22969243,6700,49.7,0.0029,0.0025,87,-4e-04,-0.1379,54.79,4.6,80.5,25.5,0.5434,0.1272,0.0513,0.0204,0.0024,0.37,1,-0.12,2.52,7,43.82
"73",73,"Paul Barjon",22969244,6700,46.35,0.0025,0.0022,94,-3e-04,-0.12,46.47,0.85,74,23.5,0.4545,0.0754,0.0261,0.0097,0.001,0.33,1,-0.16,1.56,2,37.44
"74",74,"Ben Kohles",22969245,6700,54,0.0029,0.0025,87,-4e-04,-0.1379,44.63,1.7,72.5,22.5,0.495,0.0972,0.0371,0.0146,0.0013,0.37,1,-0.12,1.84,4,37.44
