datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Thornberry, Braden","Braden Thornberry",150,22980098,6200,24.293,1:59 pm,0,40.8,0.6,0,41.4,-0.08,100,0.28810391151897,
"Chalmers, Greg","Greg Chalmers",150,22969290,6200,26.417,8:06 am,1,43.7,0.9,0,44.6,0.05,100,0.618192029146642,
"Kang, Jeffrey","Jeffrey Kang",150,22980097,6100,21.300,2:12 pm,0,34.9,0.3,0,35.2,-0.26,100,0.102167110559031,
"Heffernan, Wes","Wes Heffernan",90,22969297,6100,20.615,2:12 pm,0,34.6,0.3,0,34.9,-0.27,100,0.0871226926553028,
"Buhl, William","William Buhl",150,22969294,6100,17.409,2:12 pm,0,29.4,0.1,0,29.6,-0.44,100,0.0444968419280741,
"Flavin, Patrick","Patrick Flavin",150,22980095,6100,26.154,9:12 am,1,44.8,0.9,0,45.7,0.19,100,1.45129082515441,
"Davison, Callum","Callum Davison",134,22969292,6100,11.024,8:30 am,1,21.4,0,0,21.4,-0.71,100,0.0369746329762102,
"Sekulic, Max","Max Sekulic",150,22969293,6100,13.377,8:52 am,1,24.8,0,0,24.8,-0.6,100,0.0369746329762102,
"Leonard, Brendan","Brendan Leonard",71,22969296,6100,11.328,8:50 am,1,21.9,0,0,21.9,-0.69,100,0.0369746329762102,
"Bohn, Jason","Jason Bohn",150,22981636,6100,16.569,8:50 am,1,25.8,0.1,0,26,-0.56,100,0.0392976814012592,
"Reeves, Seth","Seth Reeves",150,22969298,6100,26.935,2:01 pm,0,45.2,1,0,46.2,0.24,100,1.17071722504352,
"Stadler, Kevin","Kevin Stadler",150,22969300,6100,13.701,7:00 am,1,25.2,0,0,25.2,-0.58,100,0.0369746329762102,
"Trainer, Martin","Martin Trainer",150,22969299,6100,26.918,12:44 pm,0,45.7,1,0,46.6,0.27,100,1.13536342032024,
