player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Spaun, J.J.",150,+13058,+9000,-0.308,+10000,-0.232,+11000,-0.156,+8000,-0.384,+9793,-0.248,+13050,-0.001,+10000,-0.232,+11000,-0.156,+10000,-0.232,+10000,-0.232,+12500,-0.042,+11000,-0.156,+10000,-0.232,+10000,-0.232,+12500,-0.042
"Ghim, Doug",150,+13145,+11000,-0.162,+10000,-0.237,+12000,-0.086,+18000,0.367,+11225,-0.145,+16550,0.257,+10000,-0.237,+13500,0.027,+12500,-0.049,+12500,-0.049,+12500,-0.049,+12500,-0.049,+12500,-0.049,+12500,-0.049,+12500,-0.049
"Hughes, Mackenzie",150,+13886,+7000,-0.492,+6000,-0.564,+5000,-0.635,+8000,-0.421,+8170,-0.409,+7850,-0.432,+5000,-0.635,+5000,-0.635,+7000,-0.492,+5000,-0.635,+6600,-0.521,+7500,-0.457,+7000,-0.492,+6000,-0.564,+6600,-0.521
"Lipsky, David",150,+14135,+11000,-0.220,+10000,-0.290,+8000,-0.431,+13000,-0.080,+12748,-0.097,+8550,-0.392,+8000,-0.431,+13500,-0.045,+9000,-0.361,+8000,-0.431,+8000,-0.431,+14000,-0.009,+10000,-0.290,+10000,-0.290,+8000,-0.431
"Smalley, Alex",150,+14288,+12500,-0.124,+12500,-0.124,+10000,-0.298,+15000,0.049,+10679,-0.251,+10050,-0.295,+10000,-0.298,+12500,-0.124,+10000,-0.298,+12500,-0.124,+15000,0.049,+15000,0.049,+12500,-0.124,+12500,-0.124,+12500,-0.124
"Champ, Cameron",150,+14393,+10000,-0.303,+8000,-0.441,+8000,-0.441,+13000,-0.096,+12416,-0.136,+10850,-0.244,+8000,-0.441,+8000,-0.441,+10000,-0.303,+8000,-0.441,+8000,-0.441,+10500,-0.269,+8000,-0.441,+6600,-0.538,+8000,-0.441
"Rai, Aaron",150,+15109,+10000,-0.336,+8000,-0.467,+9000,-0.402,+13000,-0.139,+11563,-0.233,+10641,-0.294,+8000,-0.467,+11000,-0.270,+8000,-0.467,+10000,-0.336,+10000,-0.336,+11000,-0.270,+10000,-0.336,+10000,-0.336,+8000,-0.467
"Todd, Brendon",150,+15586,+7000,-0.547,+5000,-0.675,+5000,-0.675,+7000,-0.547,+7372,-0.524,+6850,-0.557,+5000,-0.675,+6000,-0.611,+5000,-0.675,+5000,-0.675,+6600,-0.573,+6500,-0.579,+5000,-0.675,+5500,-0.643,+6600,-0.573
"Hubbard, Mark",150,+16778,+12500,-0.253,+12500,-0.253,+12000,-0.283,+14000,-0.165,+13000,-0.224,+11050,-0.339,+10000,-0.402,+12500,-0.253,+15000,-0.105,+10000,-0.402,+12500,-0.253,+15000,-0.105,+12500,-0.253,+11000,-0.342,+10000,-0.402
"Poston, J.T.",150,+16849,+11000,-0.345,+12500,-0.257,+11000,-0.345,+15000,-0.109,+14887,-0.116,+16050,-0.047,+10000,-0.404,+11500,-0.316,+10000,-0.404,+10000,-0.404,+10000,-0.404,+14000,-0.168,+12500,-0.257,+12500,-0.257,+9000,-0.463
"Rodgers, Patrick",150,+18249,+12500,-0.313,+10000,-0.450,+8000,-0.559,+15000,-0.177,+14068,-0.228,+9050,-0.501,+8000,-0.559,+15000,-0.177,+10000,-0.450,+8000,-0.559,+10000,-0.450,+13000,-0.286,+10000,-0.450,+10000,-0.450,+10000,-0.450
"Hojgaard, Rasmus",150,+19039,+9000,-0.525,+8000,-0.577,+6500,-0.655,+10000,-0.472,+13867,-0.270,+11050,-0.417,+6600,-0.650,+11500,-0.394,+8000,-0.577,+8000,-0.577,+8000,-0.577,+12500,-0.342,+8000,-0.577,+8000,-0.577,+10000,-0.472
"Taylor, Nick",150,+19317,+11000,-0.428,+8000,-0.583,+9000,-0.531,+13000,-0.325,+13670,-0.291,+13050,-0.323,+8000,-0.583,+12500,-0.351,+12500,-0.351,+10000,-0.480,+10000,-0.480,+13000,-0.325,+12500,-0.351,+10000,-0.480,+10000,-0.480
"Grillo, Emiliano",150,+20519,+12500,-0.389,+10000,-0.510,+9500,-0.534,+15000,-0.268,+18817,-0.083,+12550,-0.386,+8000,-0.607,+15000,-0.268,+10000,-0.510,+10000,-0.510,+12500,-0.389,+16000,-0.219,+10000,-0.510,+10000,-0.510,+12500,-0.389
"Burmester, Dean",150,+21758,+12500,-0.424,+12500,-0.424,+12000,-0.446,+25000,0.148,+18927,-0.130,+12550,-0.421,+10000,-0.538,+17500,-0.195,+15000,-0.309,+12500,-0.424,+15000,-0.309,+20000,-0.080,+12500,-0.424,+12500,-0.424,+15000,-0.309
"Duncan, Tyler",150,+22122,+12500,-0.433,+10000,-0.546,+11000,-0.501,+18000,-0.186,+18900,-0.145,+17550,-0.206,+10000,-0.546,+13500,-0.388,+12500,-0.433,+12500,-0.433,+15000,-0.321,+15000,-0.321,+12500,-0.433,+12500,-0.433,+15000,-0.321
