player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1714,,,G,Fabian Gomez,33.57,0.01,24,59.5,19.5,0,0,6300,,34762,1714
1956,,,G,Austin Cook,35.22,0.19,26.41,62,20,0,0,6300,,37956,1956
161203,,,G,Jared Du Toit,25.41,0.11,10.26,53.36,13.98,0,0,6200,,35326,161203
670625,,,G,Doug Ghim,57.77,10.3,64.64,82.5,26,0,0,7000,,201095,670625
477949,,,G,Austin Smotherman,55.26,9.8,62.35,81,25.5,0,0,7500,,3083528,477949
1902,,,G,David Skinns,44.74,0.51,39.45,73,22.5,0,0,6400,,37984,1902
1715,,,G,J.J. Henry,32.28,0.02,9.2,57,19,0,0,6000,,34885,1715
1979,,,G,Kelly Kraft,37.74,0.18,30.11,65.5,21,0,0,6600,,34901,1979
353925,,,G,Aaron Rai,62.48,11.6,71.28,85.5,27.5,0,0,7900,,37143,353925
1805,,,G,Matt Every,,0,,,,0,0,6000,,34967,1805
63191,,,G,Matt Wallace,49.76,6.1,47.12,76.5,24.5,0,0,7400,,37151,63191
473728,,,G,Nate Lashley,,0,64,,,0,0,7200,,37914,473728
430916,,,G,Matthias Schwab,62.14,6,68,85,27.5,0,0,7300,,36546,430916
1927,,,G,Martin Laird,56.11,4.7,60.88,80.5,25.5,0,0,7500,,35040,1927
1839,,,G,Kevin Stadler,28.32,0.01,15.55,34.5,18,0,0,6100,,641528,1839
692607,,,G,Lee Hodges,53.59,2.7,55,81.35,25.5,0,0,7000,,672519,692607
1807,,,G,Scott Gutschewski,51.87,1.1,51.87,79.5,25,0,0,6500,,3083535,1807
703290,,,G,Jared Wolfe,,0,,,,0,0,6200,,3083530,703290
1907,,,G,Ben Kohles,44.63,1.2,45.29,72.5,22.5,0,0,6700,,37131,1907
395,,,G,Shane Lowry,80.96,12.3,93.93,99.5,63,0,0,10100,,34788,395
392408,,,G,Jim Knous,42.06,0.42,30.28,70,22.5,0,0,6300,,565461,392408
782,,,G,Patrick Reed,,0,,,,0,0,8900,,34803,782
463,,,G,Rory McIlroy,89.91,23.6,98,110,70.5,0,0,10500,,34793,463
199,,,G,Danny Willett,53.35,1.9,57.2,79.5,25.5,0,0,7400,,34824,199
552,,,G,Mackenzie Hughes,53.49,8.8,67.15,80,25,0,0,8400,,36080,552
505073,,,G,Braden Thornberry,25.52,0.02,9.2,53.6,14.04,0,0,6200,,37086,505073
586,,,G,David Lipsky,63.51,8.3,70.54,86.5,28,0,0,7300,,36524,586
851,,,G,Dean Burmester,58.14,1.4,53.31,83,26,0,0,7600,,36112,851
620,,,G,Seung-Yul Noh,39.99,0.13,37.9,68.5,22,0,0,6100,,34916,620
873,,,G,Rory Sabbatini,56.32,5.4,63.26,81.5,25.5,0,0,7200,,34931,873
400,,,G,Brandt Snedeker,52.95,4,52.52,78.5,25.5,0,0,7100,,34811,400
610,,,G,Emiliano Grillo,57.34,4.8,59.3,83,26,0,0,7400,,34764,610
984,,,G,Rafa Cabrera Bello,46.34,0.75,33.6,73,23.5,0,0,6600,,34746,984
456,,,G,David Lingmerth,49.36,3.2,47.43,76.5,24,0,0,6500,,34786,456
577,,,G,Ryan Moore,49.62,1.9,41.5,76.5,24,0,0,6800,,34797,577
732,,,G,Sang-Moon Bae,42.99,0.65,30.5,71,22.5,0,0,6900,,35243,732
985,,,G,Ben Crane,31.71,0.02,17.85,56,18.5,0,0,6000,,34866,985
648099,,,G,Adam Schenk,,0,,,,0,0,6900,,37919,648099
700,,,G,Nick Taylor,57.95,10.3,63.73,82.5,26,0,0,7700,,34941,700
524,,,G,Mike Weir,45.25,0.08,29.96,72.5,23,0,0,6000,,34821,524
777,,,G,Carlos Ortiz,49.87,7.4,52.7,77,24,0,0,6700,,34921,777
2180,,,G,Ricky Barnes,32.13,0.05,19.04,57,19,0,0,6000,,34852,2180
689,,,G,Adam Svensson,56.82,14.2,61.35,80.5,25.5,0,0,7100,,466731,689
723,,,G,Albin Choi,25.3,0.08,18.7,53.13,13.91,0,0,6200,,1071506,723
1070,,,G,John Huh,53.68,4,52.51,80,25.5,0,0,7400,,34976,1070
2170,,,G,Chris Kirk,73.72,13.9,84.9,93.5,33,0,0,9100,,34775,2170
509666,,,G,Alex Smalley,59.91,6.5,69.93,84.5,27,0,0,7500,,37147,509666
1390,,,G,Kramer Hickok,50.93,1.3,52.58,76.5,24.5,0,0,6900,,35062,1390
614,,,G,Scott Piercy,51.8,1.8,51.86,78.5,24.5,0,0,7000,,34801,614
625,,,G,Justin Rose,61.91,9.4,78.48,85.5,27,0,0,8800,,34804,625
515,,,G,Jonathan Byrd,45.54,1.3,44.51,72.5,23,0,0,6600,,35030,515
765362,,,G,William Buhl,25.48,0.01,9.2,53.51,14.01,0,0,6100,,3549712,765362
2050,,,G,Tommy Gainey,33.75,0.04,26.73,59.5,19.65,0,0,6300,,34874,2050
813,,,G,Greg Chalmers,35.08,0.12,30.43,62,20,0,0,6200,,35265,813
736,,,G,Yi Cao,25.34,0.02,10.67,53.21,13.94,0,0,6300,,36634,736
