player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Du Toit, Jared",150,Inf,Inf,-0.726
"Hearn, David",150,Inf,Inf,-0.89
"Davis, Brian",150,Inf,Inf,-0.89
"Van Pelt, Bo",150,Inf,Inf,-0.945
"Weir, Mike",150,Inf,164917,-0.959
"Creighton, Myles",150,Inf,Inf,-0.863
"Davison, Callum",134,,Inf,-1.548
"Deraney, Joseph",150,,Inf,-1.439
"Johnson, Richard S.",150,,Inf,-1.548
"Leonard, Brendan",71,,Inf,-1.548
"Ewart, A.J.",5,,,0
"Cao, Yi",150,,109981,-1.11
"Buhl, William",150,,Inf,-1.548
"Merrick, John",150,,Inf,-1.548
"Stadler, Kevin",150,,Inf,-1.439
"Heffernan, Wes",90,,Inf,-1.22
"Sekulic, Max",150,,Inf,-1.548
"Travale, Johnny",150,,Inf,-1.548
