adj_driving_accuracy,adj_driving_accuracy_rank,adj_driving_distance,adj_driving_distance_rank,adj_gir,adj_gir_rank,adj_ob,adj_ob_rank,adj_other_pen,adj_other_pen_rank,adj_par_3_score,adj_par_3_score_rank,adj_par_4_score,adj_par_4_score_rank,adj_par_5_score,adj_par_5_score_rank,adj_penalties,adj_penalties_rank,adj_score_to_par,adj_score_to_par_rank,adj_sd_distance,adj_sd_distance_rank,app_sg,app_sg_rank,arg_bunker_sg,arg_bunker_sg_rank,arg_fairway_sg,arg_fairway_sg_rank,arg_rough_sg,arg_rough_sg_rank,arg_sg,arg_sg_rank,driving_accuracy,driving_accuracy_rank,driving_distance,driving_distance_rank,event_name,fw_diff,fw_diff_rank,fw_diff_to,fw_diff_to_rank,fw_width,fw_width_rank,gir,gir_rank,greater_150_fw_sg,greater_150_fw_sg_rank,greater_150_other_sg,greater_150_other_sg_rank,greater_150_rgh_sg,greater_150_rgh_sg_rank,greater_150_sg,greater_150_sg_rank,greater_15_sg,greater_15_sg_rank,greater_5_less_15_sg,greater_5_less_15_sg_rank,less_150_fw_sg,less_150_fw_sg_rank,less_150_other_sg,less_150_other_sg_rank,less_150_rgh_sg,less_150_rgh_sg_rank,less_150_sg,less_150_sg_rank,less_5_ft_sg,less_5_ft_sg_rank,miss_fw_pen_frac,miss_fw_pen_frac_rank,non_rgh_diff,non_rgh_diff_rank,ob_balls,ob_balls_rank,other_pen,other_pen_rank,ott_sg,ott_sg_rank,par,par_3_score,par_3_score_rank,par_4_score,par_4_score_rank,par_5_score,par_5_score_rank,par_rank,penalties,penalties_rank,putt_sg,putt_sg_rank,rgh_diff,rgh_diff_rank,score_to_par,score_to_par_rank,sd_distance,sd_distance_rank,tournament_num,tournament_year,yardage,yardage_3,yardage_3_rank,yardage_4_5,yardage_4_5_rank,yardage_rank,course_num,course_name
0.6358930665315771,12.0,276.109537532738,2.0,0.6536616642405311,13.0,0.133046270233184,2.0,0.6236514693288759,3.0,0.137220752561072,8.0,0.18131058707643805,3.0,-0.30485962568951896,11.0,0.7566977395620601,1.0,1.1425503782505901,7.0,17.6734434850271,14.0,-0.0474563539892495,3.0,0.0140356520561382,18.0,-0.0121268147353877,10.0,-0.0324442758275154,5.0,-0.0104521276867245,12.0,0.6457277946639649,14.0,277.566714188314,23.0,THE PLAYERS Championship,0.42826830376959896,4.0,0.419568929463593,4.0,30.7384665356496,8.0,0.6658786446020489,14.0,-0.0565897310466705,22.0,0.0153173634190741,13.0,-0.0847281114612141,24.0,-0.0342043286220318,6.0,-0.0060038665630884,9.0,-0.004271854985950029,13.0,-0.0439436901256912,23.0,-0.157810379979054,26.0,-0.0109535464133214,17.0,-0.0702872666922014,2.0,-0.00345457856105691,4.0,0.0630331753554502,5.0,0.35271223561442705,18.0,0.132387706855792,2.0,0.609929078014184,3.0,-0.0865413484585541,1.0,72,0.10815602836879401,10.0,0.152245862884161,4.0,-0.333924349881797,13.0,2.0,0.7423167848699759,1.0,-0.00438302553941701,11.0,0.36682115732580395,3.0,0.619385342789598,9.0,17.496871511171598,15.0,11,2022,7108.42249343859,175.837772538439,25.0,458.35842618289803,16.0,15.0,11,TPC Sawgrass
0.6331515653833921,15.0,283.458292664129,7.0,0.6704244458152809,22.0,0.122066115931791,6.0,0.6430866498742,4.0,0.154986483543677,7.0,0.14708002474635,9.0,-0.28376630042068796,16.0,0.765152765805991,2.0,0.955680979955457,11.0,17.7825659862266,23.0,-0.0456627814199633,3.0,-0.0348499661188969,8.0,-0.0373555208789006,7.0,-0.0790794023941566,6.0,-0.0444467484143899,6.0,0.648902322621699,24.0,283.833538305757,31.0,THE PLAYERS Championship,0.41639522122923606,10.0,0.411079747948309,10.0,31.3185057244835,15.0,0.6813907448651321,20.0,-0.0458718282099924,32.0,0.0149241009851326,22.0,-0.0544920656271158,35.0,-0.0242939011043608,9.0,-0.00955358493632302,12.0,-0.0198943757340207,8.0,-0.036755467046066,37.0,-0.171705962502781,40.0,-0.0622625314478913,30.0,-0.0804635293625159,2.0,0.00127895971741781,14.0,0.0555806597379123,10.0,0.392738988052948,22.0,0.11358574610245001,7.0,0.6302895322939871,5.0,-0.0451071385107537,6.0,72,0.125278396436526,12.0,0.11737193763919801,9.0,-0.31347438752784,17.0,2.0,0.743875278396437,4.0,-0.0069092483674434895,9.0,0.290140150338428,16.0,0.420935412026726,13.0,17.5730020756375,25.0,11,2021,7138.994895686629,178.191806737167,37.0,460.31337448966696,25.0,24.0,11,TPC Sawgrass
0.659616001961425,19.0,282.371513867886,14.0,0.6821473727674959,16.0,0.0572063556774048,18.0,0.6183024174402679,4.0,0.124448704551233,9.0,0.0832587732011187,14.0,-0.301180586066616,10.0,0.675508773117673,4.0,0.125660205949657,14.0,18.1107404095955,17.0,-0.026112221104761003,10.0,-0.0130845036585374,10.0,-0.0113708047222928,13.0,-0.0481843480509526,6.0,-0.0201842463556417,7.0,0.671297809741746,17.0,283.826157612264,19.0,THE PLAYERS Championship,0.41107189939715705,10.0,0.39221644175685294,10.0,31.788141388589395,15.0,0.691711161962878,18.0,-0.0393974591161869,26.0,0.00063497838694722,24.0,-0.0035816054276894102,20.0,-0.0202287447039984,12.0,-0.0168693699083292,5.0,-0.0155200556218053,10.0,-0.0182246310291424,25.0,-0.0799049286742782,29.0,-0.0247144478158708,23.0,-0.0374116804656983,7.0,-0.00538980529711699,5.0,0.0615996025832091,8.0,0.350725823878747,24.0,0.0526315789473684,17.0,0.613272311212815,4.0,-0.0167833781053325,15.0,72,0.0903890160183066,14.0,0.0491990846681922,15.0,-0.335240274599542,16.0,2.0,0.665903890160183,5.0,-0.0109328161479937,6.0,0.29493549659314694,16.0,-0.48741418764302097,17.0,18.2547748232622,16.0,11,2019,7116.69486730467,176.496235627528,32.0,458.24479698345397,16.0,19.0,11,TPC Sawgrass
0.6611336105675151,20.0,282.201106851586,11.0,0.6879804439673729,22.0,0.0875353554399412,7.0,0.6248339868972621,3.0,0.16285837772704198,6.0,0.0759862316083206,10.0,-0.35084025240994393,23.0,0.7123693423372031,2.0,0.007934817351598171,19.0,18.8774245954726,16.0,-0.0249112870364125,9.0,-0.0448979429407929,5.0,-0.0204456400122075,9.0,-0.0271487065123006,11.0,-0.0264317144263664,6.0,0.669928245270711,15.0,284.312195676133,23.0,THE PLAYERS Championship,0.40144556614179,8.0,0.385992043050767,8.0,31.6025270870675,16.0,0.700025367833587,14.0,-0.0337477335009599,22.0,0.0116601880778003,22.0,-0.0145737761291438,24.0,-0.0139682392877146,15.0,-0.0144395080548112,5.0,-0.0110852541377034,12.0,-0.0128641752044592,26.0,-0.108941620630519,36.0,-0.0391546211131052,26.0,-0.043067820259671,7.0,0.00355668935027036,17.0,0.0562685093780849,10.0,0.377723198298129,23.0,0.0799086757990868,8.0,0.600456621004566,4.0,-0.0173705342739939,12.0,72,0.129566210045662,8.0,0.0426940639269406,14.0,-0.384132420091324,26.0,2.0,0.680365296803653,3.0,-0.0051259664137281,11.0,0.257364002377848,23.0,-0.5913242009132421,21.0,18.7930930054291,18.0,11,2018,7113.376004097759,179.20234059544998,33.0,457.765227666371,18.0,22.0,11,TPC Sawgrass
0.6440711525974029,16.0,279.985494089808,12.0,0.6286103474186011,9.0,0.111687442705283,5.0,0.764135153425799,2.0,0.23238759217171698,2.0,0.18920577398989896,2.0,-0.24204422601010103,12.0,0.875822596131082,2.0,1.85343120454545,2.0,19.929868772879697,8.0,-0.0776639177099236,1.0,-0.0526275531567919,8.0,-0.0254944936701573,10.0,-0.0798692979345597,4.0,-0.0417140240950524,6.0,0.656006493506494,17.0,280.429413445522,25.0,THE PLAYERS Championship,0.430350216943104,5.0,0.410923354648547,6.0,30.7977373129905,15.0,0.638257575757576,27.0,-0.0809034130389968,36.0,-0.0341988605807159,33.0,-0.0624155384862016,33.0,-0.0606995468881247,2.0,-0.0120584917072704,9.0,-0.00941403788690701,14.0,-0.0738346441440154,37.0,-0.16810675924281002,37.0,-0.111729420183911,35.0,-0.10451464468893301,1.0,0.00192213306961677,15.0,0.0625587958607714,7.0,0.38409330136187503,22.0,0.10227272727272699,6.0,0.75,2.0,-0.0344325240719233,7.0,72,0.20113636363636397,3.0,0.15795454545454501,3.0,-0.27329545454545495,15.0,2.0,0.8522727272727271,2.0,-0.00474834941404487,11.0,0.327062811119063,10.0,1.2909090909090901,3.0,20.001023798698398,7.0,11,2017,7117.3435314246,180.09902774187802,33.0,457.292910018075,17.0,20.0,11,TPC Sawgrass
0.6564921510297479,20.0,282.101262666136,18.0,0.6869259795459771,20.0,0.0788751419668267,8.0,0.588063716026321,6.0,0.134591398423595,9.0,0.11674242817187899,10.0,-0.28588915077548904,15.0,0.666938857993147,5.0,0.562233272311213,11.0,18.7773304327145,9.0,-0.0314429824319188,9.0,-0.0746220379529654,4.0,-0.0798699015989118,2.0,-0.0022601732133902697,12.0,-0.0438850331804949,3.0,0.665903890160183,15.0,283.152108271965,18.0,THE PLAYERS Championship,0.4186959723303329,3.0,0.420963610791693,3.0,29.4906901414232,12.0,0.697559115179253,18.0,-0.0608162135280829,31.0,-0.00610536876644603,26.0,-0.0076998998373801,23.0,-0.0331446242195977,8.0,-0.048895865539226,1.0,-0.00370160804232781,16.0,0.00596059467220714,14.0,-0.0865975483006766,29.0,-0.0779636546852705,32.0,-0.0291508626790605,8.0,0.0046580205577184,25.0,0.0531707317073171,11.0,0.472715060742165,12.0,0.0732265446224256,9.0,0.5720823798626999,6.0,-0.00155109658520899,15.0,72,0.106407322654462,11.0,0.08855835240274601,12.0,-0.314073226544622,19.0,2.0,0.645308924485126,6.0,-0.0114546595094361,7.0,0.326248390286953,11.0,0.0549199084668192,15.0,19.0498636450567,9.0,11,2016,7127.37632350923,177.399875421005,34.0,458.53179855507005,19.0,21.0,11,TPC Sawgrass
0.6669277697129661,20.0,276.702951529268,9.0,0.667396815864844,13.0,0.0537607490403407,16.0,0.6219483303487161,5.0,0.0892230228380806,16.0,0.14291817295355402,7.0,-0.302231942519887,20.0,0.675709079389057,6.0,0.5771460508083139,13.0,18.071980051693803,14.0,-0.0515270993188249,4.0,-0.0170037421694994,12.0,-0.0335928990973086,10.0,0.0161520501963318,18.0,-0.00873083300667757,15.0,0.6692510722533821,18.0,277.745249437911,28.0,THE PLAYERS Championship,0.46654434578886894,3.0,0.452994532372457,2.0,29.4598639610812,9.0,0.67590454195535,23.0,-0.0566332215382996,32.0,0.0114919242808002,24.0,-0.0718622850087384,36.0,-0.0376247523396714,6.0,-0.00911457373783701,11.0,0.011668143516555,29.0,-0.0213531452818654,31.0,-0.148375214539935,37.0,-0.155902763338745,38.0,-0.0727731050777376,2.0,0.00199999858429281,19.0,0.0596125186289121,8.0,0.46063015224621007,9.0,0.0508083140877598,17.0,0.6143187066974599,6.0,-0.0240609284630447,9.0,72,0.0617782909930716,17.0,0.11547344110854499,7.0,-0.329676674364896,22.0,2.0,0.665127020785219,6.0,0.00139753388277254,21.0,0.380381888409094,4.0,0.0831408775981524,13.0,18.124579275846397,14.0,11,2015,7123.52116538088,175.94357758542802,33.0,458.79715819215204,19.0,20.0,11,TPC Sawgrass
0.621443452676356,9.0,280.40270006426005,6.0,0.6109832684121961,6.0,0.0876852454798786,5.0,0.39698395435053796,12.0,0.17312165150261902,5.0,0.0291446607514349,16.0,-0.32005452715743,13.0,0.48466919983041706,10.0,0.0529142928039702,11.0,20.553122570209602,4.0,-0.0236903047485406,8.0,0.0040909120419271,15.0,0.0579268773316188,26.0,0.0938091758406042,25.0,0.0587093826795786,25.0,0.632577100319036,16.0,278.577023623679,21.0,RBC Heritage,0.257454330805837,24.0,0.25406547689850895,23.0,34.370320643178204,15.0,0.617452440033085,21.0,-0.0561892383674991,21.0,-0.0654496396002308,26.0,0.0629088395896994,7.0,-0.0417853305757049,4.0,-0.0137280307619319,4.0,-0.0232866718293143,7.0,-0.00449037626372393,16.0,-0.0508037191455439,19.0,0.11225328921897999,2.0,0.00978878303640937,18.0,-0.00203463237032672,6.0,0.0345323741007194,14.0,0.35109262554797804,19.0,0.0818858560794045,6.0,0.377171215880893,13.0,-0.0399088112297185,5.0,71,0.15570719602977698,5.0,0.0117302052785924,16.0,-0.33746898263027303,14.0,14.0,0.459057071960298,10.0,-0.00997940037688624,5.0,0.12678182699437598,26.0,-0.260545905707196,12.0,20.4844311767621,4.0,12,2022,7034.16459728339,184.149712410956,19.0,449.88029089988197,21.0,22.0,12,Harbour Town Golf Links
0.619968064051817,10.0,280.11657287363397,4.0,0.633129409214375,12.0,0.115778182649968,8.0,0.435145871458496,13.0,0.152950965575147,9.0,0.0128662392183803,22.0,-0.375806381192275,24.0,0.550924054108464,13.0,-0.374086649874055,22.0,20.3318448585063,7.0,-0.0257335220243085,8.0,0.0309480567170581,27.0,0.059811602423657996,38.0,0.106707951469075,39.0,0.0661250535515322,39.0,0.6320618927671819,29.0,278.540491679748,37.0,RBC Heritage,0.24134308355904502,40.0,0.234743869199535,39.0,33.585620317544496,21.0,0.638678981248251,28.0,-0.0608039693736968,38.0,-0.0709243699721957,37.0,0.0962897588934708,1.0,-0.0411816086733718,5.0,0.00676722295601807,23.0,-0.00531003100429362,20.0,-0.00147774469977521,22.0,-0.0533062265022965,29.0,0.0908015069634238,4.0,0.0053563576894803296,22.0,0.0037629270411659297,25.0,0.0403108305002428,20.0,0.364327605318658,26.0,0.10831234256927,8.0,0.423173803526448,14.0,-0.0545542054990076,4.0,71,0.136649874055416,9.0,-0.00343485230135104,26.0,-0.392107472712007,24.0,20.0,0.5314861460957179,13.0,0.00237094211886345,23.0,0.11554865044157199,38.0,-0.6675062972292191,20.0,20.0323502619222,7.0,12,2021,6996.09917028803,183.40066481404202,34.0,447.117989776397,35.0,36.0,12,Harbour Town Golf Links
0.648820047513462,16.0,274.910494651877,2.0,0.678639460464927,13.0,0.0930858856297582,6.0,0.37551551694022106,13.0,0.0526813463907366,19.0,-0.0317774320813456,23.0,-0.444731809559005,25.0,0.468601402569979,12.0,-1.47302179600887,26.0,18.2403671477825,16.0,0.030155448090234998,23.0,0.0612078807416668,24.0,0.0372583470474454,26.0,0.11224695296546199,28.0,0.0617906111182421,28.0,0.659486854608806,14.0,274.328338225443,27.0,RBC Heritage,0.26857230171999696,27.0,0.273093335752433,27.0,33.917380320457895,19.0,0.685144124168514,17.0,-0.007868728288472009,16.0,-0.00100735017389697,20.0,0.13639021471478802,1.0,0.0150499763501705,17.0,0.00837342590108142,22.0,0.011386231985213999,21.0,0.0479203747573203,4.0,0.0290141886564929,5.0,0.145084632134931,1.0,0.0612881716800751,28.0,0.00240235402413207,15.0,0.036027713625866,16.0,0.36836839468643107,17.0,0.0842572062084257,9.0,0.35698447893569796,14.0,-0.0526578619896678,3.0,71,0.0310421286031042,20.0,-0.053416649868978004,28.0,-0.46637102734663705,25.0,12.0,0.44124168514412393,12.0,0.00611926816710264,22.0,0.11380094192038902,27.0,-1.86252771618625,27.0,18.3949329084926,16.0,12,2020,6951.00013175153,182.093218018853,24.0,444.941927721403,23.0,25.0,12,Harbour Town Golf Links
