"","1","2","3","4","5","6"
"1",21867382,21867384,21867387,21867496,21867536,21867579
"2",21867382,21867384,21867387,21867516,21867536,21867579
"3",21867382,21867384,21867387,21867510,21867536,21867579
"4",21867382,21867384,21867387,21867516,21867524,21867579
"5",21867382,21867384,21867387,21867530,21867536,21867579
"6",21867382,21867384,21867387,21867536,21867540,21867579
"7",21867382,21867384,21867387,21867516,21867530,21867579
"8",21867382,21867384,21867387,21867496,21867540,21867579
"9",21867382,21867384,21867387,21867510,21867540,21867579
"10",21867382,21867384,21867387,21867526,21867540,21867579
"11",21867382,21867384,21867387,21867530,21867540,21867579
"12",21867382,21867384,21867387,21867540,21867546,21867579
"13",21867382,21867384,21867387,21867522,21867536,21867538
"14",21867382,21867384,21867387,21867522,21867536,21867538
"15",21867382,21867384,21867387,21867522,21867536,21867540
"16",21867382,21867384,21867387,21867524,21867536,21867538
"17",21867382,21867384,21867387,21867514,21867536,21867538
"18",21867382,21867384,21867387,21867522,21867538,21867542
"19",21867382,21867384,21867387,21867514,21867522,21867558
"20",21867382,21867384,21867387,21867522,21867538,21867546
