player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Aaron Rodgers,2241,QB,GB,14,574,81.0,142,150,8.7,0.0,5,10,6.0,69.3,104,61,9.6,174,30.3,11,73,,,,,33.2,92.4,83.0,,91.3,,,68.0,,1,2,192,29.5,114.8,10.3,18,6,0,2,9,4,2.1,1456,9.7,0,12,56.6,88.0,87.4,61.9,76.2,319,342,9.3,0.0,4,12,3.4,62.3,213,120,12.3,400,69.7,30,123,,,,,67.9,81.5,60.1,,77.6,,,81.9,,5,5,416,25.8,96.9,7.8,31,27,3,11,19,7,1.7,2506,7.3,77.8,361,375,8.6,0.0,8,13,3.3,66.7,250,0,11.0,393,68.5,31,146,,,,,91.3,91.8,86.0,,90.4,,,76.7,,0,6,413,,103.6,0.0,0,18,3,3,22,3,0.7,2977,7.9,3,77.0,100,117,11.3,0.0,1,9,7.1,57.3,67,181,13.0,181,31.5,10,50,,,,,23.2,71.7,34.1,,68.3,,,77.3,,6,1,195,27.1,98.4,27.1,49,15,0,10,6,8,4.1,985,8.4
Matt Schaub,1811,QB,HST,14,553,80.6,124,144,8.1,0.0,4,8,5.4,66.7,96,68,4.0,156,28.2,4,63,,,,,88.3,87.0,82.3,,85.6,,,55.2,,10,2,160,11.8,100.1,5.1,8,4,0,6,4,2,1.3,1348,9.4,0,13,80.8,80.3,85.6,27.2,79.5,342,369,7.8,0.0,6,12,3.2,69.4,256,96,5.9,397,71.8,16,140,,,,,88.8,80.1,86.0,,80.4,,,42.1,,5,11,408,16.7,98.4,4.0,16,12,4,12,21,10,2.5,2833,7.7,83.2,370,384,7.5,0.0,6,11,2.8,75.8,291,0,5.5,389,70.3,17,164,,,,,91.2,91.7,85.9,,91.1,,,42.7,,1,9,398,,110.7,0.0,0,5,4,3,21,9,2.3,3407,8.9,0,66.7,96,129,9.6,0.0,4,9,6.7,47.3,61,164,4.7,164,29.7,3,39,,,,,74.4,56.6,82.6,,58.3,,,49.7,,14,4,170,14.6,63.9,14.6,24,11,0,15,4,3,1.8,774,6.0
Peyton Manning,327,QB,IND,14,544,78.1,114,118,10.5,0.0,2,9,7.3,72.0,85,23,4.5,122,22.4,4,60,,,,,86.7,91.5,81.5,,90.8,58.4,,55.3,,1,3,128,13.0,117.3,2.5,3,1,0,1,9,3,2.3,1144,9.7,0,14,90.4,87.7,89.1,30.0,74.9,399,414,8.9,0.0,7,23,5.3,67.6,280,96,6.4,422,77.6,19,160,,,,,87.0,84.7,86.3,,82.7,58.4,,56.8,,2,12,440,7.3,96.8,1.7,7,1,0,6,24,11,2.5,3087,7.5,77.2,413,424,9.0,0.0,9,25,5.7,71.2,302,0,5.3,425,78.1,17,179,,,,,91.4,91.9,86.3,,91.0,55.2,,56.8,,0,9,442,,107.8,0.0,0,1,0,2,28,9,2.0,3375,8.0,4,69.0,100,108,10.2,0.0,0,7,6.1,58.3,63,119,8.7,119,21.9,6,41,,,,,61.4,67.1,81.4,,67.0,,,55.3,,3,6,126,8.4,76.0,8.4,10,1,0,5,5,5,4.0,856,7.9
Tom Brady,698,QB,NE,14,534,73.0,159,165,9.2,0.0,1,6,3.4,67.3,111,59,4.3,168,31.5,5,64,,,,,89.2,80.3,33.2,,79.9,,,50.7,,2,3,179,1.7,101.0,0.6,1,2,0,3,9,2,1.1,1277,7.7,1,19,90.9,76.8,80.2,29.4,75.4,329,348,9.2,0.0,4,22,5.9,63.2,220,78,11.3,366,68.5,28,127,,,,,88.0,76.7,85.8,,75.9,,,47.6,,7,9,389,17.9,90.3,3.8,14,4,0,8,15,8,2.1,2668,7.7,78.0,386,392,8.9,0.0,5,20,4.8,69.6,273,0,9.3,397,74.3,28,158,,,,,91.3,88.5,86.1,,87.1,,,43.8,,0,5,419,,102.9,0.0,0,5,0,1,17,4,1.0,3165,8.1,7,61.8,102,121,10.4,0.0,0,8,6.0,47.9,58,137,7.9,137,25.7,5,33,,,,,71.7,54.1,24.5,,55.2,,,57.9,,9,7,149,10.9,64.1,10.9,15,1,0,10,7,6,4.0,780,6.4
Jay Cutler,2956,QB,CHI,14,531,68.5,149,156,8.0,0.0,2,9,5.5,60.3,94,72,7.8,173,32.6,8,53,,,,,69.7,60.7,82.8,,60.7,,,56.6,,2,9,180,19.4,75.4,8.1,14,3,0,3,8,7,3.9,1125,7.2,0,6,72.0,60.5,63.0,38.8,69.6,306,328,8.4,0.0,4,11,3.2,61.0,200,94,6.1,358,67.4,13,95,,,,,84.4,65.6,57.6,,63.7,,,75.5,,3,16,378,17.0,69.2,4.5,16,14,5,10,11,13,3.4,2002,6.1,75.5,339,354,6.8,0.0,4,11,3.0,67.8,240,0,6.3,365,68.7,16,114,,,,,91.1,78.0,85.7,,74.6,,,83.2,,0,14,377,,81.2,0.0,0,11,5,6,12,6,1.6,2360,6.7,4,50.9,116,130,12.3,0.0,2,9,6.3,41.5,54,166,8.5,166,31.3,5,34,,,,,50.4,38.6,30.7,,41.0,,,51.6,,5,11,181,18.1,44.0,18.1,30,6,0,7,7,14,7.7,767,5.9
Tony Romo,1693,QB,DAL,14,522,68.1,188,195,8.6,0.0,3,6,2.9,59.5,116,74,9.4,218,41.8,12,72,,,,,52.3,64.9,41.4,,63.3,,,81.9,,1,3,232,27.0,92.2,9.2,20,3,0,3,7,5,2.2,1638,8.4,0,9,65.6,69.9,71.3,42.4,73.2,269,283,8.3,0.0,6,14,4.7,64.3,182,82,7.6,304,58.2,15,106,,,,,85.0,75.5,54.3,,74.6,,,61.5,,3,4,317,13.4,101.7,3.6,11,10,1,4,16,5,1.6,2249,7.9,72.8,349,357,7.9,0.0,6,12,3.3,65.8,235,0,7.5,366,70.1,19,140,,,,,91.1,78.5,85.7,,76.2,,,70.4,,0,6,377,,103.6,0.0,0,9,1,1,20,7,1.9,3001,8.4,3,65.7,108,121,10.0,0.0,3,8,5.9,52.1,63,156,11.3,156,29.9,8,38,,,,,29.2,56.7,0.0,,57.2,,,67.0,,4,1,172,19.9,80.8,19.9,31,4,0,6,3,3,1.7,886,7.3
David Garrard,1109,QB,JAX,14,520,66.4,140,164,9.3,0.0,5,6,3.6,52.4,86,75,7.5,185,35.6,7,61,,,,,57.9,73.3,33.4,,70.2,,,82.5,,12,1,192,20.0,78.9,8.1,15,6,0,7,5,5,2.6,1004,6.1,0,15,47.8,71.4,73.9,47.6,73.5,264,288,9.2,0.0,7,20,6.6,64.9,187,104,3.6,335,64.4,7,99,,,,,46.6,75.0,57.1,,73.0,,,70.7,,4,6,349,21.2,88.7,6.6,22,25,0,13,8,13,3.7,2206,7.7,73.2,310,321,8.6,0.0,7,18,5.4,67.3,216,0,4.8,341,65.6,11,125,,,,,83.2,86.1,85.4,,82.4,,,77.8,,0,5,355,,93.2,0.0,0,20,0,4,9,8,2.3,2482,7.7,3,63.8,94,131,11.4,0.0,5,8,5.8,43.5,57,179,5.0,179,34.4,3,35,,,,,24.9,53.1,0.0,,52.5,,,69.8,,16,2,186,20.7,65.3,20.7,37,11,0,16,4,10,5.4,728,5.6
Matt Cassel,2447,QB,KC,13,501,63.9,147,163,9.7,0.0,6,6,3.4,50.9,83,96,11.7,193,38.5,11,52,,,,,72.5,59.9,83.3,,60.3,,,55.1,,3,4,204,20.8,76.1,10.4,20,10,0,7,9,4,2.0,916,5.6,0,16,62.1,60.5,65.4,30.6,72.8,250,270,7.9,0.0,7,15,5.2,57.0,154,82,15.4,308,61.5,28,65,,,,,61.0,64.0,54.1,,67.6,60.0,,35.4,,6,9,333,25.6,68.1,6.8,21,17,3,4,6,10,3.0,1621,6.0,74.4,293,308,7.9,0.0,9,16,4.8,61.0,188,0,13.8,323,64.5,30,91,,,,,86.4,75.9,85.4,,77.4,60.0,,36.9,,0,6,347,,82.5,0.3,1,14,3,3,10,5,1.4,1986,6.4,8,55.8,104,125,10.6,0.0,4,5,3.8,39.2,49,178,15.5,178,35.5,9,26,,,,,33.7,39.2,32.9,,41.8,,,49.4,,9,7,190,22.5,43.1,22.5,40,13,0,8,5,9,4.7,551,4.4
Drew Brees,802,QB,NO,14,501,79.6,103,109,9.6,0.0,1,9,7.8,70.6,77,37,6.1,120,24.0,5,58,,,,,61.4,93.8,81.4,,92.4,,,64.4,,3,2,127,27.0,126.5,8.3,10,1,0,2,10,2,1.6,1116,10.2,0,20,67.3,90.1,90.0,47.6,77.3,348,368,8.5,0.0,12,19,5.0,69.0,254,86,5.6,381,76.0,15,144,,,,,66.4,83.6,60.4,,81.3,,,71.9,,4,9,396,10.5,104.4,2.4,9,4,1,3,23,10,2.5,3017,8.2,81.8,363,374,8.4,0.0,9,23,5.9,75.7,283,0,4.7,378,75.4,14,175,,,,,91.2,95.2,85.9,,93.7,,,80.1,,0,8,394,,121.5,0.0,0,4,1,1,30,5,1.3,3463,9.3,3,61.4,88,103,10.0,0.0,4,5,4.6,46.6,48,123,11.1,123,24.6,6,27,,,,,24.2,46.9,16.7,,48.7,,,58.3,,7,3,129,15.4,65.6,15.4,19,1,0,4,3,7,5.4,670,6.5
Ben Roethlisberger,1732,QB,PIT,13,498,77.9,149,160,8.7,0.0,6,7,4.1,66.9,107,64,7.8,189,38.0,9,75,,,,,77.2,75.1,83.2,,72.6,,,74.2,,4,4,199,40.6,95.7,13.8,26,3,0,1,7,5,2.5,1295,8.1,0,25,85.2,86.6,86.7,43.7,78.3,272,286,10.1,0.0,4,21,6.9,68.2,195,72,8.5,309,62.0,18,113,,,,,90.8,91.6,85.1,,89.7,85.9,,83.1,,6,7,329,23.6,103.4,5.5,17,6,1,3,15,6,1.8,2554,8.9,80.3,346,356,8.9,0.0,8,13,3.5,71.1,253,0,9.0,362,72.7,25,153,,,,,91.1,90.9,85.7,,88.6,85.9,,75.4,,0,7,376,,107.1,0.0,0,6,1,1,19,8,2.1,3095,8.7,1,68.0,75,90,13.1,0.0,2,15,14.7,54.4,49,136,3.9,136,27.3,2,35,,,,,72.2,75.1,82.1,,71.1,,,83.1,,10,4,152,31.6,75.0,31.6,43,3,0,3,3,3,2.0,754,8.4
