"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"48","Brian Harman",21880945,6800,63.42,0.0073,0.0057,51,-0.0016,-0.2192,56.77,9.4,78,25.5,0.5964,0.0078,0.2792,0.1587,0.0614,0.0241,0.0124,0.0027,100,0.84,-0.09,0.97,10,0.0812,27,"2022-04-10","The Masters"
"49","Kevin Kisner",21880946,6800,67.65,0.0081,0.0053,52,-0.0028,-0.3457,46.58,3.1,71.5,22.5,0.5629,0.007,0.2419,0.1349,0.0487,0.0186,0.0088,0.0023,44,0.78,-0.15,-1.17,2,0.0713,53,"2022-04-10","The Masters"
"50","Kevin Na",21880947,6800,58.17,0.0045,0.0047,56,0.000200000000000001,0.0444,47.71,7.4,72.5,23,0.576,0.0077,0.2587,0.149,0.0592,0.0231,0.0122,0.0032,14,0.69,-0.24,4.34,12,0.0371,65.5,"2022-04-10","The Masters"
"51","Christiaan Bezuidenhout",21880949,6700,64.83,0.0063,0.0052,54,-0.0011,-0.1746,58.2,7.7,79,25.5,0.6133,0.0061,0.2852,0.1655,0.0642,0.0256,0.0126,0.0028,44,0.78,-0.07,1.9,10,0.0373,43.5,"2022-04-10","The Masters"
"52","Tom Hoge",21880950,6700,72.09,0.0107,0.006,50,-0.0047,-0.4393,55.64,6.8,78,25,0.6668,0.0084,0.3646,0.2289,0.1004,0.0438,0.0227,0.0065,39,0.9,0.05,-4.61,2,0.0701,48,"2022-04-10","The Masters"
"53","Erik Van Rooyen",21880951,6700,67.96,0.0045,0.0062,49,0.0017,0.3778,51.99,7.1,75.5,24.5,0.6286,0.0079,0.3113,0.1876,0.0772,0.0321,0.0166,0.0045,100,0.93,0.08,7.99,16,NA,NA,"2022-04-10","The Masters"
"54","J.J. Spaun",21959165,6700,66.53,0.0057,0.0045,58,-0.0012,-0.2105,48.66,0.72,73.5,23.5,0.574,0.0074,0.251,0.1422,0.053,0.0208,0.0102,0.0029,23,0.67,-0.18,1.72,2,0.0171,54,"2022-04-10","The Masters"
"55","Thomas Pieters",21880952,6600,63.58,0.0074,0.0092,36,0.0018,0.2432,57.71,9.7,80,25.5,0.7061,0.0102,0.4226,0.2738,0.1311,0.0592,0.0331,0.0097,100,1.39,0.62,8.02,18,0.0671,10,"2022-04-10","The Masters"
"56","Sepp Straka",21880953,6600,57.94,0.0063,0.0053,52,-0.001,-0.1587,49.38,7.5,75,23.5,0.6196,0.0086,0.3083,0.1853,0.074,0.0313,0.0166,0.0039,30,0.8,0.03,2.11,10,0.0623,58.5,"2022-04-10","The Masters"
"57","Cameron Champ",21880954,6600,46.69,0.0031,0.0045,58,0.0014,0.4516,42.65,2.6,69.5,22,0.5188,0.0044,0.1967,0.1055,0.0371,0.0138,0.0067,0.0016,10,0.68,-0.09,7.59,10,0.0192,65.5,"2022-04-10","The Masters"
"58","Harold Varner III",21880955,6600,63.85,0.0106,0.0082,42,-0.0024,-0.2264,55.02,2.3,78.5,25,0.7018,0.0101,0.4107,0.269,0.1246,0.0577,0.0321,0.0096,23,1.24,0.47,-0.45,2,0.0481,63.5,"2022-04-10","The Masters"
"59","Ryan Palmer",21880956,6500,54.73,0.0019,0.0029,68,0.001,0.5263,53.2,2.1,76.5,24.5,0.5197,0.0066,0.2053,0.1104,0.0403,0.016,0.0086,0.0018,100,0.45,-0.23,7.04,10,0.0199,20,"2022-04-10","The Masters"
"60","Matthew Wolff",21880957,6500,66.44,0.0032,0.004,61,8e-04,0.25,37.7,1.3,64.5,21,0.5159,0.0056,0.1954,0.1028,0.0366,0.0136,0.0068,0.0015,100,0.62,-0.06,5.83,8,0.0246,7.5,"2022-04-10","The Masters"
"61","Min Woo Lee",21880958,6500,37.6,0.0047,0.0029,68,-0.0018,-0.383,47.17,0.23,73.5,23,0.5286,0.0064,0.2102,0.1136,0.042,0.0158,0.0082,0.002,14,0.45,-0.23,0.92,2,0.002,73,"2022-04-10","The Masters"
"62","Cameron Davis",21880959,6500,56.46,0.0037,0.0039,62,2e-04,0.0541,50.32,0.75,75.5,23.5,0.5803,0.0058,0.2558,0.1403,0.0532,0.0199,0.0097,0.0027,46,0.6,-0.08,4.39,6,0.0093,39.5,"2022-04-10","The Masters"
"63","Stewart Cink",21880960,6400,54.36,0.0019,0.0043,60,0.0024,1.2632,45.4,3.2,70.5,22.5,0.5628,0.0078,0.2483,0.1421,0.0551,0.022,0.0115,0.0029,100,0.67,0.07,12.82,16,0.0341,29,"2022-04-10","The Masters"
"64","Zach Johnson",21880961,6400,46.04,0.0047,0.0026,74,-0.0021,-0.4468,44.08,0.71,69.5,22,0.468,0.0037,0.1491,0.0712,0.0214,0.007,0.0034,8e-04,100,0.41,-0.19,0.54,2,0.0116,19,"2022-04-10","The Masters"
"65","Lucas Herbert",21880962,6400,56.1,0.0046,0.0047,56,1e-04,0.0217,44.17,1.3,71,22.5,0.593,0.0074,0.2748,0.1612,0.0644,0.0256,0.0134,0.0034,100,0.73,0.13,4.24,6,0.0121,20.5,"2022-04-10","The Masters"
"66","Keita Nakajima",21880963,6400,66.25,8e-04,0.0021,77,0.0013,1.625,38.98,0.25,65,21,0.3316,0.0014,0.0702,0.0308,0.0081,0.0025,0.001,2e-04,100,0.33,-0.27,10.52,10,0.0092,16,"2022-04-10","The Masters"
"67","Lucas Glover",21880964,6400,66.81,9e-04,0.0031,66,0.0022,2.4444,49.87,0.7,74,24,0.4887,0.0031,0.1664,0.0836,0.0278,0.0092,0.0046,0.0011,30,0.48,-0.12,12.36,14,0.0164,55,"2022-04-10","The Masters"
"68","Harry Higgs",21880965,6300,49.63,9e-04,0.0026,74,0.0017,1.8889,40.49,0.57,67.5,21,0.474,0.0046,0.1559,0.0774,0.0255,0.0087,0.0044,9e-04,14,0.41,-0.1,11.37,12,0.0059,67,"2022-04-10","The Masters"
"69","Hudson Swafford",21880966,6300,59.66,9e-04,0.0012,85,3e-04,0.3333,43.65,0.66,70.5,22,0.4627,0.0047,0.1522,0.0748,0.023,0.008,0.004,7e-04,30,0.19,-0.32,4.95,6,0.0054,54,"2022-04-10","The Masters"
"70","Garrick Higgo",21880967,6300,53.31,0.0048,0.0026,74,-0.0022,-0.4583,46.81,1.1,73,22.5,0.4631,0.0041,0.1487,0.0724,0.0219,0.0073,0.0035,8e-04,100,0.41,-0.1,0.41,2,0.0064,15.5,"2022-04-10","The Masters"
