"","G","G","G","G","G","G"
"1",21880897,21880899,21880903,21880957,21880967,21880982
"2",21880897,21880899,21880903,21880957,21880967,21880982
"3",21880897,21880899,21880903,21880957,21880967,21880971
"4",21880897,21880899,21880903,21880949,21880967,21880986
"5",21880897,21880899,21880903,21880957,21880972,21880986
"6",21880897,21880899,21880903,21880949,21880967,21880982
"7",21880897,21880899,21880903,21880957,21880982,21880986
"8",21880897,21880899,21880903,21880957,21880967,21880974
"9",21880897,21880899,21880903,21880957,21880967,21880975
"10",21880897,21880899,21880903,21880957,21880971,21880986
"11",21880897,21880899,21880903,21880958,21880967,21880971
"12",21880897,21880899,21880903,21880949,21880967,21880980
"13",21880897,21880899,21880903,21880949,21880967,21880984
"14",21880897,21880899,21880903,21880957,21880966,21880971
"15",21880897,21880899,21880903,21880967,21880968,21880973
"16",21880897,21880899,21880903,21880958,21880967,21880976
"17",21880897,21880899,21880903,21880958,21880973,21880982
"18",21880897,21880899,21880903,21880960,21880967,21880971
"19",21880897,21880899,21880903,21880957,21880960,21880977
"20",21880897,21880899,21880903,21880971,21880972,21880986
