"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"22","Corey Conners",22549480,8000,71.3,0.0163,0.0162,18,-9.99999999999994e-05,-0.0061,58.42,14.2,79,24.5,0.7019,0.0112,0.3847,0.2747,0.1476,0.0765,0.0474,0.0167,100,2.02,0.43,3.93,18,0.1222,11.5,"2022-05-22","PGA Championship"
"23","Louis Oosthuizen",22549481,8000,63.44,0.0282,0.0131,23,-0.0151,-0.5355,57.16,7.5,77.5,24,0.6592,0.0097,0.3348,0.2347,0.1239,0.0628,0.0377,0.0121,60,1.64,0.05,-25.04,0,0.0409,45.5,"2022-05-22","PGA Championship"
"24","Tony Finau",22549483,7900,65.18,0.0292,0.016,19,-0.0132,-0.4521,54.45,17.4,76,24,0.7193,0.014,0.3715,0.2636,0.1418,0.0724,0.0432,0.0145,30,2.03,0.55,-21.42,0,0.1159,54,"2022-05-22","PGA Championship"
"25","Webb Simpson",22549484,7800,66.5,0.0126,0.0055,55,-0.0071,-0.5635,50.43,1.4,73.5,22.5,0.5328,0.0041,0.1871,0.1153,0.0494,0.0216,0.0115,0.0029,20,0.71,-0.67,-9.13,0,0.0179,66.5,"2022-05-22","PGA Championship"
"26","Abraham Ancer",22549485,7800,65.43,0.0126,0.0072,45,-0.0054,-0.4286,47.97,6.7,71,22.5,0.635,0.0088,0.2602,0.1726,0.0799,0.0372,0.0207,0.0063,9,0.92,-0.46,-6.2,0,0.0286,63,"2022-05-22","PGA Championship"
"27","Adam Scott",22549486,7700,74.58,0.0119,0.0076,42,-0.0043,-0.3613,49.32,7.4,72.5,22.5,0.6009,0.006,0.2544,0.1668,0.0781,0.037,0.0204,0.006,100,0.99,-0.3,-4.17,4,0.0566,26,"2022-05-22","PGA Championship"
"28","Marc Leishman",22549487,7700,76.71,0.0104,0.0048,65,-0.0056,-0.5385,50.24,5.3,72,23,0.5399,0.0049,0.1892,0.1158,0.0501,0.0204,0.0106,0.0029,34,0.62,-0.67,-6.24,0,0.0383,51.5,"2022-05-22","PGA Championship"
"29","Tommy Fleetwood",22549488,7600,72.58,0.0134,0.0103,27,-0.0031,-0.2313,54.99,9.5,76.58,24,0.6298,0.007,0.2871,0.191,0.0927,0.0446,0.0244,0.0071,5,1.36,0.15,-1.94,8,0.0924,83,"2022-05-22","PGA Championship"
"30","Cameron Young",22549489,7600,69.9,0.0117,0.0143,20,0.0026,0.2222,52.29,25.4,75,23,0.7106,0.0145,0.3628,0.2579,0.1376,0.0731,0.0445,0.0145,3,1.88,0.67,9.6,36,0.1359,86.5,"2022-05-22","PGA Championship"
"31","Keegan Bradley",22549490,7500,70.96,0.0088,0.0115,25,0.0027,0.3068,53.98,8.2,76,23.5,0.6545,0.0087,0.3228,0.2237,0.1157,0.0586,0.0348,0.0109,48,1.53,0.39,9.89,18,0.1137,40,"2022-05-22","PGA Championship"
