player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"McIlroy, Rory",150,+1620,+1625,0.003
"Rahm, Jon",150,+1698,+1425,-0.152
"Scheffler, Scottie",150,+1892,+1217,-0.339
"Cantlay, Patrick",150,+2461,+2364,-0.038
"Thomas, Justin",150,+2496,+1870,-0.241
"Matsuyama, Hideki",150,+2729,+2356,-0.132
"Schauffele, Xander",150,+3050,+2372,-0.215
"Smith, Cameron",150,+3149,+2452,-0.215
"Hovland, Viktor",150,+3706,+2931,-0.204
"Morikawa, Collin",150,+4003,+2283,-0.419
"Lowry, Shane",150,+4435,+3965,-0.104
"Fitzpatrick, Matthew",150,+4725,+4497,-0.047
"Zalatoris, Will",150,+4748,+4321,-0.088
"Spieth, Jordan",150,+4913,+1974,-0.586
"Burns, Sam",150,+5689,+4872,-0.141
"Conners, Corey",150,+5879,+5952,0.012
"Johnson, Dustin",150,+6714,+3318,-0.498
"Young, Cameron",150,+6797,+6889,0.013
"Finau, Tony",150,+6808,+6030,-0.113
"Homa, Max",150,+7622,+7284,-0.044
"Niemann, Joaquin",150,+7837,+5569,-0.286
"Oosthuizen, Louis",150,+8182,+7533,-0.078
"Munoz, Sebastian",150,+8577,+10720,0.247
"Hatton, Tyrrell",150,+8849,+8541,-0.034
"Bradley, Keegan",150,+9095,+8422,-0.073
"Berger, Daniel",150,+10052,+7092,-0.292
"Henley, Russell",150,+10263,+9562,-0.068
"Koepka, Brooks",150,+10317,+5315,-0.480
"Power, Seamus",150,+11104,+10208,-0.080
"Horschel, Billy",150,+11427,+10869,-0.048
"Wise, Aaron",150,+11630,+11653,0.002
"Pereira, Mito",150,+11665,+11947,0.024
"Hoge, Tom",150,+11699,+12973,0.108
"Noren, Alex",150,+11805,+11848,0.004
"Kim, Si Woo",150,+11876,+12821,0.079
"Varner III, Harold",150,+12479,+11492,-0.078
"Garcia, Sergio",150,+12598,+12092,-0.040
"Gooch, Talor",150,+13101,+12076,-0.078
"Kokrak, Jason",150,+13599,+10713,-0.211
"Fleetwood, Tommy",150,+13985,+9793,-0.298
"Woodland, Gary",150,+14552,+15483,0.064
"McNealy, Maverick",150,+14660,+13838,-0.056
"Harman, Brian",150,+15052,+15896,0.056
"Kirk, Chris",150,+15464,+15875,0.026
"Griffin, Lanto",150,+15525,+19357,0.245
"Ancer, Abraham",150,+15773,+14088,-0.106
"Woods, Tiger",150,+16498,+7655,-0.533
"Scott, Adam",150,+16567,+12915,-0.219
"Horsfield, Sam",150,+18249,+18441,0.010
"Rose, Justin",150,+18857,+17975,-0.047
"Watson, Bubba",150,+19039,+19358,0.017
"Day, Jason",150,+20001,+11414,-0.427
"Pieters, Thomas",150,+20519,+19497,-0.050
"Van Rooyen, Erik",150,+20519,+13340,-0.348
"Merritt, Troy",150,+20625,+24746,0.199
"Straka, Sepp",150,+21522,+19944,-0.073
"Macintyre, Robert",150,+22372,+21457,-0.041
"Champ, Cameron",150,+23021,+16744,-0.271
"Vegas, Jhonattan",150,+23710,+17395,-0.265
"Na, Kevin",150,+23852,+16020,-0.327
"Mitchell, Keith",150,+23996,+15988,-0.332
"Hadwin, Adam",150,+24142,+18083,-0.250
"McCarthy, Denny",150,+24290,,0.00
"Davis, Cameron",150,+24900,+27041,0.086
"Bekker, Oliver",150,+24900,+28455,0.142
"Spaun, J.J.",150,+27111,+15465,-0.428
"Lee, Kyounghoon",150,+27297,+26606,-0.025
"Tringale, Cameron",150,+27678,+21839,-0.210
"Arnaus, Adri",150,+28886,+32684,0.131
"Riley, Davis",150,+29751,+22494,-0.243
"Palmer, Ryan",150,+29975,+28005,-0.066
"Jones, Matt",150,+29975,+23795,-0.205
"Reed, Patrick",150,+30434,+20588,-0.322
"List, Luke",150,+30669,+20403,-0.334
"Steele, Brendan",150,+31396,+29033,-0.075
"Kuchar, Matt",150,+31396,+21802,-0.305
"Burmester, Dean",150,+32958,+24743,-0.248
"Bezuidenhout, Christiaan",150,+33798,+18002,-0.466
"Leishman, Marc",150,+34383,+20704,-0.397
"Simpson, Webb",150,+34383,+18182,-0.470
"Fox, Ryan",150,+34988,+24186,-0.308
"Canter, Laurie",150,+35614,+26261,-0.262
"Ortiz, Carlos",150,+36264,+33467,-0.077
"Hughes, Mackenzie",150,+36264,+30265,-0.165
"Wiesberger, Bernd",150,+36597,+23453,-0.358
"Molinari, Francesco",150,+36937,+32353,-0.124
"Lahiri, Anirban",150,+39900,+24737,-0.379
"Streelman, Kevin",150,+40304,+36948,-0.083
"Knox, Russell",150,+40304,+24117,-0.401
"Dahmen, Joel",150,+41137,+21197,-0.484
"Larrazabal, Pablo",150,+41567,+34397,-0.172
"Glover, Lucas",150,+46959,+39676,-0.155
"Kisner, Kevin",150,+48680,+32121,-0.339
"Stallings, Scott",150,+49283,+29333,-0.404
"Poulter, Ian",150,+50533,+27407,-0.457
"Hoshino, Rikuya",150,+51182,+56469,0.103
"Kizzire, Patton",150,+51848,+28458,-0.450
