"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"30","Cameron Young",22549489,7600,69.9,0.0109,0.0143,20,0.0034,0.3119,52.29,25.4,75,23,0.6845,0.2415,0.1263,0.0648,0.0122,1.88,1,0.67,4.94,30,0
"31","Keegan Bradley",22549490,7500,70.96,0.0088,0.0117,25,0.0029,0.3295,53.98,8.2,76,23.5,0.6805,0.2404,0.1256,0.0646,0.0129,1.56,1,0.43,4.51,13,0
"32","Jason Day",22549491,7500,62.68,0.0111,0.0087,33,-0.0024,-0.2162,49.09,2.5,71.5,22.5,0.6047,0.1605,0.0758,0.0344,0.0059,1.16,1,0.03,2.57,5,0
"33","Talor Gooch",22549492,7400,80.06,0.0144,0.0082,38,-0.0062,-0.4306,50.87,9.3,73.5,23,0.6429,0.1942,0.0978,0.0464,0.0086,1.11,1,0.05,2.2,12,0
"34","Billy Horschel",22549493,7400,79.95,0.0099,0.0091,32,-8e-04,-0.0808,48.62,7.1,71.5,22.5,0.6599,0.2092,0.1035,0.051,0.0087,1.23,1,0.17,3.12,10,0
"35","Matthew Wolff",22549495,7300,58.42,0.0069,0.0024,100,-0.0045,-0.6522,30.22,0.74,54.5,17.5,0.4219,0.0501,0.018,0.0072,7e-04,0.33,1,-0.66,0.1,1,0
"36","Gary Woodland",22549496,7300,57.13,0.0151,0.0064,46,-0.0087,-0.5762,49.7,10.6,73,23,0.6016,0.1511,0.0701,0.0329,0.0052,0.88,1,-0.11,1.59,12,0
"37","Bubba Watson",22549497,7300,49.17,0.0067,0.0051,60,-0.0016,-0.2388,44.6,1.6,68.08,21.5,0.5868,0.1453,0.0657,0.0301,0.0047,0.7,1,-0.29,1.84,3,0
"38","Jason Kokrak",22549498,7300,72.38,0.0087,0.0092,30,5e-04,0.0575,49.05,7.6,72,22.5,0.639,0.1934,0.0964,0.0486,0.0087,1.26,1,0.27,3.6,11,0
"39","Justin Rose",22549499,7200,66.25,0.0104,0.0055,56,-0.0049,-0.4712,47.37,2.2,70.5,22,0.5633,0.1305,0.0592,0.0272,0.0047,0.76,1,-0.16,1.66,4,0
"40","Patrick Reed",22549500,7200,62.26,0.0114,0.0048,64,-0.0066,-0.5789,41.32,2.7,65,20.5,0.5413,0.1052,0.0451,0.0189,0.0024,0.67,1,-0.25,1.2,4,0
"41","Sergio Garcia",22549501,7200,70.44,0.0114,0.0082,38,-0.0032,-0.2807,53.74,4.5,75.5,24,0.6644,0.207,0.1016,0.0495,0.0094,1.14,1,0.22,2.87,7,0
"42","Sepp Straka",22549502,7200,59.21,0.0055,0.005,62,-5e-04,-0.0909,42.98,1.2,67.5,21,0.6078,0.1565,0.0716,0.0327,0.005,0.69,1,-0.23,2.24,3,0
"43","Si Woo Kim",22549503,7200,67.53,0.0083,0.0077,40,-6e-04,-0.0723,48.88,4.2,71.5,22.5,0.6364,0.1789,0.0864,0.0422,0.0075,1.07,1,0.15,3.1,7,0
"44","Luke List",22549504,7200,57.39,0.0059,0.0049,63,-0.001,-0.1695,46.12,3.3,70,21.5,0.5885,0.1404,0.062,0.0276,0.0037,0.68,1,-0.24,2.1,5,0
"45","Russell Henley",22549505,7200,79.57,0.0067,0.0103,27,0.0036,0.5373,53.1,5.9,76,23,0.6815,0.2326,0.1196,0.0603,0.0114,1.43,1,0.51,5.08,11,0
"46","Thomas Pieters",22549506,7100,58.44,0.0056,0.0051,60,-5e-04,-0.0893,46.31,1.8,70.5,21.5,0.5816,0.1346,0.0632,0.0292,0.0043,0.72,1,-0.12,2.5,4,0
"47","Erik Van Rooyen",22549507,7100,65.81,0.0086,0.0074,43,-0.0012,-0.1395,45.35,1.5,69.5,21.5,0.6078,0.1608,0.075,0.0359,0.0066,1.04,1,0.2,3.03,5,0
