player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,DET,8,75.6,328,346,8.1,2.7,4,19,5.3,63.6,220,0,90,11.3,371,28,139,11,91.2,75.7,74.1,64.9,1,7,383,0,16.7,83.2,4.0,15,10,2,11,8,12,3.1,2393,6.9
Drew Brees,802,QB,NO,8,76.0,312,342,8.9,2.65,8,30,8.5,61.1,209,0,99,11.8,359,28,133,20,72.9,81.2,80.7,41.4,4,8,373,1,15.2,95.8,4.2,15,2,2,16,22,15,4.0,2549,7.5
Brandon Weeden,7028,QB,CLV,9,71.5,302,336,8.4,2.71,12,13,3.7,55.1,185,0,99,14.4,357,31,109,8,84.2,56.0,58.0,36.8,5,12,371,2,14.1,67.9,3.9,14,7,1,16,9,20,5.4,2088,6.2
Andrew Luck,7007,QB,IND,8,67.9,312,336,10.7,2.83,7,24,6.6,56.5,190,0,138,10.4,375,22,130,14,67.6,68.9,64.5,87.3,7,8,402,2,13.8,79.0,5.1,19,20,4,6,10,23,5.7,2404,7.2
Carson Palmer,1317,QB,OAK,8,70.5,315,330,8.7,2.56,4,17,4.9,60.9,201,0,113,9.5,348,21,106,23,72.8,66.1,66.5,49.7,6,8,368,2,12.4,85.6,4.0,14,4,1,4,13,15,4.1,2355,7.1
Aaron Rodgers,2241,QB,GB,9,80.1,311,327,8.1,2.74,3,29,8.1,67.0,219,0,97,12.0,375,30,133,12,76.5,83.2,82.4,63.2,3,5,409,2,29.9,107.4,7.7,29,19,2,8,25,8,2.0,2383,7.3
Tom Brady,698,QB,NE,8,76.6,304,320,9.0,2.48,3,23,6.8,65.3,209,0,82,10.3,336,24,131,19,84.0,91.2,90.7,51.8,0,3,357,2,17.1,100.6,4.2,14,2,1,12,16,8,2.2,2408,7.5
Tony Romo,1693,QB,DAL,8,74.0,311,318,9.6,2.76,2,20,6.0,66.4,211,0,99,8.3,336,19,120,9,72.4,71.7,71.3,58.3,0,13,352,3,14.1,82.2,4.2,14,4,1,4,10,16,4.5,2394,7.5
Eli Manning,1722,QB,NYG,9,70.5,302,318,9.9,2.59,4,27,8.0,61.0,194,0,91,8.9,331,19,116,21,83.7,78.9,79.6,36.8,4,9,353,1,8.8,85.5,2.4,8,5,0,8,12,12,3.4,2426,7.6
Michael Vick,773,QB,PHI,8,70.5,275,307,9.5,3.1,7,13,4.1,58.3,179,0,159,7.7,368,15,117,24,28.1,59.7,61.1,50.0,7,9,382,2,17.0,77.7,7.3,27,34,2,16,10,16,4.2,2095,6.8
Matt Ryan,4317,QB,ATL,8,78.0,286,299,8.2,2.73,3,22,6.9,68.9,206,0,102,7.6,331,17,132,2,83.6,88.9,89.6,45.9,1,6,354,1,17.6,103.0,5.4,18,14,0,9,17,11,3.1,2360,7.9
Ben Roethlisberger,1732,QB,PIT,8,78.1,274,298,7.7,2.69,6,20,6.5,67.1,200,0,100,6.5,321,14,115,25,70.2,84.6,84.4,54.7,5,4,332,3,17.0,101.1,5.3,17,6,5,8,16,9,2.7,2203,7.4
Peyton Manning,327,QB,DEN,8,80.4,280,292,8.2,2.5,4,23,7.4,69.5,203,0,63,9.8,305,22,118,10,86.1,85.2,85.5,44.2,1,6,325,1,15.9,108.6,3.3,10,3,1,6,20,12,3.7,2404,8.2
Andy Dalton,6187,QB,CIN,8,72.5,269,285,8.6,2.56,10,19,6.3,63.9,182,0,77,6.7,318,13,100,7,82.8,60.4,60.3,58.8,0,11,336,3,28.6,86.7,6.9,22,11,3,3,14,13,3.9,2130,7.5
Christian Ponder,6164,QB,MIN,9,73.2,265,284,6.3,2.79,2,15,5.0,64.1,182,0,95,6.2,331,12,104,18,71.2,55.5,53.1,65.2,4,8,350,0,24.2,82.0,6.9,23,24,0,13,10,17,4.9,1806,6.4
Joe Flacco,4332,QB,BLT,8,67.7,260,276,10.3,2.62,5,26,8.7,59.8,165,0,98,6.3,299,11,93,3,82.0,65.2,66.0,45.8,5,6,323,2,19.4,85.0,6.4,19,4,0,6,10,14,4.3,1990,7.2
Mark Sanchez,4928,QB,NYJ,8,64.5,251,272,9.7,2.67,9,17,5.9,52.9,144,1,91,11.1,292,18,91,22,27.7,55.4,56.9,32.4,6,8,314,2,19.8,72.8,6.2,18,2,1,5,10,15,4.8,1736,6.4
Philip Rivers,1725,QB,SD,8,75.4,248,263,7.9,2.71,0,17,6.1,66.5,175,0,98,6.4,286,12,97,27,80.6,68.1,69.6,44.5,3,10,302,5,20.4,86.5,7.0,20,3,1,11,12,12,4.0,1866,7.1
Robert Griffin III,7008,QB,WAS,9,79.6,245,261,8.0,3.01,3,9,3.2,65.5,171,0,104,12.3,312,24,107,32,33.9,85.3,85.9,65.7,5,3,329,2,19.2,93.8,6.4,20,31,2,6,8,5,1.5,1988,7.6
Ryan Fitzpatrick,2467,QB,BUF,8,71.0,245,256,7.4,2.56,6,9,3.5,61.7,158,0,70,9.2,282,16,93,4,52.7,52.2,50.5,61.3,0,9,286,0,17.1,85.6,4.3,12,14,1,4,15,17,5.9,1674,6.5
Josh Freeman,4940,QB,TB,8,68.7,227,253,9.9,2.78,9,24,9.0,55.7,141,0,87,9.6,275,15,92,30,61.4,67.9,68.7,57.6,5,5,290,5,13.8,95.1,4.4,12,10,1,11,16,9,3.1,2047,8.1
Sam Bradford,5526,QB,SL,8,72.0,232,249,8.8,2.66,3,14,5.3,61.4,153,0,98,8.4,281,14,87,26,67.8,69.9,72.2,48.8,7,7,295,5,23.5,82.4,8.2,23,9,3,4,8,9,3.1,1797,7.2
Matt Schaub,1811,QB,HST,8,77.0,230,249,8.0,2.67,4,16,6.2,63.9,159,0,84,10.2,260,18,100,13,79.2,84.4,85.4,34.0,2,4,271,2,11.9,96.8,3.8,10,1,0,13,12,4,1.5,1918,7.7
Blaine Gabbert,6162,QB,JAX,8,71.1,235,245,8.0,2.58,3,10,3.8,58.0,142,0,93,15.0,271,25,63,15,71.1,58.7,60.8,37.2,3,5,293,0,19.4,78.4,6.6,18,8,0,4,9,8,2.7,1429,5.8
Ryan Tannehill,7014,QB,MIA,8,72.9,221,241,8.1,2.57,6,16,6.3,58.9,142,0,76,11.8,261,19,75,17,70.3,70.3,74.1,30.8,4,6,276,1,19.7,78.2,5.7,15,5,0,10,5,5,1.8,1762,7.3
Jay Cutler,2956,QB,CHI,8,70.0,230,241,9.6,2.74,5,17,6.6,59.8,144,0,105,10.6,278,17,100,6,67.5,73.6,70.6,74.9,2,8,295,2,26.7,85.3,10.1,28,9,0,4,12,12,4.1,1774,7.4
Cam Newton,6153,QB,CAR,8,68.5,213,235,9.7,3.03,7,14,5.6,57.0,134,0,86,8.2,267,12,84,5,43.4,62.5,62.4,59.1,4,8,283,1,19.8,77.7,6.4,17,15,1,10,6,13,4.6,1902,8.1
Matt Cassel,2447,QB,KC,7,74.9,211,235,8.7,2.76,5,5,2.0,60.4,142,0,75,10.1,265,16,92,16,37.2,57.4,59.9,43.6,5,11,279,4,21.3,68.9,6.0,16,14,5,9,6,8,2.9,1549,6.6
Russell Wilson,7077,QB,SEA,9,75.7,214,234,9.9,3.12,5,19,7.7,62.0,145,0,104,10.5,274,17,88,29,81.4,77.6,79.1,59.5,0,8,295,5,14.4,87.2,5.5,15,25,0,15,13,5,1.7,1639,7.0
Matt Hasselbeck,408,QB,TEN,7,72.7,209,220,8.1,2.5,4,12,5.2,62.7,138,0,59,9.2,240,14,75,31,46.1,65.6,66.8,43.6,0,5,251,3,23.7,81.4,5.8,14,6,0,7,7,9,3.6,1367,6.2
Alex Smith,2218,QB,SF,8,80.9,194,209,7.9,2.9,4,8,3.7,69.4,145,0,65,7.6,244,12,89,28,82.6,69.2,67.7,66.9,2,5,255,4,33.8,102.1,9.0,22,13,0,9,12,4,1.6,1659,7.9
Kevin Kolb,3652,QB,ARZ,6,69.6,171,183,7.9,2.84,4,10,5.2,59.6,109,0,92,8.4,217,10,67,1,75.5,68.1,65.7,75.1,1,3,229,2,29.3,86.1,12.4,27,7,0,7,8,7,3.1,1169,6.4
John Skelton,5678,QB,ARZ,5,67.9,159,172,8.1,2.62,4,5,2.8,55.8,96,0,69,11.1,188,12,53,1,71.0,47.7,49.2,54.6,4,5,195,2,20.3,65.8,7.4,14,2,1,4,2,7,3.6,1052,6.1
Jake Locker,6160,QB,TEN,4,78.8,99,106,7.7,2.71,2,5,4.6,63.2,67,0,33,14.1,115,11,33,31,34.1,71.6,71.6,61.4,3,2,118,1,9.1,90.2,2.6,3,6,0,2,4,3,2.5,781,7.4
Brady Quinn,3638,QB,KC,3,70.0,40,44,6.6,2.69,1,1,2.2,59.1,26,0,15,7.1,49,2,11,16,31.7,48.1,43.2,74.7,1,3,50,0,6.7,43.1,2.0,1,4,0,2,0,3,6.0,213,4.8
Chad Henne,4371,QB,JAX,2,63.2,19,22,4.5,2.51,1,0,0.0,50.0,11,0,12,8.3,27,1,3,15,26.7,35.7,48.1,28.9,1,0,29,0,25.0,61.6,11.1,3,2,0,1,0,1,3.4,94,4.3
Matt Moore,4018,QB,MIA,1,70.6,17,19,13.1,2.62,1,2,10.0,57.9,11,0,4,8.3,20,1,7,17,76.7,76.6,83.7,50.1,0,0,21,1,25.0,96.6,5.0,1,0,0,1,1,0,0.0,131,6.9
Shaun Hill,1255,QB,DET,1,91.7,12,13,11.3,2.28,0,1,7.1,76.9,10,0,1,9.1,13,1,8,11,73.7,74.9,76.2,57.3,0,0,14,0,0.0,157.9,0.0,0,0,1,0,2,1,7.1,172,13.2
Kyle Orton,2323,QB,DAL,1,100.0,10,10,6.0,2.76,0,0,0.0,90.0,9,0,1,10.0,10,1,6,9,71.9,61.9,61.6,,0,0,11,0,0.0,137.1,0.0,0,0,0,0,1,0,0.0,89,8.9
