player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Brees,802,QB,NO,4,73.7,171,191,8.6,2.66,5,16,8.0,57.6,110,0,59,12.7,200,16,71,20,90.1,73.4,72.8,48.9,1,5,210,1,15.3,86.1,4.5,9,0,1,13,10,8,3.8,1350,7.1
Matthew Stafford,4924,QB,DET,4,78.8,165,173,7.4,2.64,2,9,5.0,65.9,114,0,36,12.3,187,16,67,11,89.9,72.0,70.0,67.2,0,4,193,0,25.0,81.6,4.8,9,5,2,4,3,6,3.1,1182,6.8
Brandon Weeden,7028,QB,CLV,4,68.6,156,167,8.6,2.65,2,8,4.7,53.9,90,0,58,15.9,178,17,54,8,69.9,54.4,56.9,29.2,4,7,184,1,15.5,60.4,5.1,9,2,1,4,3,11,6.0,997,6.0
Carson Palmer,1317,QB,OAK,4,68.8,157,162,8.7,2.67,1,7,4.1,61.1,99,0,62,8.3,171,9,55,23,89.3,69.1,68.8,57.6,2,2,180,1,11.3,86.0,4.1,7,2,0,2,5,3,1.7,1081,6.7
Matt Cassel,2447,QB,KC,4,71.9,146,161,9.2,2.79,3,3,1.8,58.4,94,0,47,10.5,177,11,60,16,70.4,58.8,58.3,60.8,2,7,186,3,27.7,70.4,7.3,13,3,4,6,5,6,3.2,1058,6.6
Eli Manning,1722,QB,NYG,4,73.9,153,160,9.7,2.58,2,16,9.4,64.4,103,0,44,8.8,166,10,63,21,69.9,84.4,85.2,33.8,1,4,177,0,9.1,94.3,2.4,4,2,0,4,7,7,4.0,1320,8.3
Aaron Rodgers,2241,QB,GB,4,81.3,150,156,7.3,2.83,1,12,6.9,69.9,109,0,52,10.7,180,13,63,12,90.0,75.6,72.9,73.4,1,3,198,1,30.8,95.7,8.9,16,8,0,4,7,4,2.0,1064,6.8
Joe Flacco,4332,QB,BLT,4,67.3,150,156,11.3,2.75,1,19,11.0,63.5,99,0,54,2.0,168,2,59,3,89.6,69.5,70.0,43.6,2,3,186,1,16.7,95.8,5.4,9,3,0,3,7,9,4.8,1269,8.1
Michael Vick,773,QB,PHI,4,69.1,136,155,10.3,3.3,4,9,5.6,56.8,88,0,82,6.4,180,6,60,24,36.0,64.6,64.3,58.3,4,6,187,1,13.4,72.7,6.1,11,14,0,11,4,9,4.8,1146,7.4
Tom Brady,698,QB,NE,4,77.6,147,154,9.3,2.51,2,12,7.5,65.6,101,0,42,11.4,164,13,63,19,89.1,93.0,92.3,57.7,0,1,171,0,19.0,102.4,4.9,8,2,1,4,7,2,1.2,1227,8.0
Peyton Manning,327,QB,DEN,4,77.6,147,153,8.2,2.5,2,12,7.2,64.7,99,0,39,13.2,162,15,54,10,89.3,71.6,71.5,53.5,1,3,175,1,20.5,96.9,4.9,8,1,1,2,8,10,5.7,1162,7.6
Tony Romo,1693,QB,DAL,4,74.5,149,151,9.9,2.75,1,9,5.8,66.9,101,0,56,9.0,161,10,57,9,49.5,67.1,69.1,49.8,0,8,164,2,14.3,78.5,5.0,8,2,0,1,5,10,6.1,1148,7.6
Matt Ryan,4317,QB,ATL,4,80.0,140,147,8.5,2.71,2,12,7.8,69.4,102,0,54,8.9,166,10,67,2,89.1,91.8,92.1,47.9,1,2,174,1,20.4,112.1,6.6,11,8,0,4,11,6,3.4,1162,7.9
Ryan Tannehill,7014,QB,MIA,4,71.5,130,143,9.1,2.61,4,9,6.0,55.9,80,0,48,14.0,153,13,44,17,54.5,65.2,67.8,39.6,2,6,161,1,14.6,66.4,4.6,7,3,0,7,2,5,3.1,1046,7.3
Mark Sanchez,4928,QB,NYJ,4,58.3,120,128,10.2,2.68,1,7,5.0,49.2,63,0,48,10.0,135,7,41,22,28.2,55.5,57.0,35.2,2,4,150,0,12.5,69.6,4.4,6,1,1,4,5,9,6.0,813,6.4
Philip Rivers,1725,QB,SD,4,75.8,120,126,7.6,2.73,0,8,5.9,69.0,87,0,54,4.4,138,4,46,27,65.9,67.3,69.2,43.7,2,4,147,1,16.7,91.9,6.5,9,3,0,4,6,6,4.1,897,7.1
Andy Dalton,6187,QB,CIN,4,75.2,121,126,9.2,2.58,4,12,9.0,67.5,85,0,35,6.6,142,6,48,7,67.1,63.6,64.4,51.9,0,4,149,1,34.3,103.0,8.5,12,4,0,1,8,5,3.4,1111,8.8
