player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Michael Vick,773,QB,PHI,3,144,52.8,36,47,10.4,3.26,2,1,2.0,38.3,18,31,5.3,54,37.5,1,15,35.6,52.3,78.5,51.2,,66.4,2,0,58,19.4,63.9,11.1,6,1,0,7,0,2,3.4,337,7.2,0,24,29.1,55.3,58.0,45.7,74.0,73,78,10.5,3.4,1,5,6.2,65.4,51,33,5.6,90,62.5,3,31,52.3,63.8,80.3,63.0,,62.1,2,6,93,9.1,67.7,3.3,3,9,0,2,3,7,7.5,568,7.3,75.0,72,74,10.2,3.02,2,6,7.8,68.9,51,0,5.6,80,55.6,3,33,83.7,82.9,79.9,79.2,,74.0,0,2,84,,96.4,0.0,0,6,0,0,3,3,3.6,615,8.3,1,51.4,37,51,10.9,3.76,1,0,0.0,35.3,18,64,5.3,64,44.4,1,13,25.1,29.2,79.0,30.5,,50.5,4,4,67,14.1,22.5,14.1,9,4,0,9,0,6,9.0,290,5.7
Drew Brees,802,QB,NO,3,144,63.4,41,43,11.0,2.71,0,2,4.3,53.5,23,21,11.5,46,31.9,3,16,80.3,53.3,77.9,53.6,,,1,1,49,14.3,65.6,6.5,3,0,0,1,0,4,8.2,295,6.9,0,20,88.1,68.4,68.4,48.9,78.2,78,94,8.1,2.74,5,10,10.1,55.3,52,32,14.8,98,68.1,9,32,85.1,77.3,80.6,75.7,,,0,4,103,12.5,82.3,4.1,4,0,1,10,7,3,2.9,609,6.5,79.8,84,91,8.4,2.26,3,7,7.3,64.8,59,0,11.9,91,63.2,8,39,84.6,69.3,80.4,68.4,,,0,3,96,,95.5,0.0,0,0,1,3,6,6,6.3,680,7.5,1,57.1,35,46,10.7,3.54,2,5,10.2,34.8,16,53,20.0,53,36.8,4,9,81.0,65.7,78.4,65.0,,,1,2,56,13.2,40.5,13.2,7,0,0,8,1,1,1.8,224,4.9
Aaron Rodgers,2241,QB,GB,3,138,73.1,26,27,8.8,2.42,0,2,6.7,70.4,19,10,0.0,31,22.5,0,11,78.1,63.6,76.6,62.2,,62.6,1,1,34,30.0,82.9,9.7,3,1,0,0,1,1,2.9,164,6.1,0,12,88.2,72.9,69.1,81.8,83.1,83,88,6.6,2.96,1,7,7.1,67.0,59,35,14.5,107,77.5,10,30,86.1,75.3,81.2,70.3,,85.7,0,1,118,37.1,88.3,12.1,13,6,0,4,2,2,1.7,581,6.6,80.0,90,91,6.8,2.26,1,4,4.0,70.3,64,0,11.1,93,67.4,8,33,85.1,70.1,80.6,67.6,,73.1,0,2,103,,88.0,0.0,0,2,0,0,3,3,2.9,556,6.1,1,84.2,19,24,8.7,4.03,0,5,17.9,58.3,14,45,12.5,45,32.6,2,8,80.3,75.3,77.9,68.3,,80.7,1,0,49,35.6,83.5,35.6,16,5,0,4,0,0,0.0,189,7.9
Andrew Luck,7007,QB,IND,3,137,70.4,27,31,9.6,2.69,1,2,5.6,54.8,17,16,10.5,36,26.3,2,15,79.3,66.1,77.3,57.8,,87.8,1,1,42,12.5,98.3,5.6,2,3,0,2,3,3,7.1,236,7.6,0,14,65.2,63.0,55.8,91.2,64.3,84,91,10.6,2.86,1,5,5.3,52.7,48,28,11.1,101,73.7,6,33,56.5,60.2,80.7,55.7,,83.4,2,3,105,10.7,67.6,3.0,3,7,4,0,2,6,5.7,610,6.7,66.3,86,92,10.2,2.4,2,4,4.3,56.5,52,0,8.8,93,67.9,5,32,84.6,56.8,80.3,56.2,,63.3,0,4,95,,74.9,0.0,0,1,4,0,4,7,7.4,648,7.0,0,64.0,25,30,11.1,3.7,0,3,8.3,43.3,13,44,18.8,44,32.1,3,16,33.2,71.0,78.1,56.8,,91.1,3,0,52,11.4,76.8,11.4,5,9,0,2,1,2,3.8,198,6.6
Carson Palmer,1317,QB,OAK,3,134,73.9,46,47,7.4,2.37,0,3,5.8,68.1,32,18,5.9,50,37.3,2,21,81.0,80.8,78.3,80.3,,55.7,0,1,55,11.1,104.9,4.0,2,1,0,1,3,0,0.0,380,8.1,0,23,87.6,72.0,71.7,57.6,68.4,79,81,8.6,2.83,1,3,3.6,59.3,48,25,11.1,84,62.7,6,25,84.0,63.8,80.0,62.1,,65.9,0,1,87,8.0,80.2,2.4,2,1,0,1,2,2,2.3,499,6.2,73.0,89,90,8.7,2.53,0,2,2.1,65.6,59,0,9.2,91,67.9,6,35,84.6,76.8,80.3,74.2,,65.9,0,2,95,,92.8,0.0,0,1,0,1,4,1,1.1,659,7.3,1,63.9,36,38,7.0,2.94,1,4,9.5,55.3,21,43,8.7,43,32.1,2,11,80.0,61.0,77.7,62.1,,55.7,0,0,47,9.3,81.0,9.3,4,1,0,1,1,1,2.1,220,5.8
Matt Cassel,2447,QB,KC,3,133,75.0,20,22,10.2,2.88,0,1,4.3,59.1,13,10,13.3,26,19.5,2,9,76.6,59.1,75.8,59.1,,,1,1,27,40.0,64.0,15.4,4,0,0,1,0,1,3.7,167,7.6,0,16,63.4,60.3,59.9,60.8,69.7,89,97,10.0,2.89,2,2,2.0,58.8,57,24,8.1,107,80.5,5,36,56.6,61.1,2.1,60.3,,71.4,0,3,109,29.2,76.0,6.5,7,3,2,4,3,4,3.7,640,6.6,73.4,94,98,9.5,2.55,1,2,2.0,63.3,62,0,10.1,99,74.4,7,40,85.0,71.6,80.6,69.9,,63.9,0,3,101,,82.0,0.0,0,1,2,1,3,2,2.0,700,7.1,2,53.3,15,21,13.3,3.87,1,1,4.5,38.1,8,34,0.0,34,25.6,0,5,26.7,32.0,0.0,33.0,,66.5,1,1,35,32.4,35.2,32.4,11,2,0,4,0,3,8.6,107,5.1
Ben Roethlisberger,1732,QB,PIT,3,131,76.7,43,47,8.8,2.84,1,5,10.0,63.8,30,23,9.1,51,38.9,3,17,80.9,76.1,78.3,74.6,,,1,1,54,17.4,102.2,7.8,4,0,0,2,3,3,5.6,389,8.3,0,25,87.2,77.6,76.9,66.0,75.4,69,73,8.2,2.64,0,4,5.3,71.2,52,17,0.0,80,61.1,0,29,83.7,75.6,0.0,73.9,,70.7,0,0,83,29.4,113.7,6.3,5,2,3,1,5,2,2.4,515,7.1,76.7,86,89,7.4,2.3,0,4,4.3,70.8,63,0,4.5,91,69.5,3,35,84.6,71.2,80.4,68.0,,78.3,0,1,96,,113.0,1.1,1,1,3,0,7,4,4.2,650,7.3,3,73.1,26,31,12.0,3.68,1,5,15.6,61.3,19,40,0.0,40,30.5,0,11,79.2,85.5,0.0,87.3,,55.3,1,0,41,20.0,98.1,20.0,8,1,0,3,1,1,2.4,254,8.2
Matthew Stafford,4924,QB,DET,3,128,81.0,21,22,6.9,2.1,1,1,4.5,59.1,13,3,23.5,22,17.2,4,10,75.6,65.9,75.0,65.2,,,0,1,22,0.0,56.8,0.0,0,0,0,0,0,1,4.5,129,5.9,0,11,87.1,70.7,69.1,63.3,77.6,98,100,6.8,2.52,0,7,6.7,71.0,71,16,6.6,106,82.8,5,40,85.6,70.2,80.9,68.8,,64.2,0,3,110,25.0,89.3,3.8,4,2,1,1,3,5,4.5,734,7.3,80.0,105,108,6.7,2.31,1,8,7.3,70.4,76,0,9.5,109,85.2,8,43,85.7,71.9,80.9,70.1,,64.4,0,4,111,,81.3,0.0,0,1,1,1,2,5,4.5,774,7.2,0,64.3,14,14,7.9,3.27,0,0,0.0,57.1,8,19,11.1,19,14.8,1,7,75.4,59.5,74.9,60.5,,58.3,0,0,21,21.1,100.0,21.1,4,1,0,0,1,1,4.8,89,6.4
Tom Brady,698,QB,NE,3,126,76.9,26,26,8.8,2.2,0,2,6.9,65.4,17,7,15.0,28,22.2,3,10,77.6,84.8,76.3,82.6,,,0,0,31,28.6,100.3,7.1,2,0,0,0,1,1,3.2,193,7.4,0,19,87.3,91.3,91.0,52.1,77.5,89,92,8.9,2.52,0,5,5.2,67.4,62,24,10.1,98,77.8,7,38,85.1,91.6,80.6,90.3,,65.6,0,1,102,20.8,96.0,5.1,5,1,1,2,3,0,0.0,694,7.5,79.8,94,95,8.5,2.19,0,4,4.0,70.5,67,0,10.7,95,75.4,8,40,85.0,91.2,80.6,90.2,,,0,1,101,,99.2,0.0,0,0,1,0,3,1,1.0,734,7.7,0,66.7,21,23,10.4,3.21,0,3,12.5,52.2,12,31,14.3,31,24.6,2,8,77.7,87.7,76.4,83.2,,65.6,0,0,32,22.6,87.8,22.6,7,1,0,2,1,0,0.0,153,6.7
Brandon Weeden,7028,QB,CLV,3,125,63.2,19,20,8.2,2.58,0,1,4.8,55.0,11,10,8.3,21,16.8,1,8,75.6,55.4,75.0,55.7,,,0,1,22,10.0,71.7,4.8,1,0,0,1,1,2,9.1,134,6.7,0,8,61.9,50.5,54.1,29.2,70.0,90,95,7.6,2.67,2,3,3.0,56.8,54,28,14.3,104,83.2,9,28,85.4,53.8,80.9,54.6,,54.6,1,5,109,25.0,58.4,6.7,7,2,0,2,2,7,6.4,543,5.7,71.4,84,86,7.0,2.48,2,1,1.1,60.5,52,0,13.3,87,69.6,8,28,84.1,59.4,80.1,59.6,,58.3,0,3,89,,65.7,0.0,0,1,0,0,1,5,5.6,494,5.7,0,60.0,25,29,10.4,3.04,0,3,9.4,44.8,13,38,13.3,38,30.4,2,8,79.0,44.9,77.3,46.3,,58.3,1,3,42,21.1,49.1,21.1,8,1,0,3,2,4,9.5,183,6.3
