"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"55","Cameron Champ",22890865,6800,54,0.0039,0.0041,66,0.000200000000000001,0.0513,45.79,1.1,72.5,23,0.5253,0.0058,0.1669,0.0999,0.0424,0.0172,0.0091,0.0024,100,0.6,-0.14,2.38,3,0.0189,25,"2022-06-05","Memorial Tournament"
"56","Kevin Streelman",22890866,6800,52.72,0.0068,0.0061,46,-0.000699999999999999,-0.1029,56.71,7.2,80,25.5,0.6335,0.0067,0.2657,0.1691,0.0772,0.0332,0.018,0.0053,100,0.9,0.16,0.65,8,0.0404,23.5,"2022-06-05","Memorial Tournament"
"57","Adam Hadwin",22890867,6800,65.24,0.0062,0.0056,50,-6e-04,-0.0968,55.16,5.9,79,25.5,0.6375,0.0102,0.2795,0.1806,0.0836,0.0384,0.0211,0.0069,18,0.82,0.08,0.83,7,0.0543,85.5,"2022-06-05","Memorial Tournament"
"58","Patrick Rodgers",22890868,6800,57.56,0.0044,0.0053,56,9e-04,0.2045,53.24,3.6,77.58,24.5,0.5676,0.0063,0.1951,0.1146,0.047,0.0195,0.01,0.0023,100,0.78,0.04,3.89,7,0.0364,14.5,"2022-06-05","Memorial Tournament"
"59","Doug Ghim",22890869,6800,52.42,0.0044,0.0046,62,2e-04,0.0455,52.19,1.6,76,24.5,0.6218,0.0063,0.2554,0.1625,0.0736,0.0323,0.0177,0.0051,60,0.68,-0.06,2.4,4,0.0058,50,"2022-06-05","Memorial Tournament"
"60","David Lipsky",22890870,6700,55.12,0.006,0.0053,56,-7e-04,-0.1167,54.49,0.95,78,25.5,0.5871,0.0064,0.2243,0.1399,0.0602,0.0266,0.0146,0.0039,37,0.79,0.1,0.64,2,0.0111,62.5,"2022-06-05","Memorial Tournament"
"61","Jhonattan Vegas",22890871,6700,66.62,0.0099,0.0087,35,-0.0012,-0.1212,57.28,4.6,80,26,0.6152,0.0077,0.2443,0.1524,0.067,0.0286,0.0153,0.004,37,1.3,0.61,-0.28,4,0.0478,60.5,"2022-06-05","Memorial Tournament"
"62","Mackenzie Hughes",22890872,6700,56.09,0.0034,0.0031,78,-3e-04,-0.0882,45.26,0.52,71.5,22.5,0.56,0.0043,0.1889,0.1104,0.0472,0.0196,0.0101,0.0028,37,0.46,-0.23,1.38,2,0.0105,57.5,"2022-06-05","Memorial Tournament"
"63","Matt Jones",22890873,6700,57.08,0.0066,0.0059,48,-7e-04,-0.1061,55.37,2.4,79,25.5,0.5982,0.0073,0.2362,0.1455,0.061,0.0267,0.0155,0.004,100,0.88,0.19,0.65,3,0.0145,22,"2022-06-05","Memorial Tournament"
"64","Adam Long",22890874,6700,57.98,0.0051,0.0046,62,-5e-04,-0.098,48.83,3.2,74.5,23.5,0.6311,0.0079,0.2745,0.1777,0.0834,0.0394,0.0226,0.0063,100,0.69,0,1.02,4,0.0241,20.5,"2022-06-05","Memorial Tournament"
"65","Chad Ramey",22890875,6600,56.67,0.003,0.0027,82,-3e-04,-0.1,45.93,0.68,72.5,23,0.5602,0.0047,0.1927,0.1134,0.0464,0.019,0.0102,0.0032,NA,0.41,-0.22,1.39,2,0.0061,9,"2022-06-05","Memorial Tournament"
"66","Francesco Molinari",22890876,6600,54.31,0.0044,0.0039,68,-5e-04,-0.1136,49.43,0.71,74.5,23.5,0.5414,0.0062,0.1843,0.1095,0.0454,0.0185,0.01,0.0026,26,0.59,-0.04,1.02,2,0.0088,67.5,"2022-06-05","Memorial Tournament"
