datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Dahmen, Joel","Joel Dahmen",150,22890860,6900,28.628,N/A,0,52.2,2,0,54.2,0,100,5,
"Palmer, Ryan","Ryan Palmer",150,22890862,6900,29.127,N/A,0,52.8,2,0,54.8,0.06,100,5,
"Ghim, Doug","Doug Ghim",150,22890869,6800,28.738,N/A,0,54.1,2.3,0,56.3,0.27,100,5,
"Champ, Cameron","Cameron Champ",150,22890865,6800,28.053,N/A,0,49.2,1.6,0,50.7,-0.13,100,5,
"Rodgers, Patrick","Patrick Rodgers",150,22890868,6800,28.165,N/A,0,50.6,1.8,0,52.4,-0.06,100,5,
"Hadwin, Adam","Adam Hadwin",150,22890867,6800,29.679,N/A,0,56.3,2.6,0,58.9,0.54,100,5,
"Streelman, Kevin","Kevin Streelman",150,22890866,6800,29.500,N/A,0,55.8,2.5,0,58.4,0.48,100,5,
"Long, Adam","Adam Long",150,22890874,6700,29.693,N/A,0,55.6,2.4,0,58.1,0.51,100,5,
"Vegas, Jhonattan","Jhonattan Vegas",150,22890871,6700,28.752,N/A,0,53.8,2.2,0,56,0.3,100,5,
"Hughes, Mackenzie","Mackenzie Hughes",150,22890872,6700,28.280,N/A,0,50.7,1.8,0,52.5,-0.03,100,5,
"Lipsky, David","David Lipsky",150,22890870,6700,29.016,N/A,0,53.1,2.1,0,55.2,0.21,100,5,
"Jones, Matt","Matt Jones",150,22890873,6700,28.937,N/A,0,53.5,2.2,0,55.6,0.25,100,5,
"Molinari, Francesco","Francesco Molinari",150,22890876,6600,28.235,N/A,0,50.2,1.7,0,51.9,-0.03,100,5,
"Ramey, Chad","Chad Ramey",150,22890875,6600,27.947,N/A,0,50.9,1.7,0,52.6,0,100,5,
"Perez, Pat","Pat Perez",150,22890877,6600,28.041,N/A,0,51.8,1.9,0,53.7,0.12,100,5,
"Van Rooyen, Erik","Erik Van Rooyen",150,22890879,6600,29.617,N/A,0,56.1,2.5,0,58.6,0.62,100,5,
"Steele, Brendan","Brendan Steele",150,22890878,6600,29.585,N/A,0,55.1,2.4,0,57.5,0.51,100,5,
"Swafford, Hudson","Hudson Swafford",150,22890882,6500,27.304,N/A,0,47.3,1.3,0,48.7,-0.14,100,5,
"Lee, Min Woo","Min Woo Lee",150,22890880,6500,27.782,N/A,0,48.9,1.5,0,50.4,-0.07,100,5,
"Glover, Lucas","Lucas Glover",150,22890885,6500,29.453,N/A,0,54.8,2.4,0,57.2,0.53,100,5,
"Theegala, Sahith","Sahith Theegala",150,22890883,6500,27.993,N/A,0,50,1.6,0,51.6,-0.02,100,5,
"Wolff, Matthew","Matthew Wolff",150,22890884,6500,24.031,N/A,0,39.6,0.7,0,40.3,-0.5,100,5,
"Moore, Taylor","Taylor Moore",150,22890881,6500,27.774,N/A,0,49.7,1.7,0,51.4,-0.03,100,5,
"Cabrera Bello, Rafa","Rafa Cabrera Bello",150,22890888,6400,24.717,N/A,0,41,0.8,0,41.8,-0.41,100,5,
"Smalley, Alex","Alex Smalley",150,22890887,6400,29.095,N/A,0,53.3,2.1,0,55.4,0.4,100,5,
"Poston, J.T.","J.T. Poston",150,22890890,6400,28.363,N/A,0,51.1,1.8,0,52.8,0.14,100,5,
"NeSmith, Matthew","Matthew NeSmith",150,22890891,6400,29.296,N/A,0,54.9,2.4,0,57.3,0.6,100,5,
"Howell III, Charles","Charles Howell III",150,22890889,6400,28.813,N/A,0,52.6,2.1,0,54.7,0.33,100,5,
"Kizzire, Patton","Patton Kizzire",150,22890886,6400,28.076,N/A,0,50.4,1.7,0,52.1,0.06,100,5,
"Malnati, Peter","Peter Malnati",150,22890894,6300,27.602,N/A,0,48.4,1.5,0,49.9,-0.04,100,5,
"Ortiz, Carlos","Carlos Ortiz",150,22890895,6300,27.077,N/A,0,47.1,1.3,0,48.3,-0.11,100,5,
"Kitayama, Kurt","Kurt Kitayama",150,22890893,6300,27.348,N/A,0,47.8,1.4,0,49.2,-0.07,100,5,
"Higgo, Garrick","Garrick Higgo",150,22890897,6300,24.396,N/A,0,40.1,0.7,0,40.8,-0.43,100,5,
"Laird, Martin","Martin Laird",150,22890898,6300,27.604,N/A,0,49.5,1.7,0,51.1,0.02,100,5,
"Svensson, Adam","Adam Svensson",150,22890896,6300,27.978,N/A,0,49.3,1.5,0,50.9,0,100,5,
"Willett, Danny","Danny Willett",150,22890900,6200,27.687,N/A,0,49.1,1.6,0,50.6,0.02,100,5,
"Moore, Ryan","Ryan Moore",150,22890906,6200,28.303,N/A,0,49,1.7,0,50.6,0.03,100,5,
"Grillo, Emiliano","Emiliano Grillo",150,22890901,6200,28.036,N/A,0,49.4,1.6,0,51,0.06,100,5,
"Kim, Chan","Chan Kim",150,22890899,6200,24.335,N/A,0,40.3,0.7,0,41,-0.4,100,5,
"Putnam, Andrew","Andrew Putnam",150,22890907,6200,28.464,N/A,0,52.1,2,0,54,0.38,100,5,
"Lashley, Nate","Nate Lashley",150,22890905,6200,28.388,N/A,0,51,1.8,0,52.7,0.24,100,5,
"Hossler, Beau","Beau Hossler",150,22890902,6200,27.456,N/A,0,47.3,1.3,0,48.5,-0.08,100,5,
