"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1","Jon Rahm",22890808,11100,82.5,0.0887,0.0852,1,-0.0035,-0.0395,81.89,14.3,99,66,0.8563,0.5434,0.369,0.237,0.0725,7.68,1,0.91,7.11,21.7391304347826,0
"2","Rory McIlroy",22890809,10900,87.29,0.0692,0.0692,2,0,0,80.36,16.3,98.5,63,0.8267,0.4808,0.3125,0.1898,0.0524,6.35,1,0,6.9,23.4782608695652,0
"3","Patrick Cantlay",22890810,10700,81.06,0.0617,0.0588,3,-0.0029,-0.047,76.43,12.2,94,58.92,0.8296,0.4785,0.3106,0.1931,0.0545,5.5,1,-0.44,5.53,17.3913043478261,0
"4","Collin Morikawa",22890811,10400,81.93,0.0432,0.0428,7,-0.000400000000000005,-0.0093,67.5,9.7,87,29.5,0.7925,0.4082,0.2469,0.1422,0.0337,4.12,1,-1.25,4.11,13.9130434782609,0
"5","Xander Schauffele",22890812,10200,83.54,0.0391,0.0485,4,0.0094,0.2404,79.7,15.5,97.5,63,0.7988,0.4049,0.2445,0.1393,0.0328,4.75,1,-0.26,6.5,21.7391304347826,0
"6","Cameron Smith",22890813,9900,89.14,0.0474,0.0457,6,-0.0017,-0.0359,71.69,16.4,90.5,32.5,0.7877,0.3953,0.2381,0.1362,0.0349,4.62,1,0.13,5.84,22.6086956521739,0
"7","Jordan Spieth",22890814,9700,74.04,0.0363,0.0474,5,0.0111,0.3058,72,21.3,90.5,33,0.7531,0.33,0.1883,0.1015,0.0232,4.89,1,0.72,5.34,26.9565217391304,0
"8","Will Zalatoris",22890815,9400,68.82,0.0259,0.0272,12,0.0013,0.0502,69.95,19.4,89,30.5,0.7494,0.3145,0.1733,0.0904,0.0188,2.89,1,-0.81,3.81,23.4782608695652,0
"9","Viktor Hovland",22890816,9300,90.75,0.0344,0.0351,9,0.000699999999999999,0.0203,70.65,16.5,89.5,30.5,0.7748,0.369,0.2101,0.1149,0.0256,3.77,1,0.22,5.87,22.6086956521739,0
"10","Hideki Matsuyama",22890817,9200,87.23,0.0314,0.0311,10,-0.000299999999999998,-0.0096,65.57,15.8,86.58,28,0.7768,0.3717,0.2193,0.1239,0.0282,3.38,1,-0.02,5.04,20.8695652173913,0
"11","Shane Lowry",22890819,9000,72.71,0.0401,0.0384,8,-0.0017,-0.0424,75.12,20.4,92.5,59,0.8069,0.4274,0.2646,0.1543,0.0376,4.27,1,1.15,5.57,26.0869565217391,0
"12","Sungjae Im",22890820,8900,80.66,0.0314,0.0299,11,-0.0015,-0.0478,71.44,11.9,90,33,0.7802,0.3731,0.216,0.1199,0.0286,3.36,1,0.38,5.31,17.3913043478261,0
"13","Cameron Young",22890821,8800,70.94,0.022,0.0235,13,0.0015,0.0682,67.21,19.2,87.5,28.5,0.7275,0.295,0.1631,0.0861,0.0176,2.67,1,-0.17,4.06,23.4782608695652,0
