"","Name","ID","Salary","fpts","total_pts","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","residuals","proj_own","own_change","own"
"106","Brandon Wu",22890916,6100,45.95,34.79,0.0024,0.0023,-9.99999999999998e-05,-0.0417,89,0.1,0.5,0.48,0
"107","Sam Ryder",22890917,6000,47.23,34.79,0.0018,0.0017,-1e-04,-0.0556,98,0.09,0.36,0.68,0
"108","Ryan Brehm",22890918,6000,31.78,19.95,6e-04,6e-04,0,0,114,-0.09,0.09,-1.78,0
"109","John Pak",22890919,6000,31.81,19.95,6e-04,6e-04,0,0,114,-0.09,0.05,-2.23,0
"110","Camilo Villegas",22890920,6000,43.01,29.72,0.0016,0.0015,-1e-04,-0.0625,102,0.06,0.14,-0.36,0
"111","Luke Donald",22890921,6000,46.42,29.59,0.0018,0.0017,-1e-04,-0.0556,98,0.09,0.46,0.34,0
"112","Charley Hoffman",22890922,6000,50.72,29.5,0.0014,0.0013,-1e-04,-0.0714,104,0.03,0.77,0.7,0
"113","Bo Hoag",22890923,6000,45.2,16.4,0.001,9e-04,-1e-04,-0.1,110,-0.04,0.22,-0.2,0
"114","David Lingmerth",22890924,6000,40.28,31.92,0.0012,0.0011,-9.99999999999998e-05,-0.0833,106,-0.01,0.28,-0.53,0
"115","Robert Streb",22890925,6000,40.91,26.9,0.0018,0.0017,-1e-04,-0.0556,98,0.09,0.44,-0.47,0
"116","Curtis Luck",22890926,6000,32.54,11.41,6e-04,6e-04,0,0,114,-0.09,0.21,-1.19,0
"117","James Piot",22890927,6000,29.26,26.69,6e-04,6e-04,0,0,114,-0.09,0.02,-5.49,0
