"","Name","ID","Salary","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"1","Jon Rahm",22311713,11300,0.1776,0.1653,-0.0123,-0.0693,1,-12.2794751,0.25
"2","Tony Finau",22311714,10400,0.0425,0.044,0.00149999999999999,0.0353,2,11.5124609,0.35
"3","Abraham Ancer",22311715,10300,0.0438,0.0412,-0.0026,-0.0594,3,3.5077836,0.2
"4","Kevin Na",22311716,10100,0.0268,0.0224,-0.0044,-0.1642,11,-0.562883600000002,0
"5","Patrick Reed",22311717,10000,0.0232,0.0286,0.0054,0.2328,8,20.0744584,0.2
"6","Gary Woodland",22311718,9900,0.0417,0.0382,-0.0035,-0.0839,4,2.82289209999999,0.25
"7","Sebastian Munoz",22311719,9800,0.0299,0.0283,-0.0016,-0.0535,9,6.1011225,0.2
"8","Cameron Tringale",22311720,9700,0.027,0.0297,0.0027,0.1,6,15.125,0.25
"9","Chris Kirk",22311721,9600,0.0315,0.0295,-0.002,-0.0635,7,5.8828225,0.2
"10","Aaron Wise",22311722,9500,0.0323,0.0322,-0.000100000000000003,-0.0031,5,10.0775961,0.3
"11","Cameron Champ",22311723,9400,0.0216,0.0244,0.0028,0.1296,10,15.6254616,0.1
"12","Brendon Todd",22311724,9300,0.0117,0.009,-0.0027,-0.2308,38,3.9251864,0
"13","Russell Knox",22311725,9200,0.0181,0.0153,-0.0028,-0.1547,16,4.0843209,0
"14","Kevin Streelman",22311726,9100,0.0172,0.0142,-0.003,-0.1744,21,3.7941536,0
"15","Matt Jones",22311727,9000,0.0184,0.0168,-0.0016,-0.087,14,6.69569,0
"16","Doug Ghim",22311728,8900,0.0174,0.0158,-0.0016,-0.092,15,6.72714000000001,0
"17","Sahith Theegala",22311729,8800,0.0136,0.0152,0.0016,0.1176,17,13.2107976,0
"18","Aaron Rai",22311730,8700,0.0165,0.0145,-0.002,-0.1212,20,6.0268944,0
"19","Carlos Ortiz",22311731,8600,0.0138,0.0148,0.001,0.0725,18,12.0225625,0
"20","Davis Riley",22311732,8500,0.0172,0.0197,0.0025,0.1453,12,15.6761209,0.25
"21","Charles Howell III",22311733,8400,0.0186,0.0148,-0.0038,-0.2043,18,2.8998849,0
"22","Lanto Griffin",22311734,8300,0.0138,0.0139,9.99999999999994e-05,0.0072,22,10.2455184,0
"23","Taylor Moore",22311735,8200,0.0136,0.0119,-0.0017,-0.125,25,6.66625,0
"24","C.T. Pan",22311736,8100,0.0151,0.0133,-0.0018,-0.1192,23,6.6245864,0.05
"25","Mark Hubbard",22311737,8000,0.0166,0.0114,-0.0052,-0.3133,29,0.5365689,0
"26","Chad Ramey",22311738,7900,0.0101,0.0118,0.0017,0.1683,26,13.7132489,0
"27","Anirban Lahiri",22311739,7900,0.0112,0.0095,-0.0017,-0.1518,36,6.6429324,0
