"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"13","Russell Knox",22311725,9200,61.82,0.0181,0.0153,16,-0.0028,-0.1547,61.71,8.8,81,27,1.66,1,-0.74,4.0843209,15
"14","Kevin Streelman",22311726,9100,56.16,0.0172,0.0142,21,-0.003,-0.1744,66.11,6.5,84.5,28.5,1.56,1,-0.68,3.7941536,10
"15","Matt Jones",22311727,9000,61.03,0.0184,0.0168,14,-0.0016,-0.087,61.89,12.8,82,26.5,1.87,1,-0.24,6.69569,20
"16","Doug Ghim",22311728,8900,55.7,0.0174,0.0158,15,-0.0016,-0.092,59.89,5.5,80,26.43,1.78,1,-0.21,6.72714000000001,10
"17","Sahith Theegala",22311729,8800,64.39,0.0136,0.0152,17,0.0016,0.1176,57.67,8.1,79.5,26,1.73,1,-0.17,13.2107976,20
"18","Aaron Rai",22311730,8700,56.72,0.0165,0.0145,20,-0.002,-0.1212,58.1,7.3,79.5,26,1.67,1,-0.16,6.0268944,15
"19","Carlos Ortiz",22311731,8600,58.93,0.0138,0.0148,18,0.001,0.0725,55.82,9,78.5,25.43,1.72,1,-0.04,12.0225625,20
"20","Davis Riley",22311732,8500,59.06,0.0172,0.0197,12,0.0025,0.1453,54.69,10.4,78,24.5,2.32,1,0.62,15.6761209,25
"21","Charles Howell III",22311733,8400,58.96,0.0186,0.0148,18,-0.0038,-0.2043,64.56,5.4,83.5,28,1.76,1,0.11,2.8998849,10
"22","Lanto Griffin",22311734,8300,62.63,0.0138,0.0139,22,9.99999999999994e-05,0.0072,59.15,7.9,80.5,26,1.67,1,0.06,10.2455184,20
"23","Taylor Moore",22311735,8200,51.46,0.0136,0.0119,25,-0.0017,-0.125,53.73,4.4,77,25,1.45,1,-0.12,6.66625,10
"24","C.T. Pan",22311736,8100,62.83,0.0151,0.0133,23,-0.0018,-0.1192,59.45,8.1,80.5,26,1.64,1,0.11,6.6245864,15
"25","Mark Hubbard",22311737,8000,72.12,0.0166,0.0114,29,-0.0052,-0.3133,55.98,7,79,25,1.43,1,-0.06,0.5365689,10
"26","Chad Ramey",22311738,7900,59.94,0.0101,0.0118,26,0.0017,0.1683,48.17,9.2,73.5,23,1.49,1,0.04,13.7132489,25
