Jon Rahm,463,505
Tony Finau,2252,2172
Abraham Ancer,2185,2325
Aaron Wise,2999,3008
Gary Woodland,2300,2518
Chris Kirk,3077,3290
Sebastian Munoz,3239,3433
Kevin Na,3627,4368
Cameron Tringale,3605,3263
Charles Howell III,5267,6663
Adam Long,5429,5588
Russell Knox,5438,6438
Matt Jones,5326,5838
Patrick Reed,4202,3395
Doug Ghim,5656,6212
Kevin Streelman,5727,6964
Mark Hubbard,5924,8648
C.T. Pan,6512,7392
Lanto Griffin,7125,7069
Taylor Moore,7250,8302
Aaron Rai,5944,6786
Carlos Ortiz,7123,6652
J.T. Poston,8219,8381
Scott Stallings,8219,9930
Alex Smalley,8377,8985
Brendon Todd,8447,11007
Anirban Lahiri,8810,10455
Pat Perez,8810,11429
Andrew Putnam,9587,17173
Sahith Theegala,7253,6476
Greyson Sigg,9807,8740
Tyler Duncan,10150,11312
Vincent Whaley,10150,12542
Adam Svensson,9807,9456
Danny Lee,10651,8608
Cameron Champ,4524,3993
Kramer Hickok,11060,9970
Patrick Rodgers,9750,13469
Wyndham Clark,7238,8067
David Lipsky,11822,12461
Michael Thompson,12153,13346
Nick Taylor,12153,10414
Joseph Bramlett,12320,11107
Nate Lashley,12504,11873
Peter Malnati,12504,13742
Chase Seiffert,12685,13918
Chad Ramey,9836,8386
Roger Sloan,13069,19605
Robert Streb,13265,13754
Davis Riley,5702,4980
James Hahn,13466,14335
Ryan Armour,13466,15629
Lee Hodges,14856,11108
Hank Lebioda,15381,23381
Scott Piercy,15381,15237
Austin Smotherman,9478,12020
Andrew Novak,16544,19407
John Huh,16544,17700
Dylan Wu,16871,17886
Vaughn Taylor,16871,11670
Peter Uihlein,17203,16744
Brian Stuard,17912,14380
Adam Schenk,18677,16925
Kevin Tway,18677,15902
Luke Donald,18677,32406
Kevin Chappell,9993,14789
Rafa Cabrera Bello,19517,12923
Hayden Buckley,19961,18496
Brice Garnett,20430,19476
Callum Tarren,20430,12172
Trey Mullinax,21428,14588
Emiliano Grillo,13140,9468
Bill Haas,23129,21185
Nick Hardy,23129,42815
Scott Gutschewski,23752,21440
Justin Lower,24418,24418
Ben Kohles,25120,23752
Kiradech Aphibarnrat,16418,27620
Stephan Jaeger,26647,25574
Wesley Bryan,26647,14228
Brandon Wu,14939,13742
Seung-Yul Noh,30336,23993
Graeme McDowell,15241,27699
Jonathan Byrd,31425,23773
Richy Werenski,31425,15064
Scott Brown,31425,27764
Chez Reavie,33850,21830
Jared Wolfe,33850,24437
Bo Hoag,35204,24778
Ben Martin,38276,28590
David Skinns,40019,23283
Kurt Kitayama,15107,17523
Brandon Hagy,17409,22256
Max McGreevy,41930,30116
Paul Barjon,21659,21168
Seth Reeves,41930,31259
Matt Wallace,18786,22828
Camilo Villegas,48936,42146
Aaron Baddeley,51821,43716
Patrick Flavin,51821,31523
Michael Gligic,55064,101690
Satoshi Kodaira,29593,54737
Curtis Thompson,58739,35337
Turk Pettit,58739,30350
Austin Cook,62941,26358
Ben Griffin,21003,17239
David Lingmerth,62941,30906
Bryson Nimmer,67789,46258
Ryan Blaum,67789,76126
Jason Dufner,61074,58003
Martin Trainer,73446,31749
Roberto Diaz,27599,51056
Fabian Gomez,80130,27708
Joshua Creel,80130,147752
Bo Van Pelt,88152,105599
Brett Drewitt,88152,33481
Kelly Kraft,88152,42600
Sung Kang,23338,43193
Jim Knous,125945,35646
Greg Chalmers,146930,44131
Johnson Wagner,176296,37384
Robert Garrigus,35727,49417
Alvaro Ortiz,293632,122994
Ben Crane,293632,52655
David Hearn,293632,60541
Grayson Murray,293632,48039
Arjun Atwal,439991,49675
D.J. Trahan,439991,72997
Armando Favela,876909,40272
D.A. Points,876909,77307
Isidro Benitez,876909,28276
Jeffrey Kang,876909,52024
Jonas Blixt,876909,76669
Jose Antonio Safa,876909,1533259
Jose Cristobal Islas,876909,1533259
Manuel Inman,876909,1533259
Mark Hensby,43630,80619
Matt Every,876909,77844
Ricky Barnes,876909,1533259
Sangmoon Bae,876909,77067
Santiago De La Feunte,876909,1533259
Tommy Gainey,876909,35084
