"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"117","The American Express","Horschel, Billy",9700,0.0861,0,0,0,0,54,0,54,0.0271,0.0271,0,0,"Jan 19, 2020",0.7381,0.353525,0.2107,0.121775,0.0807,0.030975,11276,71.6666666666667,0.669,-0.233,-1.678,0.615,-1.296,-2.089,277.8,0.714,0.778,NA,39.91,34.546
"118","The American Express","List, Luke",6400,0.0056,3,0,0,0,51,0,54,NA,NA,NA,NA,"Jan 19, 2020",0.448725,0.1003,0.043875,0.019175,0.010475,0.003075,7960,70,-2.922,-0.007,0.96,0.342,1.295,-0.422333333333333,282.8,0.571,0.778,NA,25.854,22.177
"119","The American Express","Bramlett, Joseph",6100,0.0016,0,0,0,0,53.5,0,53.5,NA,NA,NA,NA,"Jan 19, 2020",0.368175,0.059875,0.02375,0.010125,0.00565,0.001675,14698,71.6666666666667,-0.003,-1.056,1.857,-2.798,-1.997,-2.16666666666667,276.2,0.429,0.778,NA,42.71,32.702
"120","The American Express","Noh, Seung-Yul",6300,0.0043,0,6,0,0,47.5,0,53.5,NA,NA,NA,NA,"Jan 19, 2020",0.202175,0.019125,0.006225,0.0019,7e-04,0.000225,11117,70.3333333333333,-0.169,1.014,-0.146,0.301,1.169,-0.833333333333333,295.1,0.5,0.667,NA,41.77,30.383
"121","The American Express","Hughes, Mackenzie",6300,9e-04,0,0,0,0,52.5,0,52.5,NA,NA,NA,NA,"Jan 19, 2020",0.373125,0.065,0.02695,0.011375,0.005875,0.0016,15556,70,-1.749,2.454,-0.557,-0.148,1.749,-0.5,284.4,0.571,0.611,NA,48.338,17.784
"122","The American Express","Taylor, Nick",7000,0.088,0,0,0,0,52,0,52,0.0091,0.0091,0,0,"Jan 19, 2020",0.6146,0.21255,0.111,0.0556,0.034175,0.011,13126,69.6666666666667,-0.642,-1.168,-2.207,0.017,-3.358,-0.166666666666667,285.6,0.571,0.5,NA,44.451,30.944
"123","The American Express","Stanley, Kyle",7000,0.0171,0,0,0,0,52,0,52,0.0091,0.0091,0,0,"Jan 19, 2020",0.568075,0.172775,0.0858,0.04095,0.02385,0.0073,12069,69.6666666666667,-0.248,0.562,-0.194,-1.12,-0.752,-0.166666666666667,268.1,0.571,0.667,NA,45.087,27.623
"124","The American Express","Howell III, Charles",10100,0.1063,0,0,0,0,52,0,52,0.0318,0.0318,0,0,"Jan 19, 2020",0.716575,0.311725,0.18095,0.100375,0.064525,0.023425,6892,70,0.253,0.578,-1.496,1.319,0.401,-0.328666666666667,285.8,0.786,0.667,NA,17.615,25.434
"125","The American Express","Ledesma, Nelson",6000,2e-04,0,0,0,0,50.5,0,50.5,NA,NA,NA,NA,"Jan 19, 2020",0.20575,0.02085,0.007075,0.0025,0.0011,0.000275,15239,70.3333333333333,1.558,0.156,-1.006,-0.054,-0.904,-0.662,287.7,0.429,0.833,NA,25.787,32.756
"126","The American Express","Hahn, James",6200,0.0031,0,0,0,0,50,0,50,NA,NA,NA,NA,"Jan 19, 2020",0.4414,0.096975,0.041575,0.017225,0.00855,0.00245,11374,71,-1.694,0.065,-0.651,0.934,0.348,-1.32866666666667,280.2,0.714,0.778,NA,33.471,26.212
