"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Jon Rahm",22311713,11300,81.44,0.1845,0.1718,1,-0.0127,-0.0688,96.12,36.8,134,72.5,0.895,0.0706,0.7789,0.6959,0.5428,0.402,0.3095,0.1629,1,15.2,3.35,-20.38,16,0.4041,129.5,"2022-05-01","Mexico Open"
"2","Tony Finau",22311714,10400,62.5,0.0413,0.0437,2,0.0024,0.0581,73.7,21.9,90.5,55.5,0.7517,0.0138,0.4992,0.3833,0.2283,0.1318,0.0847,0.0305,2,4.2,-1.99,8.22,30,0.1322,112,"2022-05-01","Mexico Open"
"3","Abraham Ancer",22311715,10300,66.85,0.0397,0.0375,4,-0.0022,-0.0554,67.66,17.1,86,30,0.7376,0.0136,0.4756,0.3609,0.2126,0.122,0.0791,0.0273,42,3.64,-2.07,-1.01,16,0.1235,74,"2022-05-01","Mexico Open"
"4","Kevin Na",22311716,10100,61.12,0.028,0.0242,8,-0.0038,-0.1357,54.97,7.2,78,24.93,0.6876,0.0103,0.3994,0.2926,0.1657,0.0891,0.0556,0.0187,42,2.4,-2.43,-4.26,2,0.0651,74,"2022-05-01","Mexico Open"
"5","Patrick Reed",22311717,10000,64.9,0.0242,0.0239,9,-0.000299999999999998,-0.0124,54.64,7.7,77,25,0.6622,0.0146,0.3531,0.2474,0.1309,0.0663,0.0389,0.0117,42,2.39,-2.04,2.79,10,0.0726,69,"2022-05-01","Mexico Open"
"6","Gary Woodland",22311718,9900,58.27,0.0431,0.0401,3,-0.003,-0.0696,67.72,21.2,86.08,29,0.7252,0.0122,0.4562,0.3428,0.1999,0.1106,0.0705,0.0249,24,4.05,-0.01,-1.98,20,0.1671,81,"2022-05-01","Mexico Open"
"7","Sebastian Munoz",22311719,9800,65.68,0.0312,0.0263,6,-0.0049,-0.1571,63.31,12.7,83.5,27.5,0.7285,0.0235,0.4672,0.3543,0.2121,0.1216,0.0786,0.0287,29,2.68,-1.04,-6.01,6,0.1246,76.5,"2022-05-01","Mexico Open"
"8","Cameron Tringale",22311720,9700,68.63,0.0277,0.0205,12,-0.0072,-0.2599,65,8.5,84.5,28,0.7156,0.0114,0.4367,0.323,0.1846,0.0998,0.0626,0.0219,33,2.11,-1.3,-10.52,0,0.1472,79.5,"2022-05-01","Mexico Open"
"9","Chris Kirk",22311721,9600,65.21,0.0328,0.0249,7,-0.0079,-0.2409,74.68,14.3,92,58,0.7366,0.0138,0.4789,0.3656,0.2176,0.1208,0.0778,0.0271,100,2.59,-0.54,-11.73,2,0.1008,33.5,"2022-05-01","Mexico Open"
"10","Aaron Wise",22311722,9500,65.85,0.0336,0.0308,5,-0.0028,-0.0833,66.2,19.7,86,28.5,0.7608,0.0259,0.5151,0.4018,0.2502,0.1488,0.098,0.0377,6,3.24,0.37,-1.46,18,0.1615,106,"2022-05-01","Mexico Open"
"11","Cameron Champ",22311723,9400,48.78,0.0188,0.0221,10,0.0033,0.1755,48,14.7,73,23.5,0.6198,0.0132,0.3076,0.2113,0.1089,0.0549,0.0325,0.0106,6,2.35,-0.3,10.63,26,0.0929,101,"2022-05-01","Mexico Open"
"12","Brendon Todd",22311724,9300,56.77,0.0122,0.0092,40,-0.003,-0.2459,53.55,3.7,76,25,0.6179,0.0114,0.3007,0.2023,0.1011,0.0486,0.0278,0.0085,64,0.99,-1.46,-2.2,2,0.0405,66.5,"2022-05-01","Mexico Open"
"13","Russell Knox",22311725,9200,61.82,0.0186,0.0165,15,-0.0021,-0.1129,61.71,8.8,81,27,0.6853,0.009,0.3862,0.2776,0.1516,0.079,0.0476,0.0169,100,1.79,-0.49,-0.3,8,0.0682,20.5,"2022-05-01","Mexico Open"
"14","Kevin Streelman",22311726,9100,56.16,0.0179,0.0152,19,-0.0027,-0.1508,66.11,6.5,84.5,28.5,0.6655,0.009,0.3633,0.2569,0.1355,0.0684,0.0415,0.0126,67,1.67,-0.47,-1.45,6,0.0525,66,"2022-05-01","Mexico Open"
"15","Matt Jones",22311727,9000,61.03,0.0184,0.0177,13,-0.000699999999999999,-0.038,61.89,12.8,82,26.5,0.6711,0.0096,0.3758,0.2692,0.145,0.0763,0.0476,0.0164,59,1.97,-0.05,2.59,16,0.0968,63,"2022-05-01","Mexico Open"
"16","Doug Ghim",22311728,8900,55.7,0.0179,0.017,14,-0.000899999999999998,-0.0503,59.89,5.5,80,26.43,0.706,0.0106,0.4211,0.3073,0.1704,0.0907,0.0562,0.0179,33,1.91,-0.03,2.2,8,0.0525,74,"2022-05-01","Mexico Open"
"17","Sahith Theegala",22311729,8800,64.39,0.0142,0.012,29,-0.0022,-0.1549,57.67,8.1,79.5,26,0.631,0.0136,0.3214,0.2204,0.1125,0.0558,0.0321,0.0098,24,1.36,-0.51,-0.46,8,0.1361,78,"2022-05-01","Mexico Open"
"18","Aaron Rai",22311730,8700,56.72,0.0167,0.0154,18,-0.0013,-0.0778,58.1,7.3,79.5,26,0.666,0.0156,0.3649,0.2588,0.1383,0.0707,0.0433,0.0144,24,1.77,-0.04,1.41,8,0.0981,77,"2022-05-01","Mexico Open"
"19","Carlos Ortiz",22311731,8600,58.93,0.013,0.0159,17,0.0029,0.2231,55.82,9,78.5,25.43,0.6264,0.0074,0.3119,0.2146,0.1114,0.0546,0.0319,0.01,51,1.85,0.09,10.03,20,0.1131,72.5,"2022-05-01","Mexico Open"
