Jon Rahm
470
Abraham Ancer
1200
Daniel Berger
1600
Tony Finau
2000
Gary Woodland
2600
Patrick Reed
2600
Kevin Na
2600
Sebastian Munoz
3100
Aaron Wise
3400
Cameron Tringale
3700
Kevin Streelman
4200
Chris Kirk
4200
Cameron Champ
4200
Aaron Rai
4500
Russell Knox
4500
Sahith Theegala
5000
Brendon Todd
5000
Matt Jones
5000
C.T. Pan
5000
Davis Riley
5000
Charles Howell
5000
Carlos Ortiz
5000
Doug Ghim
5000
Lanto Griffin
5500
Wyndham Clark
6500
Chad Ramey
6500
Mark Hubbard
6500
Nate Lashley
6500
David Lipsky
6500
Patrick Rodgers
6500
Austin Smotherman
6500
Taylor Moore
6500
Scott Stallings
6500
Kiradech Aphibarnrat
8000
Kevin Chappell
8000
J.T. Poston
8000
Tyler Duncan
8000
Anirban Lahiri
8000
Scott Piercy
9500
Pat Perez
9500
Rafa Cabrera Bello
10000
Kramer Hickok
10000
Adam Svensson
10000
Adam Long
10000
Greyson Sigg
11000
Danny Lee
11000
Brian Stuard
11000
Brandon Wu
11000
Nick Hardy
11000
Nick Taylor
11000
Ryan Armour
12000
Andrew Putnam
12000
Chase Seiffert
12000
Emiliano Grillo
12000
Matt Wallace
12000
Vaughn Taylor
12000
Lee Hodges
12000
Joseph Bramlett
12000
Hank Lebioda
12000
Dylan Wu
12000
Vincent Whaley
12000
Graeme McDowell
14000
Justin Lower
14000
Brice Garnett
14000
Michael Thompson
14000
Robert Streb
14000
Alex Smalley
14000
John Huh
14000
Trey Mullinax
14000
Kurt Kitayama
15000
Stephan Jaeger
15000
Hayden Buckley
15000
Ben Martin
16000
Aaron Baddeley
16000
Patrick Flavin
16000
Callum Tarren
16000
Adam Schenk
16000
Peter Malnati
16000
Ben Griffin
16000
Peter Uihlein
16000
Luke Donald
17000
James Hahn
17000
Sung-Hoon Kang
17000
Bill Haas
21000
Kevin Tway
21000
Chez Reavie
21000
Paul Barjon
21000
Bo Hoag
21000
Andrew Novak
23000
Ben Kohles
25000
Roger Sloan
25000
Wesley Bryan
25000
Camilo Villegas
25000
Seth Reeves
28000
Scott Gutschewski
30000
Max McGreevy
32000
Richy Werenski
32000
Satoshi Kodaira
32000
Jason Dufner
32000
Brandon Hagy
32000
Curtis Thompson
32000
Ryan Blaum
42000
Sang-Moon Bae
42000
Fabian Gomez
42000
Bryson Nimmer
42000
Michael Gligic
42000
Scott Brown
42000
Seung-Yul Noh
42000
Robert Garrigus
42000
Austin Cook
42000
Joshua Creel
42000
Tommy Gainey
50000
D.A. Points
50000
Armando Favela
50000
David Lingmerth
50000
Johnson Wagner
50000
Jim Knous
50000
Kelly Kraft
50000
Greg Chalmers
50000
Jeffrey Kang
50000
D.J. Trahan
50000
Martin Trainer
50000
Ricky Barnes
50000
Matt Every
50000
Alvaro Ortiz
50000
David Skinns
50000
Ben Willman
50000
Jonathan Byrd
50000
David Hearn
50000
Ben Crane
50000
Grayson Murray
50000
Dawie Van Der Walt
50000
Roberto Diaz
50000
Bo Van Pelt
50000
Isidro Benitez
50000
Jared Wolfe
50000
Jonas Blixt
50000
Brett Drewitt
50000
Mark Hensby
100000
Jose Cristobal Islas
100000
Manuel Inman
100000
Turk Pettit
100000
Santiago De la Fuente
100000
Jose Antonio Safa
100000
