,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Austin Smotherman,12500,"2,500.00",1800,360.00,800,160.00,,,,,9000,"1,800.00",,,,
Nick Taylor,12500,"2,500.00",1200,240.00,750,150.00,,,,,9000,"1,800.00",,,,
Robert Streb,13000,"2,600.00",2000,400.00,900,180.00,,,,,8000,"1,600.00",,,,
Brian Stuard,13000,"2,600.00",2000,400.00,900,180.00,,,,,9000,"1,800.00",,,,
Brandon Wu,13000,"2,600.00",2000,400.00,900,180.00,,,,,8000,"1,600.00",,,,
Ryan Armour,15000,"3,000.00",2200,440.00,1100,220.00,,,,,9000,"1,800.00",,,,
Tyler Duncan,15000,"3,000.00",2200,440.00,1000,200.00,,,,,8000,"1,600.00",,,,
Ben Griffin,15000,"3,000.00",,,1300,260.00,,,,,10000,"2,000.00",,,,
Emiliano Grillo,15000,"3,000.00",2200,440.00,1000,200.00,,,,,10000,"2,000.00",,,,
Kramer Hickok,15000,"3,000.00",2200,440.00,1000,200.00,,,,,10000,"2,000.00",,,,
John Huh,15000,"3,000.00",1600,320.00,1200,240.00,,,,,9000,"1,800.00",,,,
Kurt Kitayama,15000,"3,000.00",2200,440.00,1300,260.00,,,,,10000,"2,000.00",,,,
Nate Lashley,15000,"3,000.00",2200,440.00,1000,200.00,,,,,9000,"1,800.00",,,,
Hank Lebioda,15000,"3,000.00",2200,440.00,1200,240.00,,,,,10000,"2,000.00",,,,
Danny Lee,15000,"3,000.00",2200,440.00,1000,200.00,,,,,9000,"1,800.00",,,,
Graeme McDowell,15000,"3,000.00",2200,440.00,1100,220.00,,,,,10000,"2,000.00",,,,
Scott Piercy,15000,"3,000.00",2200,440.00,1000,200.00,,,,,8000,"1,600.00",,,,
Andrew Putnam,15000,"3,000.00",1600,320.00,1100,220.00,,,,,10000,"2,000.00",,,,
Patrick Rodgers,15000,"3,000.00",2200,440.00,1000,200.00,,,,,8000,"1,600.00",,,,
Chase Seiffert,15000,"3,000.00",2200,440.00,1000,200.00,,,,,10000,"2,000.00",,,,
Adam Svensson,15000,"3,000.00",2200,440.00,1000,200.00,,,,,8000,"1,600.00",,,,
Vaughn Taylor,15000,"3,000.00",2200,440.00,1100,220.00,,,,,10000,"2,000.00",,,,
Michael Thompson,15000,"3,000.00",2200,440.00,1000,200.00,,,,,10000,"2,000.00",,,,
Peter Uihlein,15000,"3,000.00",2200,440.00,1100,220.00,,,,,10000,"2,000.00",,,,
Peter Malnati,17500,"3,500.00",2200,440.00,1200,240.00,,,,,10000,"2,000.00",,,,
Adam Schenk,17500,"3,500.00",2200,440.00,1200,240.00,,,,,10000,"2,000.00",,,,
Dylan Wu,17500,"3,500.00",2200,440.00,1200,240.00,,,,,11000,"2,200.00",,,,
Kiradech Aphibarnrat,20000,"4,000.00",2500,500.00,1200,240.00,,,,,10000,"2,000.00",,,,
Joseph Bramlett,20000,"4,000.00",2500,500.00,1200,240.00,,,,,10000,"2,000.00",,,,
Hayden Buckley,20000,"4,000.00",2500,500.00,1200,240.00,,,,,12500,"2,500.00",,,,
Rafa Cabrera Bello,20000,"4,000.00",2500,500.00,1200,240.00,,,,,9000,"1,800.00",,,,
Bo Hoag,20000,"4,000.00",2500,500.00,1600,320.00,,,,,12500,"2,500.00",,,,
Lee Hodges,20000,"4,000.00",2500,500.00,1200,240.00,,,,,10000,"2,000.00",,,,
Ben Martin,20000,"4,000.00",2500,500.00,1300,260.00,,,,,12500,"2,500.00",,,,
Andrew Novak,20000,"4,000.00",2500,500.00,1400,280.00,,,,,11000,"2,200.00",,,,
Chez Reavie,20000,"4,000.00",2500,500.00,1600,320.00,,,,,12500,"2,500.00",,,,
Roger Sloan,20000,"4,000.00",2500,500.00,1200,240.00,,,,,12500,"2,500.00",,,,
Callum Tarren,20000,"4,000.00",2500,500.00,1200,240.00,,,,,11000,"2,200.00",,,,
Matt Wallace,20000,"4,000.00",2200,440.00,1100,220.00,,,,,12500,"2,500.00",,,,
Aaron Baddeley,25000,"5,000.00",3500,700.00,1600,320.00,,,,,12500,"2,500.00",,,,
Paul Barjon,25000,"5,000.00",3500,700.00,1800,360.00,,,,,17500,"3,500.00",,,,
Luke Donald,25000,"5,000.00",3500,700.00,1600,320.00,,,,,12500,"2,500.00",,,,
Patrick Flavin,25000,"5,000.00",2500,500.00,1400,280.00,,,,,12500,"2,500.00",,,,
Brice Garnett,25000,"5,000.00",3500,700.00,1600,320.00,,,,,10000,"2,000.00",,,,
Scott Gutschewski,25000,"5,000.00",3500,700.00,1600,320.00,,,,,12500,"2,500.00",,,,
James Hahn,25000,"5,000.00",3500,700.00,1600,320.00,,,,,12500,"2,500.00",,,,
Stephan Jaeger,25000,"5,000.00",3500,700.00,1600,320.00,,,,,12500,"2,500.00",,,,
Satoshi Kodaira,25000,"5,000.00",2500,500.00,1600,320.00,,,,,15000,"3,000.00",,,,
Ben Kohles,25000,"5,000.00",2500,500.00,1800,360.00,,,,,12500,"2,500.00",,,,
Justin Lower,25000,"5,000.00",3500,700.00,1600,320.00,,,,,10000,"2,000.00",,,,
Trey Mullinax,25000,"5,000.00",2500,500.00,1400,280.00,,,,,12500,"2,500.00",,,,
Wesley Bryan,30000,"6,000.00",5000,"1,000.00",2000,400.00,,,,,12500,"2,500.00",,,,
Jonathan Byrd,30000,"6,000.00",2500,500.00,2000,400.00,,,,,15000,"3,000.00",,,,
Seung-yul Noh,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,17500,"3,500.00",,,,
Curtis Thompson,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,15000,"3,000.00",,,,
Kevin Tway,30000,"6,000.00",5000,"1,000.00",2000,400.00,,,,,12500,"2,500.00",,,,
Camilo Villegas,30000,"6,000.00",5000,"1,000.00",2000,400.00,,,,,15000,"3,000.00",,,,
Jared Wolfe,30000,"6,000.00",5000,"1,000.00",2000,400.00,,,,,12500,"2,500.00",,,,
Brandon Hagy,35000,"7,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Sung Kang,35000,"7,000.00",5000,"1,000.00",2000,400.00,,,,,15000,"3,000.00",,,,
Bryson Nimmer,35000,"7,000.00",2200,440.00,2200,440.00,,,,,17500,"3,500.00",,,,
Ryan Blaum,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,17500,"3,500.00",,,,
Scott Brown,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Austin Cook,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,17500,"3,500.00",,,,
Roberto Diaz,40000,"8,000.00",5000,"1,000.00",3000,600.00,,,,,20000,"4,000.00",,,,
Jason Dufner,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Robert Garrigus,40000,"8,000.00",2500,500.00,2800,560.00,,,,,17500,"3,500.00",,,,
Michael Gligic,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,20000,"4,000.00",,,,
Fabian Gomez,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,17500,"3,500.00",,,,
Bill Haas,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
David Lingmerth,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,20000,"4,000.00",,,,
Max McGreevy,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,17500,"3,500.00",,,,
Seth Reeves,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,17500,"3,500.00",,,,
David Skinns,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Richy Werenski,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Sangmoon Bae,50000,"10,000.00",3500,700.00,2800,560.00,,,,,25000,"5,000.00",,,,
Ricky Barnes,50000,"10,000.00",8000,"1,600.00",4000,800.00,,,,,25000,"5,000.00",,,,
Greg Chalmers,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,20000,"4,000.00",,,,
Joshua Creel,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,25000,"5,000.00",,,,
Brett Drewitt,50000,"10,000.00",6500,"1,300.00",3000,600.00,,,,,22500,"4,500.00",,,,
Armando Favela,50000,"10,000.00",8000,"1,600.00",4000,800.00,,,,,22500,"4,500.00",,,,
Tommy Gainey,50000,"10,000.00",3500,700.00,3000,600.00,,,,,22500,"4,500.00",,,,
David Hearn,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,25000,"5,000.00",,,,
Jeffrey Kang,50000,"10,000.00",6500,"1,300.00",4000,800.00,,,,,20000,"4,000.00",,,,
Jim Knous,50000,"10,000.00",6500,"1,300.00",3000,600.00,,,,,25000,"5,000.00",,,,
Kelly Kraft,50000,"10,000.00",6500,"1,300.00",3000,600.00,,,,,22500,"4,500.00",,,,
Grayson Murray,50000,"10,000.00",8000,"1,600.00",4000,800.00,,,,,25000,"5,000.00",,,,
Alvaro Ortiz,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,20000,"4,000.00",,,,
D.J. Trahan,50000,"10,000.00",8000,"1,600.00",4000,800.00,,,,,22500,"4,500.00",,,,
Martin Trainer,50000,"10,000.00",6500,"1,300.00",4000,800.00,,,,,20000,"4,000.00",,,,
Dawie Van Der Walt,50000,"10,000.00",6500,"1,300.00",3000,600.00,,,,,25000,"5,000.00",,,,
Bo Van Pelt,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,20000,"4,000.00",,,,
Johnson Wagner,50000,"10,000.00",3500,700.00,3000,600.00,,,,,22500,"4,500.00",,,,
Isidro Benitez,75000,"15,000.00",5000,"1,000.00",3000,600.00,,,,,30000,"6,000.00",,,,
Derek Ernst,75000,"15,000.00",6500,"1,300.00",2800,560.00,,,,,25000,"5,000.00",,,,
Matt Every,75000,"15,000.00",8000,"1,600.00",4000,800.00,,,,,30000,"6,000.00",,,,
Mark Hensby,75000,"15,000.00",6500,"1,300.00",4000,800.00,,,,,25000,"5,000.00",,,,
Arjun Atwal,100000,"20,000.00",6500,"1,300.00",2800,560.00,,,,,30000,"6,000.00",,,,
Jonas Blixt,100000,"20,000.00",8000,"1,600.00",4000,800.00,,,,,30000,"6,000.00",,,,
Ben Crane,100000,"20,000.00",8000,"1,600.00",4000,800.00,,,,,30000,"6,000.00",,,,
Santiago De la Fuente,100000,"20,000.00",,,6000,"1,200.00",,,,,35000,"7,000.00",,,,
Manuel Inman,100000,"20,000.00",8000,"1,600.00",5000,"1,000.00",,,,,35000,"7,000.00",,,,
Jose Cristobal Islas,100000,"20,000.00",,,,,,,,,35000,"7,000.00",,,,
Richard S. Johnson,100000,"20,000.00",6500,"1,300.00",2800,560.00,,,,,30000,"6,000.00",,,,
Turk Pettit,100000,"20,000.00",8000,"1,600.00",4000,800.00,,,,,25000,"5,000.00",,,,
D.A. Points,100000,"20,000.00",8000,"1,600.00",4000,800.00,,,,,30000,"6,000.00",,,,
Jose Antonio Safa,100000,"20,000.00",,,5000,"1,000.00",,,,,35000,"7,000.00",,,,
Ben Willman,100000,"20,000.00",8000,"1,600.00",4000,800.00,,,,,30000,"6,000.00",,,,
Daniel Berger,,,,,,,,,,,,,,,,
Kevin Chappell,,,,,,,,,,,,,,,,
Nick Hardy,,,,,,,,,,,,,,,,
