"","G","G","G","G","G","G"
"1",22818983,22818986,22818988,22818995,22818996,22819016
"2",22818979,22818986,22818988,22818996,22819005,22819011
"3",22818980,22818983,22818988,22818995,22819000,22819013
"4",22818982,22818983,22818988,22818995,22818996,22819021
"5",22818982,22818983,22818988,22818996,22819000,22819006
"6",22818983,22818984,22818988,22818995,22818997,22819005
"7",22818979,22818983,22818988,22818996,22819011,22819021
"8",22818982,22818983,22818988,22818996,22819006,22819011
"9",22818982,22818984,22818986,22818996,22818997,22819011
"10",22818983,22818984,22818986,22818995,22818996,22819014
"11",22818979,22818984,22818995,22818996,22818997,22819000
"12",22818979,22818980,22818995,22818996,22819000,22819011
"13",22818983,22818984,22818986,22818995,22818996,22819024
"14",22818983,22818984,22818986,22818996,22818999,22819003
"15",22818983,22818984,22818986,22818996,22818998,22819006
"16",22818979,22818983,22818996,22818997,22818998,22819000
"17",22818980,22818984,22818996,22818997,22818998,22819000
"18",22818982,22818984,22818986,22818998,22819000,22819003
"19",22818977,22818984,22818997,22818998,22819000,22819003
"20",22818980,22818984,22818986,22819000,22819003,22819005
"21",22818984,22818986,22818987,22818997,22818998,22819000
"22",22818979,22818980,22818997,22818998,22819000,22819003
"23",22818977,22818986,22818997,22818998,22819000,22819003
"24",22818980,22818986,22818987,22818997,22818998,22819003
"25",22818980,22818982,22818986,22818997,22818998,22819024
"26",22818980,22818986,22818987,22818997,22818998,22819005
"27",22818980,22818986,22818989,22818997,22818998,22818999
"28",22818977,22818980,22818992,22818999,22819005,22819020
"29",22818979,22818980,22818993,22818999,22819001,22819005
"30",22818980,22818982,22818989,22818999,22819001,22819005
"31",22818977,22818980,22818992,22818999,22819005,22819021
"32",22818979,22818982,22818992,22818999,22819001,22819005
"33",22818979,22818982,22818987,22818999,22819005,22819014
"34",22818977,22818982,22818992,22818999,22819005,22819012
"35",22818979,22818982,22818987,22819001,22819005,22819012
"36",22818979,22818982,22818987,22818993,22819014,22819021
"37",22818979,22818982,22818987,22818992,22819014,22819025
"38",22818977,22818982,22818992,22818993,22819012,22819018
"39",22818977,22818987,22818989,22818992,22819012,22819019
"40",22818977,22818987,22818989,22818992,22819012,22819016
"41",22818977,22818981,22818992,22818993,22819016,22819019
"42",22818977,22818981,22818989,22818993,22819023,22819026
"43",22818976,22818981,22818989,22819002,22819019,22819023
"44",22818976,22818981,22818989,22819002,22819016,22819023
"45",22818976,22818981,22818989,22819002,22819019,22819022
"46",22818976,22818985,22818989,22818993,22819023,22819026
"47",22818976,22818985,22818989,22818993,22819022,22819026
"48",22818976,22818981,22818993,22819002,22819015,22819022
"49",22818975,22818981,22818993,22819002,22819015,22819022
"50",22818976,22818981,22818993,22819002,22819004,22819027
