"","Name","ID","Salary","fpts","total_pts","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","proj_own","own_change","own"
"45","Dylan Frittelli",22819020,7100,48.14,50.64,0.0067,0.0058,-0.000900000000000001,-0.1343,57,0.82,0.57,0.02
"46","Stewart Cink",22819021,7100,51.91,49.43,0.0061,0.0075,0.0014,0.2295,44,5.6,2.74,0.08
"47","J.J. Spaun",22819022,7100,53.9,47.14,0.0067,0.0078,0.0011,0.1642,42,3.8,4.77,0.08
"48","David Lipsky",22819023,7000,55.5,47.25,0.0059,0.0051,-0.000799999999999999,-0.1356,62,4.3,3.63,0.08
"49","Emiliano Grillo",22819024,7000,52.99,50.13,0.0039,0.0038,-9.99999999999998e-05,-0.0256,82,1.9,1.85,0.04
"50","James Hahn",22819025,7000,50.35,47.34,0.0039,0.0035,-4e-04,-0.1026,90,2,-0.54,0.02
"51","Matt Jones",22819026,7000,56.34,47.25,0.0067,0.0058,-0.000900000000000001,-0.1343,57,1.1,4.16,0.06
"52","Brendon Todd",22819027,7000,51.01,46.03,0.0093,0.008,-0.0013,-0.1398,41,0.69,1.9,0.02
"53","Russell Knox",22819028,6900,54.15,46.03,0.0063,0.0069,6e-04,0.0952,45,3.7,3.61,0
"54","Min Woo Lee",22819029,6900,46.18,40.46,0.0048,0.0041,-0.000699999999999999,-0.1458,76,0.75,-2.68,0
"55","Adam Long",22819030,6900,49.3,41.77,0.0095,0.0082,-0.0013,-0.1368,39,7.2,2.44,0
"56","Pat Perez",22819031,6900,52.13,47.25,0.0061,0.0052,-0.000900000000000001,-0.1475,60,0.58,1.93,0
"57","Patton Kizzire",22819032,6900,53.48,42.98,0.0044,0.0048,0.000399999999999999,0.0909,68,3,3.96,0
"58","Scott Piercy",22819033,6800,47.93,47.25,0.0059,0.0051,-0.000799999999999999,-0.1356,62,0.35,0.04,0
"59","Stephan Jaeger",22819034,6800,44.54,47.25,0.0057,0.005,-7e-04,-0.1228,64,3.9,-1,0
"60","Peter Malnati",22819035,6800,46.33,38.94,0.0057,0.0049,-8e-04,-0.1404,66,2.7,1.32,0
"61","Denny McCarthy",22819036,6800,48.97,41.77,0.0075,0.0064,-0.0011,-0.1467,50,4.4,2.88,0
"62","Kevin Streelman",22819037,6800,59.22,46.03,0.0061,0.0061,0,0,52,4.3,4.92,0
"63","Alex Smalley",22819038,6700,54.62,47.25,0.0048,0.0041,-0.000699999999999999,-0.1458,76,3.3,2.9,0
"64","Taylor Moore",22819039,6700,49.76,47.25,0.0044,0.0037,-7e-04,-0.1591,85,1.2,0.53,0
"65","Doug Ghim",22819040,6700,57.96,46.03,0.0091,0.0078,-0.0013,-0.1429,42,6.4,4.26,0
"66","Lucas Glover",22819041,6700,57.54,41.77,0.0087,0.0085,-0.000199999999999999,-0.023,36,6.1,6.03,0
"67","Rory Sabbatini",22819042,6700,49.48,41.77,0.0087,0.0085,-0.000199999999999999,-0.023,36,0.79,3.41,0
"68","Richard Bland",22819043,6600,51.51,44.41,0.0073,0.0063,-0.001,-0.137,51,0.19,1.54,0
"69","Brian Stuard",22819044,6600,47.26,43.21,0.0044,0.0037,-7e-04,-0.1591,85,0.57,-0.91,0
"70","J.T. Poston",22819045,6600,49.58,46.03,0.0065,0.0058,-7e-04,-0.1077,57,5.5,0.11,0
"71","Matthias Schwab",22819046,6600,55.4,41.77,0.0055,0.0047,-0.000799999999999999,-0.1455,69,0.8,3.67,0
"72","Patrick Rodgers",22819047,6600,52.35,44.05,0.0063,0.0054,-9e-04,-0.1429,59,0.91,2.81,0
"73","Carlos Ortiz",22819048,6500,49.36,40.14,0.0044,0.004,-4e-04,-0.0909,78,0.95,2.26,0
"74","Charley Hoffman",22819049,6500,52.31,39.61,0.0055,0.0048,-7e-04,-0.1273,68,0.77,1.1,0
"75","Greyson Sigg",22819050,6500,47.36,42.98,0.0045,0.0039,-6e-04,-0.1333,80,0.62,0.89,0
"76","Sahith Theegala",22819051,6500,53.7,42.98,0.0034,0.0033,-9.99999999999998e-05,-0.0294,92,8.3,4.76,0
"77","Beau Hossler",22819052,6500,41.22,40.37,0.0034,0.0029,-5e-04,-0.1471,96,0.63,-2.46,0
"78","Brandon Wu",22819053,6500,47.73,47.25,0.0048,0.0041,-0.000699999999999999,-0.1458,76,0.98,0.07,0
"79","Mark Hubbard",22819055,6400,50.54,41.77,0.0061,0.0064,3e-04,0.0492,50,3.4,5,0
"80","Zach Johnson",22819056,6400,45.59,41.99,0.0053,0.0046,-7e-04,-0.1321,70,0.14,-2.52,0
"81","Scott Stallings",22819057,6400,52.13,46.03,0.0051,0.0044,-7e-04,-0.1373,72,0.65,2.19,0
"82","Harry Higgs",22819058,6400,45.33,43.21,0.0042,0.0036,-6e-04,-0.1429,88,0.42,-1.61,0
"83","Kurt Kitayama",22819059,6400,54.3,44.41,0.0049,0.0042,-7e-04,-0.1429,74,3.8,2.73,0
"84","Sam Ryder",22819060,6300,47.43,44.41,0.0044,0.0037,-7e-04,-0.1591,85,0.28,0.61,0
"85","Austin Smotherman",22819061,6300,50.28,40.14,0.0028,0.0024,-4e-04,-0.1429,100,7.6,1.91,0
"86","Nick Taylor",22819062,6300,51.8,46.03,0.0036,0.0039,3e-04,0.0833,80,0.93,1.96,0
"87","Tyler Duncan",22819063,6300,46.23,45.49,0.0034,0.0033,-9.99999999999998e-05,-0.0294,92,0.65,-0.1,0
"88","Chad Ramey",22819064,6300,44.8,40.37,0.0045,0.0039,-6e-04,-0.1333,80,0.57,-0.24,0
"89","Chez Reavie",22819065,6300,46.74,44.41,0.0039,0.0034,-5e-04,-0.1282,91,0.46,-1.01,0
"90","Danny Lee",22819066,6300,44.95,41.99,0.0044,0.0037,-7e-04,-0.1591,85,0.85,-1.32,0
"91","Michael Thompson",22819067,6200,47.25,45.27,0.003,0.0029,-1e-04,-0.0333,96,0.59,0.59,0
"92","Paul Barjon",22819068,6200,44.76,35.58,0.0024,0.002,-4e-04,-0.1667,104,0.22,-1.94,0
"93","Bill Haas",22819069,6200,40.11,35.58,0.0024,0.002,-4e-04,-0.1667,104,0.28,-2.97,0
"94","Garrick Higgo",22819070,6200,42.81,31.59,0.002,0.0021,9.99999999999998e-05,0.05,102,0.64,-2.84,0
"95","Brandt Snedeker",22819071,6200,47.57,46.19,0.0026,0.0032,6e-04,0.2308,94,0.7,-0.79,0
"96","Kramer Hickok",22819073,6200,47.58,44.41,0.0038,0.0032,-6e-04,-0.1579,94,0.69,-0.81,0
"97","Andrew Putnam",22819074,6200,47.48,46.03,0.0061,0.0052,-0.000900000000000001,-0.1475,60,0.87,0.35,0
"98","Lee Hodges",22819078,6100,48.63,34.99,0.0028,0.0024,-4e-04,-0.1429,100,0.32,0.18,0
"99","Trey Mullinax",22819079,6100,48.62,34.99,0.0028,0.0024,-4e-04,-0.1429,100,0.6,0.3,0
"100","Doc Redman",22819081,6100,44.32,35.74,0.0051,0.0044,-7e-04,-0.1373,72,0.73,-1.21,0
"101","Adam Svensson",22819082,6100,51.29,39.78,0.0042,0.0036,-6e-04,-0.1429,88,1.4,1.36,0
"102","Nick Watney",22819085,6000,36.68,30.95,0.002,0.0017,-3e-04,-0.15,105,0.15,-5.37,0
"103","Robert Streb",22819087,6000,43.44,37.37,0.0044,0.0037,-7e-04,-0.1591,85,0.49,-2.16,0
"104","Luke Donald",22819090,6000,46.38,30.95,0.0028,0.0024,-4e-04,-0.1429,100,0.54,-0.93,0
"105","Adam Schenk",22819091,6000,45.66,35.74,0.0057,0.0049,-8e-04,-0.1404,66,1.4,-0.54,0
