"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1","Scottie Scheffler",22818973,11200,90.7,0.0918,0.0804,1,-0.0114,-0.1242,76.67,14.3,95,59,0.8435,0.5098,0.3378,0.2119,0.0606,7.18,1,0.36,17.3,32,0
"2","Justin Thomas",22818974,11000,100.89,0.0666,0.0698,2,0.00319999999999999,0.048,82.44,14.7,101.58,63,0.8674,0.5671,0.3922,0.2564,0.0781,6.35,1,0.04,21.89,36,0
"3","Collin Morikawa",22818975,10700,84.15,0.0583,0.0514,4,-0.0069,-0.1184,68.74,17.8,88.5,29,0.8148,0.4425,0.2801,0.1675,0.0435,4.8,1,-0.81,11.88,30,0
"4","Jordan Spieth",22818976,10400,73.73,0.0627,0.0672,3,0.00449999999999999,0.0718,74.71,25.4,92.5,56.5,0.8043,0.4367,0.2747,0.1658,0.0458,6.46,1,1.48,14.74,40,0
"5","Will Zalatoris",22818977,10100,72.62,0.0334,0.0316,7,-0.0018,-0.0539,70.28,9.3,91.5,29.93,0.7768,0.3745,0.2203,0.122,0.0266,3.13,1,-1.28,10.61,20,0
"6","Viktor Hovland",22818978,10000,92.47,0.0427,0.0418,5,-0.000900000000000005,-0.0211,72.83,19.7,91,31.93,0.7743,0.3717,0.2203,0.1263,0.03,4.18,1,-0.06,15.52,36,0
"7","Sam Burns",22818979,9700,77.43,0.0295,0.0318,6,0.0023,0.078,68.93,13.2,88.5,29.43,0.7462,0.3257,0.1848,0.1006,0.0231,3.28,1,-0.48,11.32,24,0
"8","Max Homa",22818980,9400,75.23,0.0222,0.0278,9,0.0056,0.2523,65.84,16.1,87,28,0.7416,0.3145,0.1761,0.0933,0.0198,2.96,1,-0.38,10.63,26,0
"9","Abraham Ancer",22818981,9300,65.28,0.0192,0.0227,14,0.0035,0.1823,64.06,20.7,85,27,0.7101,0.2625,0.1391,0.07,0.014,2.44,1,-0.77,7.38,28,0
"10","Sungjae Im",22818982,9200,81.43,0.0263,0.0306,8,0.0043,0.1635,72.06,13.6,91,50,0.7934,0.4016,0.2421,0.1391,0.0341,3.33,1,0.24,14.13,28,0
"11","Tony Finau",22818983,9100,64.43,0.0226,0.024,12,0.0014,0.0619,67.84,14.6,88,29,0.7619,0.339,0.1927,0.1031,0.0225,2.64,1,-0.34,8.88,24,0
"12","Daniel Berger",22818984,9000,72.22,0.0227,0.0223,16,-0.000400000000000001,-0.0176,72.94,13,91.5,53,0.7361,0.3012,0.1637,0.0876,0.0183,2.48,1,-0.39,11.66,24,0
"13","Talor Gooch",22818985,8900,78.76,0.0225,0.0257,10,0.0032,0.1422,64.42,13.9,86.5,27,0.7525,0.33,0.1855,0.1005,0.0214,2.89,1,0.12,11.5,26,0
"14","Tommy Fleetwood",22818986,8800,73.38,0.0186,0.0224,15,0.0038,0.2043,68.15,18.7,88,29,0.7531,0.3165,0.173,0.0902,0.0186,2.55,1,-0.12,10.98,30,0
"15","Webb Simpson",22818987,8700,66.5,0.0195,0.0219,17,0.0024,0.1231,64.95,9.4,85,28,0.696,0.2421,0.1239,0.0614,0.0119,2.52,1,-0.07,8.36,18,0
"16","Mito Pereira",22818988,8600,70.18,0.0156,0.0146,25,-0.000999999999999999,-0.0641,68.32,5.6,88.5,29,0.7167,0.274,0.1418,0.0716,0.0139,1.7,1,-0.81,9.41,16,0
"17","Billy Horschel",22818989,8500,76.46,0.0193,0.0181,22,-0.0012,-0.0622,63.19,10.1,84.5,27,0.7416,0.3049,0.1658,0.0869,0.0189,2.13,1,-0.3,9.42,20,0
"18","Davis Riley",22818990,8400,64.97,0.0086,0.0184,21,0.0098,1.1395,55.6,14.4,79.5,25.5,0.6255,0.1704,0.0793,0.0364,0.0059,2.19,1,-0.17,6.79,22,0
"19","Jason Kokrak",22818992,8200,70.46,0.0217,0.0206,19,-0.0011,-0.0507,63.39,8.8,84,27.5,0.7024,0.2551,0.135,0.0683,0.0134,2.51,1,0.28,8.82,18,0
"20","Kevin Na",22818993,8100,62,0.0208,0.0241,11,0.0033,0.1587,59.33,20.5,82,26,0.7468,0.3205,0.1815,0.0988,0.0218,2.98,1,0.82,7.35,28,0
"21","Gary Woodland",22818995,7900,56.81,0.0119,0.013,27,0.0011,0.0924,62.73,10.3,83.5,27,0.6815,0.2268,0.1147,0.0561,0.01,1.65,1,-0.34,5.57,16,0
"22","Chris Kirk",22818996,7900,64.03,0.0172,0.0228,13,0.0056,0.3256,67.47,20.1,88,28.5,0.7669,0.3546,0.2024,0.1127,0.0244,2.89,1,0.9,10.66,30,0
"23","Harold Varner III",22818997,7800,65.85,0.0155,0.0209,18,0.0054,0.3484,65.01,15.4,85.5,28,0.75,0.3195,0.1795,0.097,0.0214,2.68,1,0.78,9.79,26,0
"24","Brian Harman",22818998,7800,61.59,0.0182,0.0194,20,0.0012,0.0659,64.37,16.8,84.5,27,0.7512,0.3145,0.1712,0.0896,0.0174,2.49,1,0.59,7.96,24,0
"25","Justin Rose",22818999,7700,66.41,0.0117,0.0169,23,0.0052,0.4444,60.14,9.3,82,26,0.6753,0.2331,0.1196,0.0611,0.0114,2.19,1,0.4,8.05,18,0
"26","Sebastian Munoz",22819000,7700,68.76,0.0156,0.0155,24,-9.99999999999994e-05,-0.0064,62.99,14.6,84.5,27,0.705,0.2688,0.1433,0.0736,0.0158,2.01,1,0.22,8.72,24,0
"27","Christiaan Bezuidenhout",22819001,7600,62.73,0.0073,0.0086,35,0.0013,0.1781,58.39,3.7,80,25.5,0.6667,0.2083,0.1008,0.0495,0.0082,1.13,1,-0.53,5.02,8,0
"28","Tom Hoge",22819002,7600,70.12,0.0147,0.0142,26,-0.000499999999999999,-0.034,58.6,10.6,82,25.5,0.7143,0.277,0.1453,0.0751,0.0148,1.87,1,0.21,7.83,18,0
"29","Cameron Tringale",22819003,7500,68.12,0.0103,0.012,29,0.0017,0.165,60.21,5.8,82.5,26,0.6914,0.2326,0.1147,0.0548,0.0108,1.6,1,0.09,7.82,14,0
"30","C.T. Pan",22819004,7500,63.91,0.0099,0.0111,30,0.0012,0.1212,58.59,5.5,81,25.5,0.6951,0.2398,0.1215,0.0597,0.0122,1.48,1,-0.03,6.19,12,0
"31","Maverick McNealy",22819005,7500,76.78,0.0103,0.0121,28,0.0018,0.1748,59.67,14.8,82.5,26,0.6979,0.2457,0.1245,0.062,0.0116,1.61,1,0.1,9.42,24,0
"32","Rickie Fowler",22819006,7400,53.29,0.0047,0.006,54,0.0013,0.2766,51.49,4.1,76,24,0.5984,0.1471,0.066,0.0308,0.0045,0.81,1,-0.52,1.7,6,0
"33","Kevin Kisner",22819007,7400,57.79,0.0113,0.01,32,-0.0013,-0.115,49.23,2.5,74.5,23.5,0.6416,0.1927,0.094,0.0455,0.0083,1.35,1,0.02,1.97,4,0
"34","Patrick Reed",22819008,7400,61.56,0.0121,0.0105,31,-0.0016,-0.1322,51.17,5,75,24,0.6479,0.1876,0.0872,0.0404,0.0072,1.42,1,0.09,2.93,8,0
"35","Erik Van Rooyen",22819009,7300,62.04,0.0113,0.0097,33,-0.0016,-0.1416,57.64,1.3,80,25.5,0.6479,0.1916,0.0929,0.0424,0.0067,1.33,1,0.17,5.28,6,0
"36","Troy Merritt",22819010,7300,67.25,0.0111,0.0096,34,-0.0015,-0.1351,53.81,7.9,77.5,24.5,0.6711,0.2217,0.1103,0.0532,0.009,1.32,1,0.16,5.14,14,0
"37","Ryan Palmer",22819011,7300,55.5,0.0069,0.0082,39,0.0013,0.1884,61.22,3.9,83.5,26.43,0.6377,0.1869,0.0896,0.0427,0.0075,1.12,1,-0.04,5.83,10,0
"38","Matthew NeSmith",22819012,7300,58.26,0.0063,0.0066,47,3e-04,0.0476,55.43,6.5,79,25,0.6454,0.1845,0.0873,0.0409,0.0067,0.9,1,-0.26,3.91,10,0
"39","Ian Poulter",22819013,7200,50.19,0.0079,0.0068,46,-0.0011,-0.1392,51.12,1.8,74.58,24,0.6109,0.1504,0.066,0.0294,0.0041,0.94,1,-0.08,0.46,2,0
"40","Cameron Davis",22819014,7200,55.47,0.0061,0.0061,52,0,0,57.83,3.2,81,25.5,0.5951,0.1484,0.0656,0.029,0.0046,0.85,1,-0.17,4.31,8,0
"41","Aaron Rai",22819015,7200,58,0.0095,0.0082,39,-0.0013,-0.1368,54.71,4.3,78.5,24.5,0.6255,0.1667,0.0741,0.0332,0.0053,1.14,1,0.12,3.84,8,0
"42","Joel Dahmen",22819016,7200,62.94,0.0073,0.0065,48,-8e-04,-0.1096,52.56,3.4,77,24,0.6296,0.1692,0.0801,0.0359,0.0056,0.9,1,-0.12,3.84,8,0
"43","Lucas Herbert",22819018,7100,53.88,0.0063,0.006,54,-3e-04,-0.0476,44.96,2.8,71.5,22.5,0.6016,0.1504,0.0678,0.0314,0.0049,0.85,1,-0.08,-0.08,2,0
"44","Nate Lashley",22819019,7100,59.97,0.0053,0.0046,70,-7e-04,-0.1321,50.94,6,75.5,24,0.6016,0.1471,0.0655,0.0298,0.0043,0.65,1,-0.28,2.42,8,0
"45","Dylan Frittelli",22819020,7100,54.74,0.0067,0.0058,57,-0.000900000000000001,-0.1343,48.14,0.82,73,23,0.5951,0.1399,0.0601,0.0262,0.0039,0.82,1,-0.11,0.57,2,0
"46","Stewart Cink",22819021,7100,55.1,0.0061,0.0075,44,0.0014,0.2295,51.91,5.6,76,24.5,0.5868,0.1433,0.0638,0.0284,0.0047,1.06,1,0.13,2.74,8,0
"47","J.J. Spaun",22819022,7100,62.86,0.0067,0.0078,42,0.0011,0.1642,53.9,3.8,77.5,24.5,0.6599,0.2008,0.0971,0.0456,0.0073,1.1,1,0.17,4.77,8,0
"48","David Lipsky",22819023,7000,55.08,0.0059,0.0051,62,-0.000799999999999999,-0.1356,55.5,4.3,80,25,0.5851,0.1488,0.0671,0.0309,0.0052,0.73,1,-0.16,3.63,8,0
"49","Emiliano Grillo",22819024,7000,51.72,0.0039,0.0038,82,-9.99999999999998e-05,-0.0256,52.99,1.9,77.5,24,0.5392,0.1065,0.0441,0.0189,0.0026,0.54,1,-0.35,1.85,4,0
"50","James Hahn",22819025,7000,46.47,0.0039,0.0035,90,-4e-04,-0.1026,50.35,2,74.58,23.5,0.5652,0.1235,0.0523,0.0216,0.0034,0.5,1,-0.39,-0.54,2,0
"51","Matt Jones",22819026,7000,56.17,0.0067,0.0058,57,-0.000900000000000001,-0.1343,56.34,1.1,80.5,25.5,0.5968,0.1471,0.0652,0.029,0.0047,0.83,1,-0.06,4.16,6,0
"52","Brendon Todd",22819027,7000,56.09,0.0093,0.008,41,-0.0013,-0.1398,51.01,0.69,74.5,24,0.6047,0.1488,0.0676,0.0293,0.0043,1.14,1,0.25,1.9,2,0
"53","Russell Knox",22819028,6900,57.1,0.0063,0.0069,45,6e-04,0.0952,54.15,3.7,77.5,24.5,0.654,0.188,0.0873,0.0416,0.0072,1,1,0.16,3.61,8,0
"54","Min Woo Lee",22819029,6900,40.29,0.0048,0.0041,76,-0.000699999999999999,-0.1458,46.18,0.75,72,22.5,0.5413,0.1043,0.0428,0.0174,0.0023,0.59,1,-0.25,-2.68,0,0
"55","Adam Long",22819030,6900,58.37,0.0095,0.0082,39,-0.0013,-0.1368,49.3,7.2,74.5,23,0.6552,0.1992,0.097,0.0469,0.0088,1.19,1,0.35,2.44,10,0
"56","Pat Perez",22819031,6900,54.97,0.0061,0.0052,60,-0.000900000000000001,-0.1475,52.13,0.58,76,24.5,0.6063,0.1479,0.0665,0.0287,0.0041,0.75,1,-0.09,1.93,2,0
"57","Patton Kizzire",22819032,6900,61.03,0.0044,0.0048,68,0.000399999999999999,0.0909,53.48,3,77.5,24.5,0.5935,0.146,0.0646,0.0281,0.0047,0.7,1,-0.14,3.96,6,0
"58","Scott Piercy",22819033,6800,50.22,0.0059,0.0051,62,-0.000799999999999999,-0.1356,47.93,0.35,73.5,23.5,0.5434,0.1072,0.0439,0.018,0.0026,0.75,1,-0.05,0.04,0,0
"59","Stephan Jaeger",22819034,6800,50.48,0.0057,0.005,64,-7e-04,-0.1228,44.54,3.9,71,23,0.5536,0.1192,0.0507,0.0213,0.0033,0.74,1,-0.06,-1,2,0
