datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Snedeker, Brandt","Brandt Snedeker",150,22819071,6200,26.566,8:37 am,1,46.4,1.3,0,47.7,-0.12,100,2.1829940921338,
"Thompson, Michael","Michael Thompson",150,22819067,6200,27.310,12:34 pm,0,49.2,1.7,0,50.9,0.04,100,2.00211964969814,
"Dufner, Jason","Jason Dufner",150,22834045,6200,24.128,12:01 pm,0,41.3,0.8,0,42.1,-0.36,100,0.50581649582971,
"Putnam, Andrew","Andrew Putnam",150,22819074,6200,28.544,8:48 am,1,52.3,2.2,0,54.5,0.35,100,3.3724909214245,
"Clark, Wyndham","Wyndham Clark",150,22819072,6200,26.251,11:50 am,0,46.1,1.3,0,47.4,-0.13,100,1.92204757051206,
"Higgo, Garrick","Garrick Higgo",150,22819070,6200,24.016,7:53 am,1,40.6,0.8,0,41.3,-0.4,100,0.613050360200767,
"Huh, John","John Huh",150,22841811,6100,27.370,1:07 pm,0,49.4,1.6,0,51,0.1,100,1.58935262992154,
"Svensson, Adam","Adam Svensson",150,22819082,6100,27.283,1:29 pm,0,47.6,1.5,0,49.2,-0.03,100,1.81037628949776,
"McGreevy, Max","Max McGreevy",150,22819076,6100,23.755,11:50 am,0,39.6,0.7,0,40.3,-0.42,100,0.0458820712694754,
"Villegas, Camilo","Camilo Villegas",150,22819077,6100,25.124,1:18 pm,0,42.2,0.9,0,43.1,-0.3,100,0.110706998205293,
"Redman, Doc","Doc Redman",150,22819081,6100,26.453,7:20 am,1,46.7,1.3,0,48,-0.08,100,1.86484020370587,
"Tway, Kevin","Kevin Tway",150,22819075,6100,24.686,8:04 am,1,42.7,1,0,43.7,-0.27,100,0.744643213677034,
"Mullinax, Trey","Trey Mullinax",150,22819079,6100,26.397,7:20 am,1,45.9,1.3,0,47.1,-0.12,100,1.54625686383965,
"Hodges, Lee","Lee Hodges",150,22819078,6100,26.334,7:20 am,1,46.7,1.3,0,48,-0.08,100,1.25829744027651,
"Pak, John","John Pak",150,22819080,6100,22.481,1:29 pm,0,37,0.5,0,37.5,-0.54,100,0.0334157391664335,
"Piot, James","James Piot",150,22819092,6000,16.863,8:59 am,1,27.9,0.1,0,28,-0.94,100,0.0334157391664335,
"Donald, Luke","Luke Donald",150,22819090,6000,25.581,12:34 pm,0,44.5,1.1,0,45.7,-0.17,100,1.72103782344617,
"Strafaci, Tyler","Tyler Strafaci",150,22819083,6000,16.321,8:59 am,1,26.6,0.1,0,26.7,-1,100,0.0334157391664335,
"Streb, Robert","Robert Streb",150,22819087,6000,27.834,12:45 pm,0,49.3,1.7,0,51,0.13,100,2.05555328133579,
"Brehm, Ryan","Ryan Brehm",150,22819086,6000,23.820,8:26 am,1,39.8,0.6,0,40.4,-0.39,100,0.16142802519724,
"Trainer, Martin","Martin Trainer",150,22819084,6000,23.002,12:23 pm,0,38.5,0.5,0,39,-0.46,100,0.0334157391664335,
"Buckley, Hayden","Hayden Buckley",150,22819088,6000,25.986,1:07 pm,0,45.1,1.2,0,46.3,-0.14,100,1.13921108520728,
"Watney, Nick","Nick Watney",150,22819085,6000,23.940,12:01 pm,0,40.6,0.7,0,41.3,-0.36,100,0.10073393252286,
"Schenk, Adam","Adam Schenk",150,22819091,6000,26.877,11:50 am,0,48,1.5,0,49.4,0,100,2.17471091715944,
"Compton, Erik","Erik Compton",150,22819089,6000,18.766,8:48 am,1,30.6,0.2,0,30.8,-0.82,100,0.0334157391664335,
