"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Scottie Scheffler",22818973,11200,90.7,0.0918,0.0789,1,-0.0129,-0.1405,76.67,14.3,95,59,0.8435,0.0357,0.6235,0.5086,0.3378,0.2119,0.1461,0.0606,2,7.04,0.27,-21.64,0,0.1346,89,"2022-05-29","Charles Schwab"
"2","Justin Thomas",22818974,11000,100.89,0.0666,0.0681,3,0.00149999999999999,0.0225,82.44,14.7,101.58,63,0.8674,0.0411,0.6774,0.5671,0.3914,0.2563,0.1817,0.0781,100,6.19,-0.1,6.97,22,0.1694,27.5,"2022-05-29","Charles Schwab"
"3","Collin Morikawa",22818975,10700,84.15,0.0583,0.0519,4,-0.0064,-0.1098,68.74,17.8,88.5,29,0.8148,0.0303,0.5609,0.4434,0.28,0.1676,0.1112,0.0435,40,4.85,-0.76,-8.98,8,0.1475,53,"2022-05-29","Charles Schwab"
"4","Jordan Spieth",22818976,10400,73.73,0.0627,0.0719,2,0.0092,0.1467,74.71,25.4,92.5,56.5,0.8044,0.0208,0.5541,0.4362,0.2747,0.1659,0.1132,0.0458,7,6.91,1.91,23.06,48,0.2936,78,"2022-05-29","Charles Schwab"
"5","Will Zalatoris",22818977,10100,72.62,0.0334,0.0312,7,-0.0022,-0.0659,70.28,9.3,91.5,29.93,0.7769,0.015,0.4974,0.3749,0.2202,0.122,0.0777,0.0266,100,3.09,-1.36,-0.79,8,0.1094,19.5,"2022-05-29","Charles Schwab"
"6","Viktor Hovland",22818978,10000,92.47,0.0427,0.0426,5,-0.000100000000000003,-0.0023,72.83,19.7,91,31.93,0.7742,0.0141,0.4967,0.372,0.2203,0.1262,0.0803,0.03,21,4.26,-0.02,3.79,24,0.1775,65,"2022-05-29","Charles Schwab"
"7","Sam Burns",22818979,9700,77.43,0.0295,0.0325,6,0.003,0.1017,68.93,13.2,88.5,29.43,0.7462,0.0208,0.4426,0.3259,0.1848,0.1006,0.0636,0.0231,1,3.35,-0.45,9.91,24,0.1021,108,"2022-05-29","Charles Schwab"
"8","Max Homa",22818980,9400,75.23,0.0222,0.0279,9,0.0057,0.2568,65.84,16.1,87,28,0.7414,0.0128,0.4304,0.3144,0.1762,0.0932,0.0578,0.0198,23,2.97,-0.42,15.54,32,0.1396,64.5,"2022-05-29","Charles Schwab"
"9","Abraham Ancer",22818981,9300,65.28,0.0192,0.024,12,0.0048,0.25,64.06,20.7,85,27,0.7098,0.01,0.3786,0.2628,0.139,0.07,0.0422,0.014,100,2.58,-0.68,13.65,34,0.1341,23.5,"2022-05-29","Charles Schwab"
"10","Sungjae Im",22818982,9200,81.43,0.0263,0.0298,8,0.0035,0.1331,72.06,13.6,91,50,0.7936,0.026,0.5228,0.4009,0.2424,0.1391,0.0919,0.0341,15,3.24,0.1,11.1,24,0.1504,69,"2022-05-29","Charles Schwab"
"11","Tony Finau",22818983,9100,64.43,0.0226,0.024,12,0.0014,0.0619,67.84,14.6,88,29,0.762,0.0141,0.4633,0.3388,0.1926,0.1031,0.0649,0.0225,4,2.64,-0.38,6.7,22,0.0922,80,"2022-05-29","Charles Schwab"
"12","Daniel Berger",22818984,9000,72.22,0.0227,0.0239,13,0.0012,0.0529,72.94,13,91.5,53,0.7364,0.0111,0.4234,0.3008,0.1636,0.0876,0.0546,0.0183,23,2.66,-0.25,6.34,20,0.098,67.5,"2022-05-29","Charles Schwab"
"13","Talor Gooch",22818985,8900,78.76,0.0225,0.0255,10,0.003,0.1333,64.42,13.9,86.5,27,0.7525,0.0208,0.4482,0.3295,0.1854,0.1006,0.063,0.0214,27,2.87,0.06,10.09,24,0.1063,60,"2022-05-29","Charles Schwab"
"14","Tommy Fleetwood",22818986,8800,73.38,0.0186,0.0229,16,0.0043,0.2312,68.15,18.7,88,29,0.7534,0.0171,0.4399,0.3169,0.173,0.0902,0.0542,0.0186,35,2.6,-0.11,12.78,32,0.1676,53.5,"2022-05-29","Charles Schwab"
"15","Webb Simpson",22818987,8700,66.5,0.0195,0.0235,14,0.004,0.2051,64.95,9.4,85,28,0.696,0.0133,0.3512,0.2421,0.1239,0.0614,0.0356,0.0119,27,2.7,0.08,12.19,22,0.0998,59,"2022-05-29","Charles Schwab"
"16","Mito Pereira",22818988,8600,70.18,0.0156,0.0144,25,-0.0012,-0.0769,68.32,5.6,88.5,29,0.7165,0.0098,0.3894,0.2738,0.1419,0.0716,0.0425,0.0139,7,1.67,-0.87,1.36,6,0.0918,79,"2022-05-29","Charles Schwab"
"17","Billy Horschel",22818989,8500,76.46,0.0193,0.0181,22,-0.0012,-0.0622,63.19,10.1,84.5,27,0.7416,0.0171,0.4264,0.3046,0.1658,0.0869,0.054,0.0189,100,2.13,-0.33,1.52,12,0.1093,28,"2022-05-29","Charles Schwab"
"18","Davis Riley",22818990,8400,64.97,0.0086,0.0192,21,0.0106,1.2326,55.6,14.4,79.5,25.5,0.6256,0.0067,0.2647,0.1704,0.0793,0.0364,0.021,0.0059,4,2.29,-0.1,29.17,44,0.1362,91,"2022-05-29","Charles Schwab"
"19","Jason Kokrak",22818992,8200,70.46,0.0217,0.0203,20,-0.0014,-0.0645,63.39,8.8,84,27.5,0.7022,0.0157,0.3664,0.2549,0.135,0.0683,0.041,0.0134,67,2.48,0.23,1.29,10,0.15,50,"2022-05-29","Charles Schwab"
"20","Kevin Na",22818993,8100,62,0.0208,0.0234,15,0.0026,0.125,59.33,20.5,82,26,0.7469,0.0192,0.4393,0.3208,0.1815,0.0988,0.0612,0.0219,7,2.89,0.71,9.48,30,0.1753,76.5,"2022-05-29","Charles Schwab"
"21","Gary Woodland",22818995,7900,56.81,0.0119,0.0134,28,0.0015,0.1261,62.73,10.3,83.5,27,0.6819,0.0124,0.336,0.227,0.1147,0.0561,0.033,0.01,100,1.7,-0.31,6.97,18,0.1038,21.5,"2022-05-29","Charles Schwab"
"22","Chris Kirk",22818996,7900,64.03,0.0172,0.0221,17,0.0049,0.2849,67.47,20.1,88,28.5,0.7667,0.0141,0.4774,0.3546,0.2022,0.1128,0.0713,0.0244,15,2.8,0.79,14.36,34,0.1773,66,"2022-05-29","Charles Schwab"
