Player,Roster Position,%Drafted,FPTS
Jordan Spieth,G,27.55%,78
Brian Harman,G,20.55%,24
Harold Varner III,G,19.72%,77
Justin Thomas,G,18.27%,27.5
Kevin Na,G,17.76%,76.5
Chris Kirk,G,17.54%,66
Viktor Hovland,G,16.49%,65
Tommy Fleetwood,G,16.12%,53.5
Collin Morikawa,G,15.40%,53
Jason Kokrak,G,14.90%,50
Tom Hoge,G,14.75%,23.5
Sungjae Im,G,14.68%,69
Sebastian Munoz,G,14.45%,53.5
Scottie Scheffler,G,14.35%,89
Maverick McNealy,G,13.24%,28.5
Justin Rose,G,13.17%,23
Max Homa,G,12.52%,64.5
Abraham Ancer,G,12.50%,23.5
Davis Riley,G,12.14%,91
Gary Woodland,G,11.29%,21.5
Talor Gooch,G,11.04%,60
Daniel Berger,G,10.91%,67.5
Sam Burns,G,10.78%,108
Mito Pereira,G,10.61%,79
Billy Horschel,G,10.42%,28
Will Zalatoris,G,10.30%,19.5
Tony Finau,G,9.59%,80
Cameron Tringale,G,9.58%,27.5
Webb Simpson,G,9.13%,59
Troy Merritt,G,8.78%,49.5
C.T. Pan,G,8.78%,52.5
Ryan Palmer,G,6.71%,54
Stewart Cink,G,6.70%,33.5
Doug Ghim,G,6.24%,9
Matthew NeSmith,G,5.72%,50
Lucas Glover,G,5.65%,54
Patrick Reed,G,5.63%,72
Adam Long,G,5.45%,50.5
Austin Smotherman,G,5.23%,52.5
Denny McCarthy,G,5.19%,62
Kyoung-Hoon Lee,G,5.04%,29.5
Joel Dahmen,G,5.02%,48.5
Mark Hubbard,G,4.90%,51.5
J.T. Poston,G,4.61%,21.5
Christiaan Bezuidenhout,G,4.55%,63
Kevin Kisner,G,4.47%,18.5
Kevin Streelman,G,4.20%,16
Rickie Fowler,G,4.14%,53
David Lipsky,G,3.96%,56
Aaron Rai,G,3.76%,41.5
Erik Van Rooyen,G,3.75%,18.5
Sahith Theegala,G,3.71%,53
J.J. Spaun,G,3.62%,7.5
Nate Lashley,G,3.42%,23.5
Rory Sabbatini,G,3.34%,52.5
Russell Knox,G,3.32%,66.5
Patton Kizzire,G,3.07%,23.5
Kurt Kitayama,G,2.98%,61.5
Cameron Davis,G,2.46%,76.5
Patrick Rodgers,G,2.42%,60
Lucas Herbert,G,2.26%,56
Brendon Todd,G,2.21%,91.5
Ian Poulter,G,2.12%,58.5
Emiliano Grillo,G,2.06%,49
Peter Malnati,G,2.04%,22.5
Adam Schenk,G,1.95%,27
Stephan Jaeger,G,1.75%,25
Matthias Schwab,G,1.62%,51.5
James Hahn,G,1.32%,13
Alex Smalley,G,1.26%,61.5
Scott Stallings,G,1.08%,93.5
Beau Hossler,G,1.01%,68
Adam Svensson,G,0.97%,52
Brandon Wu,G,0.96%,16
Pat Perez,G,0.95%,68.5
Tyler Duncan,G,0.94%,66.5
Matt Jones,G,0.88%,73.5
Dylan Frittelli,G,0.79%,61
Nick Taylor,G,0.75%,65.5
Trey Mullinax,G,0.74%,15
Andrew Putnam,G,0.66%,69.5
Scott Piercy,G,0.65%,22.5
Charley Hoffman,G,0.64%,47.5
Doc Redman,G,0.63%,24
Chad Ramey,G,0.60%,62
Michael Thompson,G,0.60%,51
Vince Whaley,G,0.57%,22.5
Brian Stuard,G,0.57%,28
Taylor Moore,G,0.54%,16
Brandt Snedeker,G,0.53%,52.5
Luke Donald,G,0.53%,56
Carlos Ortiz,G,0.50%,31.5
Kramer Hickok,G,0.50%,22
Robert Streb,G,0.49%,17.5
Chez Reavie,G,0.45%,60.5
Richard Bland,G,0.41%,16
Danny Lee,G,0.39%,70
Wyndham Clark,G,0.38%,26.5
Sam Ryder,G,0.38%,22
Harry Higgs,G,0.37%,37.5
Lee Hodges,G,0.28%,59
Greyson Sigg,G,0.27%,19
Zach Johnson,G,0.25%,62
Min Woo Lee,G,0.22%,26.5
Hayden Buckley,G,0.21%,12
Bill Haas,G,0.19%,61.5
Paul Barjon,G,0.16%,20.5
John Huh,G,0.15%,73
Kevin Tway,G,0.12%,17.5
Garrick Higgo,G,0.10%,17
Nick Watney,G,0.09%,23
Ryan Brehm,G,0.09%,25
Camilo Villegas,G,0.07%,25
Martin Trainer,G,0.07%,51.5
Bryson DeChambeau,G,0.05%,0
Jason Dufner,G,0.04%,29
John Pak,G,0.04%,14.5
Erik Compton,G,0.04%,16
Max McGreevy,G,0.03%,46.5
Tyler Strafaci,G,0.03%,15.5
Bubba Watson,G,0.03%,0
James Piot,G,0.01%,17.5
