course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.6439,-0.004,-0.019,-0.063,-0.003
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.019,-0.021,-0.012
"Torrey Pines (South)",72,7577,486,194,1.14,0.1,0.17,-0.24,288.3,15.7,0.6058,-0.019,0.009,0.002,-0.02
"Quail Hollow Club (PGA Championship)",71,7488,476,208,2.84,0.23,0.25,-0.26,290.5,19.1,0.6482,-0.017,-0.05,-0.017,0.026
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6788,0.008,0.004,0.018,0
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.665,0.01,0.033,0.026,0.014
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5703,0.01,-0.007,-0.054,-0.05
"Augusta National Golf Club",72,7444,479,183,2.1,0.19,0.24,-0.26,292,20.9,0.6931,-0.023,-0.073,-0.052,0.015
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6871,0.012,0.005,0.056,0.043
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.4,20.9,0.6198,-0.007,-0.022,-0.045,0.033
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.637,-0.008,0.028,0.042,0.017
"Quail Hollow Club",71,7409,474,195,0.93,0.15,0.12,-0.29,295.2,20.4,0.5815,-0.011,0.009,-0.014,0.024
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.071,-0.017,-0.068
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.6295,0.006,-0.077,0.004,0.014
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.5,19.7,0.7166,0.002,0.044,0.086,0.07
"Bay Hill Club &amp; Lodge",72,7355,465,210,1.02,0.18,0.15,-0.3,280.3,18.3,0.6785,0.002,0.001,-0.048,-0.023
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.6391,-0.01,-0.001,-0.032,0.001
"Vidanta Vallarta",71,7341,496,182,-1.12,0.04,0.04,-0.41,299.5,17.3,0.627,-0.001,0.074,0.029,0.037
"Plantation Course at Kapalua",73,7337,451,190,-2.04,0.07,-0.03,-0.48,290.5,20.1,0.7876,-0.007,0.019,0,0.095
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.5774,0.002,-0.007,-0.019,0.021
"Congaree Golf Club",71,7336,471,190,0.12,0.11,0.04,-0.26,304.8,21.3,0.6947,-0.006,-0.037,-0.015,0.08
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.002,-0.02,-0.005,-0.032
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6408,0.011,0.038,0.023,-0.056
"Muirfield Village Golf Club",72,7315,469,186,0.75,0.17,0.11,-0.26,286,17.3,0.7125,0,-0.052,-0.034,0.002
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.6632,0.01,-0.079,-0.029,0.017
"Detroit Golf Club",72,7311,470,182,-1.9,0,-0.05,-0.35,295,19.8,0.7074,-0.004,0.006,0.037,0.041
"Muirfield Village Golf Club (Workday)",72,7311,470,187,0.07,0.16,0.05,-0.27,292.2,19.4,0.6625,0.004,-0.05,-0.013,0.001
"TPC San Antonio (Oaks Course)",72,7305,468,187,0.44,0.07,0.09,-0.19,288.9,18.7,0.6366,-0.001,-0.007,-0.025,-0.019
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.7408,0.01,0.024,0.05,0.008
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6586,-0.001,0.002,-0.047,-0.012
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.02,0.026,-0.034
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.6387,-0.023,0.004,0.005,0.062
"Olympia Fields CC (North)",70,7284,465,194,2.66,0.16,0.18,-0.09,297.1,23.9,0.5527,-0.006,-0.033,-0.035,-0.032
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.6575,-0.004,0.019,0.042,-0.019
"East Lake Golf Club",70,7277,461,205,0.82,0.14,0.09,-0.42,289.3,16.5,0.6188,0.014,0.007,0.001,0.005
"TPC Scottsdale",71,7275,467,183,-0.32,0.04,0.05,-0.34,299.6,17.8,0.6214,0.008,-0.004,0,0.03
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6907,-0.003,-0.028,0.051,0.034
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.6,16.3,0.6951,0.011,0.053,0.041,0.041
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6946,0.004,0.008,0.029,0.004
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.701,-0.013,-0.01,-0.002,0.019
"The Riviera Country Club",71,7241,463,190,0.68,0.09,0.14,-0.41,285.5,19.9,0.5178,-0.016,0.01,0.015,-0.031
"TPC Twin Cities",71,7217,462,193,-1.32,0,-0.02,-0.36,292.5,16.2,0.6974,0.017,0.011,0.029,0.02
"Liberty National Golf Club",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6817,0.009,0.027,0.007,-0.017
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5828,0.007,0.007,-0.045,0.038
"Country Club of Jackson",72,7196,461,186,-1.39,0.01,-0.02,-0.29,285.6,17.7,0.6272,0.001,0.02,0.016,0.001
