player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ben Jones,7099,C,HST,10,100.0,0,13,74.7,76.1,74.8,2,13,456,100.0,100.0,98.1,4,16,1,760,760,0,0,760,480,480,0,0,280,0
Derek Newton,6366,T,HST,10,100.0,1,13,73.0,67.4,76.1,5,19,454,100.0,100.0,96.9,4,26,2,754,0,85,30,754,478,478,200,439,276,0
Jason Kelce,6343,C,PHI,10,100.0,2,24,71.6,76.5,70.9,2,5,427,100.0,100.0,98.9,11,8,1,748,748,0,0,748,458,458,0,0,290,0
Lane Johnson,7786,T,PHI,10,100.0,2,24,69.5,68.9,75.2,6,10,427,100.0,100.0,97.2,9,20,4,748,0,0,192,748,458,458,0,554,290,1
Allen Barbre,3735,G,PHI,10,100.0,2,24,60.3,60.8,59.7,4,26,427,100.0,100.0,96.3,4,31,1,748,0,748,0,748,458,458,0,0,290,0
Chris Chester,3001,G,ATL,10,100.0,0,2,79.1,68.3,78.6,3,16,431,100.0,100.0,96.9,2,23,4,741,0,0,0,741,462,462,741,0,279,0
Ryan Schraeder,8496,T,ATL,10,100.0,0,2,74.7,78.4,66.3,2,12,431,100.0,100.0,97.9,4,16,2,741,0,0,0,741,462,462,0,741,279,0
Zach Strief,3155,T,NO,10,100.0,0,20,70.7,71.0,66.4,4,9,434,100.0,100.0,97.1,6,19,6,735,0,0,0,735,465,465,0,733,270,0
Max Unger,4972,C,NO,10,99.9,0,20,70.5,81.0,64.1,1,10,433,99.8,99.8,98.5,1,12,1,732,732,0,0,733,463,464,0,0,269,0
Andy Levitre,4974,G,ATL,10,100.0,0,2,70.5,66.9,70.5,4,22,431,100.0,100.0,96.8,7,27,1,728,0,728,0,728,462,462,0,0,266,0
Jake Matthews,8641,T,ATL,10,100.0,0,2,79.7,80.7,70.7,2,22,431,100.0,100.0,97.0,4,25,1,728,0,0,728,728,462,462,0,0,266,0
