player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Alfred Morris,7165,HB,WAS,2,43,2,1,19.4,35,0,180,0,0,2,103,10.6,5,8,32,0,14,82.3,64.5,75.5,,72.4,63.4,63.0,60.0,35,0,13,2,19,48,0,0,2,45,0,180,103,2.4,4.2,0.68,27
DeAngelo Williams,2972,HB,PIT,2,41,8,3,30.4,62,0,204,1,1,8,109,52.0,7,11,25,0,16,82.2,73.1,79.2,,81.9,45.3,79.9,60.0,28,0,20,5,56,45,0,0,6,46,3,204,109,2.66,5.0,0.36,23
Carlos Hyde,8692,HB,SF,2,39,11,2,16.6,35,0,211,0,3,11,123,98.1,7,14,28,0,4,82.3,82.6,77.2,,83.5,75.2,79.0,60.2,18,0,32,6,32,52,0,0,6,45,2,211,123,3.15,5.4,1.0,35
Adrian Peterson,3623,HB,MIN,2,39,2,2,26.7,44,0,165,0,3,2,64,18.6,4,9,18,2,20,20.4,59.3,79.6,,19.2,74.2,59.8,60.0,25,0,79,5,33,43,0,0,5,44,0,165,64,1.64,4.2,2.39,17
Matt Forte,4358,HB,CHI,2,39,7,4,45.5,92,0,202,1,1,7,93,39.7,5,10,6,0,14,81.8,63.1,80.9,,84.4,63.6,60.8,60.1,27,0,69,9,51,43,0,0,12,48,1,202,93,2.38,5.2,1.35,25
T.J. Yeldon,9469,HB,JAX,2,37,6,0,0.0,0,0,121,0,1,6,70,30.8,4,5,15,0,11,81.3,67.7,80.1,,81.8,70.0,63.9,60.0,14,0,29,6,41,39,0,0,8,43,0,121,70,1.89,3.3,0.71,25
Jamaal Charles,4387,HB,KC,2,37,6,1,18.7,34,0,182,0,1,6,79,32.5,6,7,16,2,20,24.1,67.7,81.3,,85.2,61.9,66.1,60.0,34,0,48,9,39,47,0,0,11,46,1,182,79,2.14,4.9,1.23,15
Jonathan Stewart,4327,HB,CAR,2,35,8,1,18.6,22,0,118,0,1,8,67,43.1,3,3,5,0,17,80.9,59.5,79.8,,87.4,65.7,53.8,69.5,22,0,22,5,37,47,0,0,5,40,0,118,67,1.91,3.4,0.59,18
Chris Ivory,6007,HB,NYJ,2,34,7,3,36.5,54,0,148,0,0,7,96,53.4,6,7,22,0,11,80.5,65.5,76.2,,81.0,60.4,64.2,60.0,19,0,12,3,18,35,0,0,3,37,2,148,96,2.82,4.4,0.67,23
Joseph Randle,7933,HB,DAL,2,34,5,1,12.9,15,0,116,0,0,5,86,33.3,1,3,9,1,11,34.2,67.5,74.8,,52.5,85.3,62.9,60.0,15,0,56,4,15,37,0,0,4,38,0,116,86,2.53,3.4,3.73,23
Marshawn Lynch,3628,HB,SEA,2,32,9,1,21.1,24,0,109,1,5,9,72,78.8,4,9,29,0,3,80.9,73.9,81.3,,60.1,58.8,78.1,60.0,24,0,52,8,55,40,5,1,13,40,0,114,73,2.21,3.5,0.95,29
LeSean McCoy,4976,HB,BUF,2,32,4,3,37.7,49,0,130,0,0,4,45,14.8,5,7,4,0,19,81.2,65.4,79.6,,20.0,79.4,63.9,57.4,18,0,73,6,37,42,0,0,8,38,0,130,45,1.41,4.1,1.97,12
Doug Martin,7035,HB,TB,2,32,8,1,15.4,20,0,130,0,0,8,86,61.4,5,4,30,1,12,33.5,71.8,75.2,,83.6,63.5,70.0,60.0,20,0,22,3,22,37,0,0,3,35,0,130,86,2.69,4.1,1.0,20
Chris Johnson,4338,HB,ARZ,2,30,4,0,0.0,0,0,109,0,0,4,53,23.6,1,5,1,0,25,79.7,54.8,73.7,,80.9,51.8,55.5,60.0,12,0,0,0,13,32,0,0,2,30,0,109,53,1.77,3.6,0.0,5
