player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,12,0,0,23,55.7,0,0,2,0.5,0.0,0,0,0.0,0,546,3,0,0,56.1,0,0,1,0.8,0.0,0,0.0,0,243,2,0
Julius Peppers,1010,ED,GB,12,0,1,12,72.3,8,28,323,89.9,14.6,47,3,8.0,8,377,339,44,0,72.1,7,19,184,92.8,18.5,34,9.8,5,208,193,31
Dwight Freeney,1019,ED,ARZ,7,0,0,1,62.2,3,14,131,94.5,15.3,20,0,8.8,3,146,138,20,0,68.1,3,10,73,96.3,20.5,15,11.6,2,81,78,15
James Harrison,1251,ED,PIT,11,1,0,25,84.0,7,21,195,76.2,20.5,40,2,9.7,5,269,205,33,0,90.1,5,13,88,79.3,31.8,28,15.9,5,116,92,23
Kevin Williams,1325,DI,NO,12,1,0,20,66.2,2,17,190,100.0,10.0,19,2,5.0,0,205,205,19,1,70.0,1,5,56,100.0,12.5,7,5.4,0,62,62,6
Terrell Suggs,1326,ED,BLT,1,0,0,3,64.3,0,1,27,79.4,14.8,4,0,1.9,0,34,27,1,0,63.2,0,0,13,81.3,15.4,2,0.0,0,16,13,0
Calvin Pace,1334,ED,NYJ,12,0,0,22,61.5,4,8,173,75.6,8.7,15,0,4.6,2,242,183,14,0,56.6,3,5,81,84.6,13.6,11,4.9,0,104,88,8
Charles Tillman,1351,CB,CAR,9,0,0,5,49.4,0,0,6,1.6,0.0,0,1,0.0,0,380,6,0,0,54.3,0,0,3,1.4,0.0,0,0.0,0,216,3,0
Rashean Mathis,1355,CB,DET,7,0,0,11,54.7,0,0,2,0.8,0.0,0,1,0.0,0,250,2,0,0,54.7,0,0,2,1.9,0.0,0,0.0,0,106,2,0
Cory Redding,1381,DI,ARZ,9,0,1,1,54.6,0,5,94,100.0,5.3,5,2,2.7,0,100,100,5,0,54.9,0,1,32,100.0,3.1,1,1.6,0,34,34,1
Robert Mathis,1447,ED,IND,11,0,0,14,61.1,7,13,221,86.9,12.2,27,2,6.3,4,274,238,24,0,63.9,5,11,113,89.7,19.5,22,8.8,2,136,122,18
Chris Clemons,1585,ED,JAX,12,1,0,15,47.9,5,10,335,97.0,6.3,21,4,2.8,2,372,361,17,1,54.1,4,8,177,99.5,9.0,16,4.5,2,190,189,14
Colin Cole,1589,DI,CAR,2,0,0,5,56.8,0,1,32,100.0,6.3,2,0,1.6,0,34,34,1,0,61.3,0,1,16,100.0,12.5,2,3.1,0,17,17,1
Cullen Jenkins,1637,DI,NYG,12,1,0,21,64.0,5,18,358,97.5,8.1,29,2,4.1,3,397,387,26,1,65.6,5,12,172,97.4,11.6,20,6.1,2,193,188,19
DeAngelo Hall,1729,CB,WAS,7,0,0,32,60.0,0,0,1,0.6,100.0,1,2,0.0,0,172,1,0,0,,0,0,0,0.0,,0,,0,78,0,0
Vince Wilfork,1742,DI,HST,12,0,0,13,55.9,1,6,197,100.0,4.6,9,1,1.8,0,214,214,7,0,49.6,0,1,53,100.0,3.8,2,0.9,0,58,58,1
Jason Babin,1748,ED,BLT,2,0,0,3,53.5,1,1,22,88.9,9.1,2,3,4.5,0,27,24,2,0,54.9,1,1,18,95.0,11.1,2,5.6,0,20,19,2
Karlos Dansby,1754,LB,CLV,12,1,0,8,62.6,1,4,55,14.0,7.3,4,1,4.5,0,444,62,5,0,71.1,1,2,20,14.9,5.0,1,7.5,0,168,25,3
Daryl Smith,1760,LB,BLT,12,0,0,3,60.1,1,6,57,13.2,15.8,9,0,11.4,3,470,62,10,0,67.2,1,3,26,16.8,26.9,7,19.2,3,179,30,7
Dwan Edwards,1772,DI,CAR,8,0,0,5,51.2,1,7,185,98.0,4.9,9,0,2.7,1,197,193,9,0,49.6,1,6,101,100.0,5.9,6,3.5,0,106,106,7
Randy Starks,1792,DI,CLV,11,0,1,8,59.4,2,10,188,98.5,7.4,14,3,3.7,1,202,199,13,0,67.1,1,8,75,100.0,14.7,11,7.3,1,83,83,10
Will Allen,1832,S,PIT,9,0,0,25,71.9,0,2,17,5.0,11.8,2,1,17.6,2,338,17,4,0,74.5,0,2,6,5.1,33.3,2,33.3,1,117,6,3
Jared Allen,1847,ED,CAR,11,3,0,5,55.9,15,8,282,94.3,10.3,29,2,5.1,3,315,297,26,1,58.4,10,7,158,97.1,13.3,21,7.3,3,173,168,20
Antonio Smith,1856,DI,DEN,12,2,1,10,60.7,5,17,218,100.0,11.0,24,1,6.4,3,236,236,25,2,60.9,3,12,122,100.0,14.8,18,8.6,3,136,136,18
Mike Adams,1972,S,IND,9,0,0,14,51.5,0,2,6,1.8,16.7,1,1,16.7,0,336,6,2,0,52.6,0,2,4,2.9,25.0,1,25.0,0,139,4,2
Antrel Rolle,2225,S,CHI,7,0,0,6,57.7,0,1,2,0.8,0.0,0,0,25.0,0,236,2,1,0,58.7,0,0,1,1.0,0.0,0,0.0,0,105,1,0
DeMarcus Ware,2228,ED,DEN,7,0,1,10,90.3,9,14,150,86.5,19.3,29,4,12.3,7,185,160,30,0,81.7,4,8,66,88.6,24.2,16,16.7,5,79,70,17
Thomas Davis Sr.,2231,LB,CAR,12,0,0,5,69.7,3,9,79,15.4,13.9,11,1,13.9,5,525,81,17,0,64.5,1,4,37,13.7,13.5,5,14.9,3,285,39,8
Derrick Johnson,2232,LB,KC,12,0,0,16,52.7,1,7,58,11.9,5.2,3,2,13.8,4,528,63,12,0,51.6,0,4,34,14.5,0.0,0,11.8,2,262,38,6
Jonathan Babineaux,2276,DI,ATL,12,1,0,2,63.8,7,15,270,95.8,10.7,29,0,4.1,0,306,293,22,0,67.3,6,12,168,100.0,14.9,25,5.4,0,180,180,18
Justin Tuck,2291,DI,OAK,5,3,0,23,60.3,5,3,155,99.4,7.1,11,0,3.2,1,167,166,9,1,57.5,2,3,85,100.0,8.2,7,4.1,1,93,93,6
Chris Canty,2349,DI,BLT,8,1,0,3,62.7,3,8,142,99.3,7.7,11,0,4.6,1,153,152,12,0,67.4,3,2,45,98.0,13.3,6,7.8,1,51,50,6
Trent Cole,2363,ED,IND,11,2,1,14,61.8,6,20,228,87.4,12.3,28,3,6.1,1,278,243,27,0,57.3,4,11,102,95.7,15.7,16,7.4,0,115,110,15
C.J. Mosley,2408,DI,MIA,11,0,0,17,57.5,3,4,115,99.2,7.0,8,2,3.0,0,127,126,7,0,63.2,3,3,53,100.0,13.2,7,5.7,0,59,59,6
Jay Ratliff,2441,DI,CHI,2,0,0,6,50.2,1,1,45,100.0,4.4,2,0,2.2,0,47,47,2,0,49.2,0,1,19,100.0,5.3,1,2.6,0,19,19,1
Brandon Browner,2512,CB,NO,12,0,1,20,49.7,0,0,7,1.4,0.0,0,19,0.0,0,488,7,0,0,52.7,0,0,3,1.4,0.0,0,0.0,0,220,3,0
Ahmad Brooks,2945,ED,SF,10,0,1,28,49.1,3,20,219,72.0,10.5,23,7,7.1,4,322,232,27,0,53.4,2,9,106,85.7,13.2,14,8.0,3,133,114,14
Mario Williams,2946,ED,BUF,11,1,0,4,50.6,6,23,385,96.1,8.1,31,0,4.5,3,436,419,32,0,53.1,2,8,124,96.5,11.3,14,4.8,1,143,138,11
A.J. Hawk,2950,LB,CIN,12,0,0,7,67.1,0,0,5,4.5,0.0,0,0,20.0,1,110,5,1,0,59.1,0,0,1,4.3,0.0,0,0.0,0,23,1,0
Donte Whitner,2953,S,CLV,10,0,0,8,57.9,0,1,12,3.7,16.7,2,0,12.5,1,354,13,2,0,61.6,0,0,5,4.5,20.0,1,20.0,1,133,6,1
Haloti Ngata,2957,DI,DET,10,2,0,11,65.2,4,15,246,98.5,8.1,20,1,4.7,2,267,263,21,0,70.5,3,13,115,99.2,14.8,17,8.7,2,131,130,18
Chad Greenway,2962,LB,MIN,12,0,1,18,51.8,1,2,20,9.8,15.0,3,2,17.5,2,225,22,5,0,50.4,1,2,6,8.9,50.0,3,41.7,1,79,7,4
Tamba Hali,2965,ED,KC,12,0,1,16,86.3,9,48,384,86.0,19.5,75,1,9.2,7,477,410,64,0,90.8,7,28,199,91.6,26.1,52,12.3,7,239,219,42
Manny Lawson,2967,LB,BUF,12,0,0,4,46.2,2,4,88,34.9,6.8,6,1,4.5,1,269,94,7,0,50.7,2,0,27,41.7,11.1,3,7.4,1,72,30,3
DeMeco Ryans,2978,LB,PHI,10,0,0,24,50.6,1,2,37,18.6,2.7,1,2,4.1,0,220,41,3,0,49.3,0,1,13,18.4,7.7,1,3.8,0,87,16,1
D'Qwell Jackson,2979,LB,IND,12,0,0,14,43.9,0,9,93,20.4,5.4,5,2,5.9,1,494,101,10,0,45.8,0,4,40,22.1,7.5,3,5.0,0,195,43,4
Roman Harper,2988,S,CAR,12,0,0,5,50.3,1,3,13,2.7,0.0,0,2,15.4,0,475,13,4,0,52.5,1,1,4,1.6,0.0,0,25.0,0,254,4,2
Darryl Tapp,3008,ED,DET,12,0,0,11,59.8,4,6,157,100.0,9.6,15,0,4.5,2,165,165,12,0,61.2,1,3,39,100.0,12.8,5,7.7,1,43,43,5
James Anderson,3033,LB,NO,1,0,0,20,67.8,1,0,7,17.8,28.6,2,0,7.1,0,45,8,1,0,67.5,1,0,2,16.7,50.0,1,25.0,0,18,3,1
Frostee Rucker,3036,DI,ARZ,10,0,0,1,62.4,8,12,229,99.2,9.2,21,1,5.2,2,250,248,22,0,65.6,2,8,93,100.0,14.0,13,7.5,2,100,100,12
Jason Hatcher,3037,DI,WAS,12,1,0,32,75.6,8,31,285,100.0,15.8,45,1,7.2,1,303,303,40,0,90.0,8,25,132,100.0,28.0,37,13.3,1,140,140,34
Will Blackmon,3060,CB,WAS,11,0,0,32,59.1,0,0,1,0.3,0.0,0,2,0.0,0,319,1,0,0,59.1,0,0,1,0.8,0.0,0,0.0,0,132,1,0
Stephen Tulloch,3061,LB,DET,12,0,0,11,63.0,3,2,26,9.5,7.7,2,0,13.5,1,295,28,6,0,66.6,2,0,7,10.0,14.3,1,14.3,0,90,9,2
Domata Peko Sr.,3068,DI,CIN,12,1,0,7,61.4,1,2,192,100.0,6.3,12,2,2.9,4,202,202,7,0,63.3,1,1,49,100.0,8.2,4,4.1,1,50,50,3
Elvis Dumervil,3071,ED,BLT,12,2,0,3,79.6,14,33,331,92.4,15.7,52,4,9.2,7,381,352,54,2,83.8,3,19,134,96.7,20.9,28,11.2,4,152,147,26
Kyle Williams,3079,DI,BUF,6,0,0,4,59.9,5,7,206,93.7,7.3,15,2,3.4,1,237,222,13,0,61.7,2,6,69,98.7,14.5,10,7.2,1,77,76,9
Rob Ninkovich,3080,ED,NE,12,4,0,19,55.2,9,19,357,81.1,9.0,32,0,5.6,6,471,382,34,0,58.4,6,8,170,87.1,11.8,20,7.1,5,209,182,19
Jeremy Mincey,3136,ED,DAL,11,0,0,9,57.9,3,13,180,98.5,10.0,18,1,4.4,0,198,195,16,0,59.4,2,8,70,98.8,15.7,11,7.1,0,80,79,10
Kedric Golston,3141,DI,WAS,11,0,0,32,59.2,0,3,52,100.0,5.8,3,0,2.9,0,57,57,3,0,63.8,0,1,6,100.0,16.7,1,8.3,0,7,7,1
Antoine Bethea,3152,S,SF,7,0,0,28,91.1,2,1,9,3.6,22.2,2,2,27.8,1,276,10,4,0,92.3,1,1,4,3.4,50.0,2,50.0,1,117,4,3
Cortland Finnegan,3160,CB,CAR,1,0,0,5,90.0,1,1,3,11.5,66.7,2,0,33.3,0,26,3,2,0,90.0,1,1,3,17.6,66.7,2,33.3,0,17,3,2
Stephen Bowen,3242,DI,NYJ,11,0,0,22,61.7,0,5,55,100.0,10.9,6,0,4.5,0,59,59,5,0,66.0,0,4,22,100.0,18.2,4,9.1,0,24,24,4
Tom Johnson,3378,DI,MIN,12,0,0,18,64.1,9,24,316,99.7,11.4,36,2,5.9,2,343,342,35,0,68.0,5,18,151,100.0,17.2,26,7.6,0,165,165,23
