player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Matt Forte,4358,HB,CHI,4,84,10,4,25.1,92,0,367,1,3,10,182,29.0,11,17,6,1,38,62.6,57.9,83.6,,58.0,64.5,55.7,60.2,27,0,133,13,101,91,0,0,18,97,1,367,182,2.17,4.4,1.32,45
Adrian Peterson,3623,HB,MIN,4,75,11,5,41.9,156,0,372,0,3,11,182,40.4,9,16,18,2,47,26.0,69.6,81.3,,42.2,66.8,70.0,60.0,48,0,92,9,62,85,0,0,10,84,3,372,182,2.43,5.0,1.48,24
T.J. Yeldon,9469,HB,JAX,4,70,11,1,13.9,36,0,259,1,2,11,142,33.0,6,8,15,0,22,85.6,61.7,82.4,,75.7,55.6,61.3,60.0,36,0,42,10,96,78,0,0,14,80,0,259,142,2.03,3.7,0.44,45
Chris Johnson,4338,HB,ARZ,4,68,13,4,28.1,85,0,302,1,0,13,186,49.4,8,15,1,0,49,85.2,55.4,76.9,,36.5,48.7,58.2,60.0,30,0,51,4,37,72,0,0,7,72,2,302,186,2.74,4.4,1.38,19
Latavius Murray,7962,HB,OAK,4,67,10,2,24.9,74,0,297,2,6,10,162,47.8,3,10,23,0,29,85.5,71.3,82.5,,57.7,56.8,74.6,60.0,54,0,80,14,79,72,0,0,16,81,2,297,162,2.42,4.4,1.01,34
Doug Martin,7035,HB,TB,4,66,13,4,30.9,87,0,282,0,3,13,162,53.1,10,11,30,1,26,56.4,80.5,78.0,,87.6,71.7,76.9,60.0,26,0,59,8,42,72,0,0,8,74,1,282,162,2.45,4.3,1.4,38
Justin Forsett,4547,HB,BLT,4,66,11,5,38.7,106,0,274,1,2,11,133,33.6,9,18,3,0,12,85.6,61.0,81.7,,49.6,47.9,65.9,60.0,33,1,41,12,93,74,0,0,14,78,0,274,133,2.02,4.2,0.44,51
Devonta Freeman,8738,HB,ATL,4,66,12,5,34.9,88,0,252,2,9,12,134,51.4,6,16,2,0,9,58.4,72.1,81.4,,64.1,76.9,68.0,60.0,23,0,196,17,83,71,0,0,22,83,7,252,134,2.03,3.8,2.36,52
Alfred Morris,7165,HB,WAS,4,66,2,2,19.5,51,0,261,0,0,2,149,6.5,7,10,32,0,18,85.3,57.9,77.6,,61.8,60.7,57.5,60.0,35,0,16,4,32,75,0,0,4,70,0,261,149,2.26,4.0,0.5,46
Chris Ivory,6007,HB,NYJ,3,63,15,5,30.3,95,0,314,0,0,15,206,74.3,11,16,22,0,30,84.5,80.6,78.8,,84.4,57.2,78.9,60.0,24,0,12,3,30,70,0,0,4,66,3,314,206,3.27,5.0,0.4,33
Carlos Hyde,8692,HB,SF,4,62,18,2,12.4,35,0,282,0,3,18,201,97.3,10,16,28,0,7,85.1,82.6,79.2,,74.2,74.8,79.6,61.4,18,0,44,8,58,82,0,0,8,70,2,282,201,3.24,4.5,0.76,55
Jamaal Charles,4387,HB,KC,4,59,13,2,19.0,58,0,306,0,3,13,145,49.8,11,18,16,2,35,28.8,71.1,84.8,,82.8,65.5,70.8,60.1,34,0,151,20,119,71,0,0,24,79,4,306,145,2.46,5.2,1.27,22
Joseph Randle,7933,HB,DAL,4,59,11,4,43.7,100,0,229,0,0,11,180,51.6,5,11,9,1,20,52.0,71.8,77.3,,68.1,81.0,67.4,60.0,37,0,74,6,26,62,0,0,6,65,4,229,180,3.05,3.9,2.85,39
Jonathan Stewart,4327,HB,CAR,4,59,16,1,10.0,22,0,220,0,1,16,124,55.8,6,7,5,1,32,51.6,58.0,82.1,,89.5,59.3,54.1,68.4,22,0,22,5,64,80,0,0,5,64,1,220,124,2.1,3.7,0.34,25
Mark Ingram II,6180,HB,NO,4,56,12,1,7.4,15,0,204,0,6,12,124,51.1,4,12,20,1,24,57.3,68.4,80.3,,86.9,67.3,66.0,71.1,15,0,203,22,93,63,0,0,23,78,2,204,124,2.21,3.6,2.18,31
Melvin Gordon III,9448,HB,SD,4,56,11,4,42.1,96,0,228,0,2,11,156,58.4,6,11,27,1,7,50.2,71.5,80.7,,76.2,62.9,70.4,60.0,27,0,34,6,44,61,0,0,6,62,0,228,156,2.79,4.1,0.77,38
Frank Gore,2282,HB,IND,4,54,6,4,36.6,83,0,227,1,7,6,104,39.7,5,13,14,2,32,26.6,52.0,82.4,,71.5,54.3,50.1,60.0,25,0,46,9,70,64,0,0,12,63,2,227,104,1.93,4.2,0.66,21
Giovani Bernard,7818,HB,CIN,4,54,12,3,23.6,70,0,297,0,3,12,150,63.1,9,15,7,0,25,86.5,76.7,7.9,,64.4,74.8,75.1,60.0,28,1,75,12,48,64,0,0,13,66,1,297,150,2.78,5.5,1.56,25
Alfred Blue,8816,HB,HST,4,51,6,1,9.8,20,0,204,0,0,6,114,25.3,5,11,13,1,6,45.6,60.0,78.1,,67.0,48.8,62.3,60.0,20,0,11,2,40,55,0,0,3,53,1,204,114,2.24,4.0,0.28,42
Eddie Lacy,7842,HB,GB,4,50,7,3,20.0,46,0,230,0,1,7,136,38.9,7,12,12,0,10,83.3,75.9,80.1,,85.9,67.6,74.0,60.0,16,0,58,6,48,55,0,0,8,56,1,230,136,2.72,4.6,1.21,39
Jeremy Hill,8690,HB,CIN,4,50,7,0,0.0,0,0,163,0,0,7,80,22.0,3,13,7,2,20,26.4,65.5,79.4,,84.3,49.6,66.3,60.0,11,0,2,1,37,56,0,0,1,51,5,163,80,1.6,3.3,0.05,30
Isaiah Crowell,9295,HB,CLV,4,49,4,3,33.5,64,0,191,0,1,4,89,16.8,5,9,8,0,4,83.2,65.1,78.2,,54.6,66.6,62.9,72.4,32,1,75,5,42,53,0,0,5,54,1,191,89,1.82,3.9,1.79,44
James Starks,5716,HB,GB,4,48,6,1,22.3,35,0,157,0,2,6,110,33.3,3,10,12,1,10,45.6,61.3,80.7,,85.6,45.5,63.9,60.0,35,0,41,7,55,51,0,0,7,55,0,157,110,2.29,3.3,0.75,34
DeAngelo Williams,2972,HB,PIT,4,44,8,3,29.4,62,0,211,1,1,8,113,47.2,7,12,25,0,16,82.7,72.4,79.8,,82.8,44.8,78.9,60.0,28,0,20,5,60,50,0,0,6,49,3,211,113,2.57,4.8,0.33,24
Cam Newton,6153,QB,CAR,4,32,2,2,17.4,34,0,114,0,0,2,62,12.1,8,17,5,1,10,71.0,64.3,84.4,66.1,,,54.2,60.0,19,1,0,0,0,120,81,11,0,32,2,195,111,2.58,4.5,,11
LeSean McCoy,4976,HB,BUF,3,43,4,3,33.6,49,0,146,0,0,4,60,11.2,5,7,4,0,24,82.9,64.1,81.1,,37.1,82.1,59.9,57.0,18,0,83,7,52,55,0,0,10,50,0,146,60,1.4,3.4,1.6,18
