team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
OAK,23,8,317,9,36,317,90.4,53,8
CIN,7,8,287,3,50,287,89.4,57,4
DAL,9,8,290,7,45,290,89.3,57,5
NO,20,9,404,14,56,404,87.6,85,15
BUF,4,8,279,12,47,279,87.6,64,5
ATL,2,9,382,11,75,382,86.6,94,8
CAR,5,8,277,2,59,277,86.5,68,7
NYJ,22,8,318,14,69,318,86.0,86,3
HST,13,8,383,19,62,383,86.0,94,13
DEN,10,8,314,21,54,314,85.8,82,7
BLT,3,8,336,13,72,336,85.3,92,7
CLV,8,9,389,19,76,389,85.2,105,10
NYG,21,9,357,17,78,357,84.7,102,7
NE,19,8,350,20,64,350,84.6,96,12
TB,30,8,281,16,57,281,84.5,80,7
PHI,24,8,330,18,61,330,84.1,92,13
IND,14,9,410,26,87,410,83.8,123,10
CHI,6,8,312,8,77,312,83.8,93,8
WAS,32,8,320,18,72,320,83.7,97,7
GB,12,8,300,8,63,301,83.5,85,14
PIT,25,9,323,12,70,323,83.3,95,13
ARZ,1,8,276,15,66,276,82.8,88,7
MIN,18,8,273,14,64,273,82.8,86,8
SF,28,9,325,16,75,325,82.0,104,13
MIA,17,8,326,20,66,326,81.9,102,16
DET,11,8,372,24,93,372,81.0,129,12
SL,26,8,234,33,42,235,81.0,82,7
TEN,31,8,308,17,57,308,80.8,96,22
KC,16,8,325,7,81,325,80.6,107,19
SD,27,9,418,20,114,418,80.1,150,16
JAX,15,8,348,23,88,348,80.0,125,14
SEA,29,8,298,15,77,298,79.2,108,16
