player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Julio Jones,6158,WR,ATL,3,43,0,2,8.3,2,76.5,,0,0,0.0,0,11,0,80.6,94.3,0,45,0.0,0,45,13,93.3,42,155.1,17,39.5,3,203,95,7.3,15.6,4.83,0,9.3,1,85.7,,0,0,0.0,0,9,0,83.6,91.4,0,44,0.0,0,62,18,90.3,56,109.3,21,48.8,0,215,64,3.6,11.9,3.84
Julian Edelman,5156,WR,NE,3,41,0,19,7.4,3,68.4,,0,0,13.3,2,8,0,50.1,80.8,0,19,1.7,1,59,13,89.8,53,83.9,19,46.3,0,113,73,5.6,8.7,2.13,0,8.7,1,78.6,,0,0,8.3,1,5,0,60.6,65.0,0,19,1.7,1,59,11,89.8,53,100.3,14,34.1,0,113,40,3.6,10.3,2.13
DeAndre Hopkins,7808,WR,HST,3,39,0,13,13.7,0,50.0,,0,0,22.2,2,6,0,32.2,72.5,0,17,0.0,0,46,7,97.8,45,102.4,14,35.9,2,64,6,0.9,9.1,1.42,0,14.5,1,60.9,,0,0,0.0,0,11,0,80.6,73.1,2,29,0.0,0,107,14,95.3,102,49.2,23,59.0,0,180,19,1.4,12.9,1.76
Keenan Allen,7857,WR,SD,3,39,0,27,5.5,1,70.0,,0,0,12.5,1,3,0,54.9,66.3,0,20,0.0,0,27,7,96.3,26,86.3,10,25.6,0,62,31,4.4,8.9,2.38,0,8.8,5,75.9,,0,0,12.0,3,12,0,49.5,76.8,1,34,0.0,0,93,22,96.8,90,110.3,29,74.4,2,253,88,4.0,11.5,2.81
Steve Smith,837,WR,BLT,3,39,0,3,8.5,4,55.0,,0,0,0.0,0,8,1,60.6,83.7,1,23,0.0,0,42,11,85.7,36,70.2,20,51.3,1,127,34,3.1,11.5,3.53,0,8.3,5,77.8,,0,0,6.7,1,7,0,65.9,85.3,0,50,0.0,0,73,14,91.8,67,136.6,18,46.2,1,222,134,9.6,15.9,3.31
Demaryius Thomas,5547,WR,DEN,3,37,0,10,9.9,0,66.7,,0,0,7.7,1,7,1,61.8,70.3,1,22,0.0,0,51,12,96.1,49,65.5,18,48.6,0,134,22,1.8,11.2,2.73,0,8.9,1,64.7,,0,0,0.0,0,4,0,78.7,67.4,0,45,0.0,0,69,11,97.1,67,106.0,17,45.9,1,124,59,5.4,11.3,1.85
Antonio Brown,5718,WR,PIT,3,35,0,25,9.2,3,91.7,,0,0,0.0,0,8,0,79.4,93.9,0,37,0.0,0,28,11,85.7,24,116.0,12,34.3,0,142,51,4.6,12.9,5.92,0,11.9,3,76.2,,0,0,11.1,2,9,0,54.8,90.8,0,59,0.0,0,65,16,90.8,59,133.5,21,60.0,1,270,109,6.8,16.9,4.58
Emmanuel Sanders,5606,WR,DEN,3,33,0,10,13.5,0,63.6,,0,0,0.0,0,6,0,75.6,76.3,0,34,0.0,0,53,7,96.2,51,131.8,11,33.3,2,98,19,2.7,14.0,1.92,0,10.2,0,68.2,,0,0,6.3,1,10,0,65.6,73.7,0,18,0.0,0,77,15,96.1,74,85.6,22,66.7,0,141,33,2.2,9.4,1.91
Calvin Johnson,3618,WR,DET,3,33,0,11,7.5,0,86.7,,0,0,0.0,0,9,0,80.0,90.4,0,28,0.0,0,61,13,93.4,57,126.9,15,45.5,1,137,53,4.1,10.5,2.4,0,9.6,0,41.2,,0,0,12.5,1,4,0,54.5,60.2,2,18,0.0,0,75,7,94.7,71,12.0,17,51.5,0,62,21,3.0,8.9,0.87
Michael Crabtree,4933,WR,OAK,3,32,0,23,10.3,1,45.5,,0,0,0.0,0,2,0,73.4,64.6,0,7,0.0,0,25,5,92.0,23,52.5,11,34.4,0,23,12,2.4,4.6,1.0,0,11.5,3,68.4,,0,0,0.0,0,10,0,80.6,83.2,1,37,0.0,0,84,13,94.0,79,90.0,19,59.4,1,161,37,2.8,12.4,2.04
Jarvis Landry,8698,WR,MIA,3,32,0,17,4.3,1,50.0,,0,0,0.0,0,1,0,73.4,70.3,1,12,0.0,0,29,3,93.1,27,25.7,6,18.8,0,31,17,5.7,10.3,1.15,0,6.2,3,90.5,,0,0,5.0,1,10,0,69.6,85.3,1,36,0.0,0,89,19,97.8,87,86.3,21,65.6,0,199,93,4.9,10.5,2.29
Brandon Marshall,3064,WR,NYJ,3,32,0,22,13.6,2,73.3,,0,0,0.0,0,8,0,78.7,91.8,2,18,0.0,0,35,11,97.1,34,80.3,15,46.9,1,124,20,1.8,11.3,3.65,0,12.7,2,73.3,,0,0,8.3,1,7,2,60.2,60.2,2,42,0.0,0,82,11,96.3,79,86.7,15,46.9,1,147,49,4.5,13.4,1.86
Jordan Matthews,8677,WR,PHI,3,29,0,24,8.7,2,69.2,,0,0,10.0,1,6,0,56.7,72.6,0,32,0.0,0,46,9,89.1,41,96.0,13,44.8,0,113,78,8.7,12.6,2.76,0,5.4,1,81.3,,0,0,13.3,2,6,0,40.3,61.5,1,25,0.0,0,69,13,95.7,66,92.2,16,55.2,1,118,51,3.9,9.1,1.79
Larry Fitzgerald,1724,WR,ARZ,3,28,0,1,7.9,0,57.1,,0,0,0.0,0,3,0,72.1,71.1,0,24,2.3,1,43,4,79.1,34,119.0,7,25.0,2,50,37,9.3,12.5,1.47,0,14.1,0,94.4,,0,0,0.0,0,14,0,82.2,93.6,0,29,0.0,0,52,17,94.2,49,137.3,18,64.3,1,271,53,3.1,15.9,5.53
Amari Cooper,9437,WR,OAK,3,28,0,23,11.3,2,100.0,,0,0,0.0,0,5,1,75.6,87.0,0,68,0.0,0,27,7,92.6,25,158.3,7,25.0,1,176,97,13.9,25.1,7.04,0,4.7,4,60.0,,0,0,20.0,3,5,0,31.3,60.4,0,24,0.0,0,85,12,94.1,80,74.0,20,71.4,0,105,68,5.7,8.8,1.31
Rob Gronkowski,5567,TE,NE,3,28,0,19,12.5,0,45.5,,0,0,0.0,0,4,0,74.6,70.5,0,28,17.2,11,64,5,75.0,48,98.7,11,39.3,1,75,35,7.0,15.0,1.56,0,13.1,1,72.7,,0,0,0.0,0,7,0,76.5,89.5,0,52,5.7,3,53,8,86.8,46,145.1,11,39.3,1,189,90,11.3,23.6,4.11
Odell Beckham Jr.,8647,WR,NYG,3,28,0,21,11.1,1,77.8,,0,0,0.0,0,6,0,75.6,88.6,0,26,0.0,0,30,7,96.7,29,105.1,9,32.1,0,83,27,3.9,11.9,2.86,0,13.2,0,61.1,,0,0,8.3,1,7,0,79.4,77.9,0,67,0.0,0,83,11,95.2,79,131.7,18,64.3,2,180,72,6.5,16.4,2.28
Jeremy Maclin,4942,WR,KC,3,27,0,16,11.6,0,33.3,,0,0,0.0,0,3,0,70.5,55.5,1,13,0.0,0,42,3,92.9,39,5.1,9,33.3,0,32,2,0.7,10.7,0.82,0,12.1,0,81.3,,0,0,0.0,0,6,0,80.0,72.7,0,61,0.0,0,74,13,93.2,69,118.8,16,59.3,0,213,82,6.3,16.4,3.09
T.Y. Hilton,7092,WR,IND,3,26,0,14,12.7,1,60.0,,0,0,0.0,0,7,0,77.3,82.9,1,48,0.0,0,56,9,94.6,53,67.1,15,57.7,0,154,55,6.1,17.1,2.91,0,14.2,0,50.0,,0,0,0.0,0,2,0,73.4,64.8,2,30,0.0,0,51,5,88.2,45,31.7,10,38.5,0,66,23,4.6,13.2,1.47
Nate Washington,2832,WR,HST,3,26,0,13,14.5,0,27.3,,0,0,25.0,1,3,0,36.8,57.8,0,32,0.0,0,43,3,97.7,42,48.7,11,42.3,0,57,15,5.0,19.0,1.36,0,11.3,0,66.7,,0,0,16.7,2,6,0,41.4,61.1,0,48,0.0,0,101,10,95.0,96,100.1,15,57.7,0,153,46,4.6,15.3,1.59
Jordan Reed,7866,TE,WAS,3,26,0,32,11.4,1,54.5,,0,0,0.0,0,5,0,74.6,80.5,0,29,9.8,4,41,6,80.5,33,77.8,11,42.3,0,80,51,8.5,13.3,2.42,0,7.1,3,85.7,,0,0,0.0,0,8,0,80.0,86.1,1,26,9.7,7,72,12,80.6,58,83.6,14,53.8,0,157,73,6.1,13.1,2.71
Allen Robinson II,8696,WR,JAX,3,26,0,15,13.8,1,27.3,,0,0,25.0,1,2,0,36.8,55.8,0,20,0.0,0,39,3,84.6,33,40.3,11,42.3,0,35,12,4.0,11.7,1.06,0,24.5,0,53.8,,0,0,12.5,1,5,0,54.5,76.4,0,52,0.0,0,71,7,94.4,67,124.7,13,50.0,1,212,20,2.9,30.3,3.16
