player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,8,0,0,23,57.3,0,0,1,0.5,0.0,0,0,0.0,0,400,2,0,0,58.3,0,0,0,0.6,,0,,0,180,1,0
Julius Peppers,1010,ED,GB,8,0,1,12,71.0,6,16,220,89.9,14.1,31,2,7.7,6,258,232,28,0,76.7,5,11,130,92.6,17.7,23,10.0,5,149,138,21
Dwight Freeney,1019,ED,ARZ,3,0,0,1,68.1,2,6,52,93.1,19.2,10,0,11.5,2,58,54,10,0,72.5,2,6,28,96.6,28.6,8,17.9,1,29,28,9
James Harrison,1251,ED,PIT,9,1,0,25,77.1,7,18,161,76.7,20.5,33,2,9.0,2,223,171,27,0,82.3,5,12,71,77.3,33.8,24,14.8,2,97,75,19
Kevin Williams,1325,DI,NO,9,1,0,20,61.6,1,10,134,100.0,8.2,11,1,4.1,0,145,145,11,1,64.8,1,2,39,100.0,7.7,3,3.8,0,43,43,3
Terrell Suggs,1326,ED,BLT,1,0,0,3,64.3,0,1,27,79.4,14.8,4,0,1.9,0,34,27,1,0,63.2,0,0,13,81.3,15.4,2,0.0,0,16,13,0
Calvin Pace,1334,ED,NYJ,8,0,0,22,66.2,4,7,145,82.3,9.7,14,0,5.2,2,186,153,13,0,60.6,3,4,65,86.6,15.4,10,5.4,0,82,71,7
Charles Tillman,1351,CB,CAR,8,0,0,5,51.0,0,0,5,1.4,0.0,0,1,0.0,0,354,5,0,0,54.3,0,0,3,1.4,0.0,0,0.0,0,208,3,0
Rashean Mathis,1355,CB,DET,7,0,0,11,54.7,0,0,2,0.8,0.0,0,1,0.0,0,250,2,0,0,54.7,0,0,2,1.9,0.0,0,0.0,0,106,2,0
Cory Redding,1381,DI,ARZ,8,0,1,1,53.2,0,4,90,100.0,4.4,4,2,2.2,0,95,95,4,0,55.1,0,1,31,100.0,3.2,1,1.6,0,33,33,1
Robert Mathis,1447,ED,IND,8,0,0,14,64.8,5,8,146,85.9,13.0,19,2,7.2,4,185,159,17,0,66.6,3,7,78,89.6,20.5,16,9.0,2,96,86,12
Chris Clemons,1585,ED,JAX,8,1,0,15,53.4,4,5,221,96.7,6.8,15,2,2.9,2,245,237,11,1,61.2,4,4,112,99.2,10.7,12,5.4,2,121,120,10
Colin Cole,1589,DI,CAR,2,0,0,5,56.8,0,1,32,100.0,6.3,2,0,1.6,0,34,34,1,0,61.3,0,1,16,100.0,12.5,2,3.1,0,17,17,1
Cullen Jenkins,1637,DI,NYG,9,1,0,21,61.9,4,11,264,96.9,7.6,20,2,3.6,2,295,286,17,1,64.9,4,9,134,96.7,11.2,15,5.6,1,152,147,14
Vince Wilfork,1742,DI,HST,8,0,0,13,55.5,1,5,140,100.0,5.0,7,1,2.1,0,152,152,6,0,51.9,0,1,35,100.0,5.7,2,1.4,0,38,38,1
