player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,11,5,0,60.0,0,0,23,89.4,84.4,84.5,55.7,61.4,54.7,0,0,5,40,14.1,9,3,0,45.6,9,0,99,5,512,769,12,0,0,12,0,603,757,3,254,50,8,50,15,0,0,119,54,13.2
Julius Peppers,1010,ED,GB,11,6,0,100.0,1,1,12,48.5,57.3,60.4,66.7,48.1,43.1,7,25,0,14,16.7,4,0,2,142.7,4,7,16,1,31,506,485,5,44,381,55,0,21,316,159,4,16,14,4,39,1,35,32,8.8
Dwight Freeney,1019,ED,ARZ,6,1,0,100.0,0,1,1,46.0,61.3,85.9,63.6,60.0,73.6,3,12,0,41,50.0,1,0,0,118.8,1,3,4,0,7,141,136,0,2,132,2,0,5,116,18,1,3,0,1,18,0,41,42,41.0
James Harrison,1251,ED,PIT,10,6,1,83.3,0,1,25,73.9,75.8,43.4,76.4,64.5,64.2,7,19,0,15,13.0,3,0,2,86.8,5,2,36,0,57,388,331,0,0,330,1,0,57,183,148,20,13,14,6,28,0,29,34,5.8
Terence Newman,1321,CB,MIN,11,7,0,53.8,0,0,18,71.4,74.8,85.5,,82.1,78.6,0,0,3,55,4.8,2,7,3,59.6,35,0,68,576,421,656,6,0,0,6,0,2,650,0,235,4,7,33,65,0,1,417,125,11.9
Kevin Williams,1325,DI,NO,11,3,1,,0,2,20,57.0,69.3,49.5,64.7,71.6,62.3,2,13,0,,10.0,2,0,2,0.0,0,0,0,0,0,371,371,9,348,1,13,0,0,173,198,0,14,15,0,15,0,0,0,
Terrell Suggs,1326,ED,BLT,1,0,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,0,1,0,,,0,0,0,0.0,0,0,0,0,7,48,48,0,0,48,0,0,0,27,14,0,0,0,0,1,0,0,0,
Calvin Pace,1334,ED,NYJ,11,0,0,50.0,0,1,22,69.7,67.0,87.9,63.6,59.1,45.3,4,7,0,12,18.2,2,1,0,59.9,4,2,7,0,56,371,351,0,0,348,3,0,20,171,144,13,7,9,8,13,0,31,23,7.8
Charles Tillman,1351,CB,CAR,9,6,0,53.7,0,1,5,58.7,62.0,87.3,49.4,77.8,73.7,0,0,1,48,7.1,3,5,1,71.3,29,0,34,470,374,535,5,0,0,5,0,3,530,6,155,22,10,33,54,0,0,417,112,14.4
Rashean Mathis,1355,CB,DET,7,2,0,80.0,0,0,11,62.5,63.6,85.9,54.7,64.7,68.8,0,0,1,50,11.1,4,2,1,107.6,32,0,28,388,248,434,4,0,0,4,0,1,430,2,184,13,13,30,40,0,1,413,173,12.9
