player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Joe Thomas,3619,T,CLV,10,0,8,90.9,1,18,442,100.0,100.0,97.4,1,21,2,475,475,86.7,0,15,229,100.0,100.0,95.9,17,2,248,248
Mitchell Schwartz,7041,T,CLV,10,1,8,81.3,5,15,442,100.0,100.0,97.1,2,23,3,475,475,77.8,2,14,229,100.0,100.0,95.6,18,2,248,248
Alex Mack,4944,C,CLV,10,0,8,75.1,4,12,442,100.0,100.0,97.3,2,20,4,475,475,73.0,4,5,229,100.0,100.0,96.7,12,3,248,248
John Greco,4379,G,CLV,10,0,8,79.9,4,15,434,100.0,100.0,97.8,0,19,0,466,466,73.8,3,13,226,100.0,100.0,96.5,16,0,245,245
Zach Strief,3155,T,NO,10,0,20,71.0,4,9,434,100.0,100.0,97.1,1,19,6,465,465,66.3,3,6,175,100.0,100.0,95.1,13,4,193,193
Max Unger,4972,C,NO,10,0,20,81.0,1,10,433,99.8,99.8,98.5,1,12,1,463,464,75.4,0,6,175,100.0,100.0,97.7,7,1,192,192
Joe Barksdale,6244,T,SD,9,1,27,77.2,4,16,415,100.0,100.0,96.6,2,24,4,448,448,69.6,3,13,197,100.0,100.0,94.4,19,3,214,214
Ben Jones,7099,C,HST,9,0,13,78.3,1,12,420,100.0,100.0,98.2,0,14,1,442,442,67.8,1,5,171,100.0,100.0,98.2,6,0,183,183
Anthony Castonzo,6174,T,IND,9,0,14,79.7,5,12,410,100.0,100.0,97.2,3,20,3,441,441,73.4,3,8,202,100.0,100.0,95.8,14,3,213,213
Jack Mewhort,8694,G,IND,9,0,14,78.6,4,23,410,100.0,100.0,96.7,0,27,0,441,441,68.2,4,20,202,100.0,100.0,94.1,24,0,213,213
Derek Newton,6366,T,HST,9,1,13,64.3,5,19,418,100.0,100.0,96.7,2,26,2,440,440,57.9,2,14,170,100.0,100.0,94.7,17,1,182,182
Marshall Newhouse,5692,T,NYG,10,1,21,62.0,5,30,405,100.0,100.0,95.4,2,36,1,437,437,52.1,4,24,171,100.0,100.0,91.8,28,0,191,191
Travis Swanson,8711,C,DET,9,0,11,60.7,2,15,410,100.0,100.0,97.7,0,18,1,436,436,58.5,0,11,174,100.0,100.0,96.8,11,0,184,184
Riley Reiff,7029,T,DET,9,0,11,72.1,4,24,408,100.0,100.0,95.6,5,32,4,434,434,61.7,1,19,174,100.0,100.0,92.5,23,3,184,184
