player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jerry Hughes,5556,ED,BUF,3,5,,5.0,4,0,39.6,0,1,0,0,0,0.0
Dwight Bentley,7086,CB,DET,1,4,,4.0,11,0,39.6,0,1,0,0,0,0.0
Jayron Hosley,7094,CB,NYG,6,7,,7.0,21,0,39.6,0,1,0,0,0,0.0
Jonathan Newsome,8801,ED,IND,6,11,,11.0,14,0,39.6,0,1,0,0,0,0.0
Sean Smith,4984,CB,KC,6,16,,16.0,16,0,39.6,0,1,0,0,0,0.0
Jason McCourty,5127,CB,TEN,3,6,,3.0,31,0,39.6,0,2,0,0,0,0.0
Darrell Stuckey,5634,S,SD,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Rontez Miles,8102,S,NYJ,4,3,,3.0,22,1,0.0,0,1,0,0,0,0.0
Jadeveon Clowney,8636,ED,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Sheldon Price,8479,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
DeAngelo Hall,1729,CB,WAS,5,16,,16.0,32,0,39.6,0,1,0,0,0,0.0
Lamarr Houston,5569,ED,CHI,3,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Eric Rowe,9480,CB,PHI,2,6,,3.0,24,0,39.6,0,2,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,4,4,,4.0,19,0,39.6,0,1,0,0,0,0.0
Daniel Sorensen,9253,S,KC,4,8,,4.0,16,0,39.6,0,2,0,0,0,0.0
Steven Johnson,7298,LB,TEN,1,4,,2.0,31,0,39.6,0,2,0,0,0,0.0
Pernell McPhee,6317,ED,CHI,6,6,,6.0,6,1,0.0,0,1,0,0,0,0.0
Charles Gaines,9622,CB,CLV,4,4,,4.0,8,0,39.6,0,1,0,0,0,0.0
Leonard Johnson,7385,CB,NE,1,18,,18.0,19,0,39.6,0,1,0,0,0,0.0
Ross Cockrell,8744,CB,PIT,6,7,,7.0,25,0,39.6,0,1,0,0,0,0.0
Mike Mitchell,4970,S,PIT,9,8,,4.0,25,1,0.0,0,2,0,0,0,0.0
Bobby McCain,9578,CB,MIA,8,115,57.5,14.4,17,0,83.3,2,8,1,32,5,0.28
Bradley McDougald,8220,S,TB,11,55,55.0,18.3,30,0,71.5,1,3,0,30,16,0.55
Tashaun Gipson Sr.,7288,S,CLV,10,46,46.0,11.5,8,1,0.0,1,4,0,2,4,0.04
Husain Abdullah,4652,S,KC,10,41,41.0,10.3,16,0,79.2,1,4,0,52,27,1.27
Shea McClellin,7025,LB,CHI,8,41,41.0,13.7,6,0,42.4,1,3,0,4,0,0.1
Dashon Goldson,3742,S,WAS,11,34,34.0,11.3,32,0,81.9,1,3,0,38,8,1.12
Jordan Poyer,8000,S,CLV,8,29,29.0,29.0,8,0,118.8,1,1,1,3,0,0.1
Josh Bynes,6503,LB,DET,9,27,27.0,9.0,11,0,42.4,1,3,0,2,5,0.07
Tramon Williams,3558,CB,CLV,9,53,26.5,8.8,8,0,43.8,2,6,0,20,3,0.38
Reggie Nelson,3637,S,CIN,13,52,26.0,26.0,7,0,158.3,2,2,1,55,47,1.06
Christian Jones,9020,LB,CHI,10,25,25.0,12.5,6,0,56.3,1,2,0,5,4,0.2
Will Hill III,6999,S,BLT,13,71,23.7,10.1,3,0,53.9,3,7,0,27,18,0.38
Ray-Ray Armstrong,8271,LB,SF,4,23,23.0,11.5,28,0,58.3,1,2,0,7,0,0.3
Steven Nelson,9531,CB,KC,3,23,23.0,23.0,16,0,112.5,1,1,0,11,8,0.48
Eddie Pleasant,7593,S,HST,12,45,22.5,6.4,13,0,48.5,2,7,0,36,10,0.8
Joplo Bartu,8455,LB,JAX,3,22,22.0,11.0,15,0,58.3,1,2,0,7,0,0.32
Cody Riggs,10108,CB,TEN,7,87,21.8,9.7,31,0,51.6,4,9,0,14,10,0.16
Chris Conte,6245,S,TB,11,42,21.0,8.4,30,0,87.5,2,5,1,0,0,0.0
Alan Ball,3853,CB,CHI,8,21,21.0,10.5,6,0,70.8,1,2,0,13,13,0.62
Jamar Taylor,7835,CB,MIA,8,21,21.0,7.0,17,0,42.4,1,3,0,5,0,0.24
Derrick Johnson,2232,LB,KC,7,20,20.0,6.7,16,0,49.3,1,3,0,14,9,0.7
D'Qwell Jackson,2979,LB,IND,12,39,19.5,7.8,14,0,68.8,2,5,0,40,13,1.03
Damarious Randall,9463,CB,GB,10,19,19.0,9.5,12,0,85.4,1,2,0,20,8,1.05
Sean Lee,5580,LB,DAL,7,19,19.0,9.5,9,0,64.6,1,2,0,10,1,0.53
David Harris,3663,LB,NYJ,12,38,19.0,7.6,22,0,48.8,2,5,0,16,10,0.42
Michael Thomas,7279,S,MIA,12,56,18.7,8.0,17,0,50.3,3,7,0,15,10,0.27
Luke Kuechly,7015,LB,CAR,6,18,18.0,6.0,5,0,42.4,1,3,0,6,5,0.33
Ronald Darby,9483,CB,BUF,8,18,18.0,3.6,4,0,39.6,1,5,0,5,0,0.28
Aqib Talib,4334,CB,DEN,11,70,17.5,7.8,10,0,70.1,4,9,0,67,30,0.96
Patrick Peterson,6157,CB,ARZ,10,35,17.5,7.0,1,0,127.1,2,5,1,78,29,2.23
Christian Kirksey,8706,LB,CLV,12,35,17.5,11.7,8,0,122.2,2,3,1,18,0,0.51
George Iloka,7159,S,CIN,9,35,17.5,17.5,7,0,133.3,2,2,1,13,20,0.37
Dion Bailey,9042,S,NYJ,5,17,17.0,17.0,22,0,87.5,1,1,0,5,0,0.29
Darqueze Dennard,8659,CB,CIN,4,50,16.7,8.3,7,1,94.4,3,6,1,73,12,1.46
William Moore,4978,S,ATL,10,49,16.3,8.2,2,1,19.4,3,6,0,22,18,0.45
Taylor Mays,5574,S,OAK,8,32,16.0,10.7,23,0,72.9,2,3,0,11,7,0.34
Dontae Johnson,8764,CB,SF,6,16,16.0,3.2,28,0,39.6,1,5,0,9,0,0.56
Wesley Woodyard,4583,LB,TEN,8,16,16.0,8.0,31,0,64.6,1,2,0,10,4,0.63
Phillip Gaines,8722,CB,KC,3,80,16.0,8.9,16,0,78.9,5,9,0,66,16,0.83
Earl Thomas III,5539,S,SEA,8,16,16.0,8.0,29,1,31.3,1,2,0,13,2,0.81
Kyle Wilson,5554,CB,NO,12,188,15.7,11.1,20,1,112.5,12,17,3,149,79,0.79
Chris Harris Jr.,6457,CB,DEN,13,290,15.3,9.1,10,2,43.5,19,32,0,138,65,0.48
Craig Mager,9516,CB,SD,2,15,15.0,15.0,27,0,108.3,1,1,0,10,3,0.67
Morgan Burnett,5596,S,GB,8,30,15.0,7.5,12,0,85.4,2,4,0,40,15,1.33
Nate Orchard,9484,ED,CLV,7,15,15.0,7.5,8,0,56.3,1,2,0,6,5,0.4
Bacarri Rambo,7972,S,BUF,6,29,14.5,7.3,4,0,58.3,2,4,0,14,3,0.48
Craig Dahl,3920,S,NYG,10,29,14.5,9.7,21,0,102.1,2,3,0,32,17,1.1
Ha Ha Clinton-Dix,8656,S,GB,10,43,14.3,5.4,12,0,52.6,3,8,0,37,34,0.86
Rey Maualuga,4961,LB,CIN,6,14,14.0,14.0,7,0,91.7,1,1,0,6,2,0.43
