player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jason McCourty,5127,CB,TEN,3,6,,3.0,31,0,39.6,0,2,0,0,0,0.0
Eric Rowe,9480,CB,PHI,4,10,,3.3,24,0,39.6,0,3,0,0,0,0.0
O'Brien Schofield,5653,ED,ATL,5,9,,9.0,2,0,39.6,0,1,0,0,0,0.0
Jayron Hosley,7094,CB,NYG,6,7,,7.0,21,0,39.6,0,1,0,0,0,0.0
Jonathan Newsome,8801,ED,IND,7,12,,12.0,14,0,39.6,0,1,0,0,0,0.0
Darrell Stuckey,5634,S,SD,2,3,,3.0,27,0,39.6,0,1,0,0,0,0.0
Ross Cockrell,8744,CB,PIT,7,8,,4.0,25,0,39.6,0,2,0,0,0,0.0
Xavier Rhodes,7806,CB,MIN,4,7,,7.0,18,0,39.6,0,1,0,0,0,0.0
Jaylen Watkins,8736,CB,PHI,3,5,,5.0,24,0,39.6,0,1,0,0,0,0.0
Dwight Bentley,7086,CB,DET,1,4,,4.0,11,0,39.6,0,1,0,0,0,0.0
Steven Johnson,7298,LB,TEN,1,4,,2.0,31,0,39.6,0,2,0,0,0,0.0
Pernell McPhee,6317,ED,CHI,7,7,,7.0,6,1,0.0,0,1,0,0,0,0.0
Rontez Miles,8102,S,NYJ,4,3,,3.0,22,1,0.0,0,1,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,6,6,,6.0,19,0,39.6,0,1,0,0,0,0.0
Jerry Hughes,5556,ED,BUF,3,5,,5.0,4,0,39.6,0,1,0,0,0,0.0
Sean Smith,4984,CB,KC,8,19,,19.0,16,0,39.6,0,1,0,0,0,0.0
Jeremiah Attaochu,8685,ED,SD,4,8,,8.0,27,0,39.6,0,1,0,0,0,0.0
Sheldon Price,8479,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0
Daniel Sorensen,9253,S,KC,4,8,,4.0,16,0,39.6,0,2,0,0,0,0.0
Jadeveon Clowney,8636,ED,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Bobby McCain,9578,CB,MIA,9,117,58.5,14.6,17,0,83.3,2,8,1,32,5,0.27
Shea McClellin,7025,LB,CHI,9,43,43.0,14.3,6,0,42.4,1,3,0,4,0,0.09
Husain Abdullah,4652,S,KC,10,41,41.0,10.3,16,0,79.2,1,4,0,52,27,1.27
Demontre Hurst,8359,S,CHI,2,37,37.0,18.5,6,0,56.3,1,2,0,0,1,0.0
Jordan Poyer,8000,S,CLV,10,34,34.0,34.0,8,0,118.8,1,1,1,3,0,0.09
Bradley McDougald,8220,S,TB,12,60,30.0,15.0,30,0,75.0,2,4,0,30,18,0.5
Christian Jones,9020,LB,CHI,11,30,30.0,10.0,6,0,42.4,1,3,0,5,4,0.17
Reggie Nelson,3637,S,CIN,15,60,30.0,8.6,7,0,99.4,2,7,1,55,47,0.92
